1,2,,4,5,6,7,S,9,10,11,12,13,14,15,16,1,18,19,20,1
59 60,Lerums El. A .- B. Nääs Fabr. A .- B.,"Lerum, Skallsjö, St. Lundby, Bergum Skallsjö, Hemsjö",Ab. från Trollhätte kraft- - verk Nääs eller Tollered ström,- V,- 58,- 19110000 1 100,3-fas,25 50,10000/ . 1000/380,- -,.,200,260,248,92,600,433 300,,,59 60
61,Adelstierna-Adelsköldska fideikommisset 5,"Skallsjö, Hemsjö",Solveden,,4.7,160,,50,3000/380,-,,,,,,,,,,61
62,Alingsås Snickerifabr. A .- B.,Alingsås,Linnafors,,,60,,50,2000/110,,,,.,,,,,,,
63,Trollhätte kraftverk. Sekun- därstationen i Alingsås,,,-,-,-,,25,50000/10000 och 3000,,,,,,,,,,,
64,Alingsås stads el .- verk,,Ab. från Trollhätte kraft- verk,,-,-,R,25 -,3000/380 2×220,1 560,,-,,,,,2 638 300,-,,64
65,Distribut. vid Alingsås,,Alingsås stads el .- verk,-,-,,3-fas,25,3000/380,-,,.,,,,,,,,65
66,Bolltorps sanatorium,,Trollhätte kraft- verk,-,-,-,,25,10000/ ·,,-,-,,,,,,-,,6
67,Björkekärrs el. distr .- fören.,2,,,,-,»,25,10000/380,10,,,,4,-,4,1 700,92,,67
68,Vikaryds egendom,,2 2 A,,,,»,25,10000/380,15,-,,21,9,9,39,55 800,70,,
69,Antens el. distr .- fören. och Långareds el. distr .- fören.,,,-,,,,25,10000/3000/380,100,7,"119
10:",63,26,3,92,46 400,426,,
70,Östads el. distr .- fören.,,2,,-,-,,25,10000/3000/380,60,3,80,76,16,-,92,29 800,199,,70
71,Bälinge el. distr .- fören. och Rödene el. distr .- fören.,,,-,,,,25,10000/3000/380,100,5,80,105,24,5,134,28 900,530,,71
72,Bane el. distr .- fören.,Hol,,-,-,-,,25,10000/380,20,,,90,10,5,105,4 300,224,,72
73,S. Mark,Fullestad,Lagmansholm,v,5,110,.,,,,:unselected:,,,,,,,,,73
74,Lena el. distr .- fören.,"Lena, Berg- stena",Ab. från Trollhätte kraft- verk,-,,-,3-fas,25,10000/3000/380,100,9,112,150,42,,192,46 400,550,,74
75,Magra el. distr .- fören. och Uplo egendom,"Magra, Långared",,-,,-,,25,10000/3000/380,100,11,135,150,44,11,205,90 400,866,,75
76,Mellbydalens el. distr .- foren.,St. Mellby,,-,-,-,,25,10000/3000/380,100,5,90,195,43,4,242,57 300,826,,76
77,Erska el. distr. fören.,Erska,=,,,,,25,10000/3000/380,100,,130,65,41,-,106,45 700,441,,77
78,Siene sockens el. distr .- fören.,Siene,,,,,,25,10000/3000/380,40,3,50,105,16,:unselected:,121,29 900,,,78
79,Vårgårda kvarn,Algutstorp,,,,-,,25,10000/ ·,,,-,,.,.,.,.,,,79
80,Vårgårda tegelbruk,Kullings- Skövde,,,-,,,25,10000/·,.,:unselected:,,.,.,.,.,.,,,80
81,Vårgårda samhälle samt Vårgårda armaturfabrik,Kullings- Skövde,,-,-,10000,,25,10000/190,60,-,-,,,,.,45 100,-,,81
82,Vårgårdatraktens el. distr .- fören.,"Kullings- Skövde, Algutstorp, Tumberg",,-,-,-,,25,10000/3000/380,100,18,228,500,80,16,596,202 000,1 894,,82
83 84,S. Härene el. distr .- fören. och Eggvena el. distr .- fören. Fölene el. distr .- förening,"S. Härene, Eggvena Fölene, Tarsled",,,-,-,,25 25,10000/3000/380 10000/3000/380,60 100,5 13,89 155,160 260,29 70,4 5,193 335,101 000 94 300,673 330,,83 84
85,Herrljunga El. A .- B.,Herrljunga,2,,-,-,,25,10000/lågsp.,.,-,-,.,.,.,.,.,-,,85
86 87,Jenny Anjou A .- B. Kvissle kraftstation,"Hudene Hellestad, Mjälldrunga",Trollebo Kvissle,"v
(Se nr","borgs
154 i","län) 58
Skara-",»,50,10000/380,,.,.,.,,,.,.,.,,86 87
