1,2,3,1,5,6,7,8,9,10,11,12,13,14,15,16,17,18,,,-
88 89,A .- B. Vimle kraftstation Grolanda m. fl. socknars el. distr .- fören.,Skölvene Broddarp,Vimle Ab. från Trollhätte kraft- verk,"V
(Se nr","borgs
150 i","län) 30
Skara-",3-fas,50 25,10000/380 20000/6000/380,-,,,.,,,.,.,,,88 89
90,A. H. Andersson,Hov,Annelund,V,,30,L,,2×110,-,-,,,,,,,,,90
91,Ljurs el. distr .- fören. och Nårunga el. ab .- fören.,"Nårunga, Ornunga",Ljurs kraftstation,,,15,3-fas,50,3000/380,-,.,,,,,,,,,91
92,Bredareds och Vänga el. distr .- fören.,Bredared och Vänga,Skattegården,,17.5,50,,50,3000/380,,.,.,,,,,,,,92
"93
94 95","Mindre kraftstation
Hedareds el. distr .- fören. Alb. Andersson",Töllesjö Sandhult Töllesjö,Gantarås Hedareds kraftstation Lobo,,. . .,0010 1008,3-fas,. 50 -,1500/380 2×220,,- -,- .,,,,,,,,
96,Edvin Eliasson,,Henå,,.,,,,220,-,,1,.,,.,,,,,96
97,N. Månsson,Sandhult,Hällered,,.,,,,220,,,-,.,.,,,,,,97
98,Trollhätte kraftverk. Sekun- därstationen i Sjömarken,Torpa,,-,,-,3-fas,25,50000/20000,,,,-,,,,-,,,98
99,Sandhults el. distr .- fören.,Sandhult,Ab. från Trollhätte kraft- verk,-,-,,,25,20000/3000/380,60,8,42,50,44,5,99,48 100,69,,99
100,"Ljushults el. distr .- foren. och
Sexdrega el. distr .- fören.",Hillared,2,-,-,-,,25,20000/3000/380,80,9,92,50,45,10,105,69 300,324,,100
,,,Ljungafors,v,5,170,2,,,,,,,,,,,,,
101,Ljungaskogs A .- B.,Svenljunga,Ab. från Trollhätte kraft- verk,-,-,- 08:0001,,"50
25","3000/380 och 110}
20000/3000",,-,-,.,,.,,,-,,101
102 103,Svenljunga el. distr .- fören. J. A. Larsson,2,A Herrekvarn,- V,- .,-,,25,20000/3000/380,60,.,40,40,60,1,101,73 600,70,,102
104|,"Målsrydsnätet med div. indu-
strier",Toarp,Ab. från Trollhätte kraft- verk,"00
-",-,-,3-fas,- 25,"2×220
20000/3000/ ·",,. .,. .,.,,. .,. .,.,,,103 104
105,Dalsjöfors Väveri A .- B.,Hillared,Golared 1. (Veka,- v,- 19 19,- 220 6,2,25 50,20000/10000 10000/380,,,,,,,,,,,105
106,Toarps El. A .- B.,Toarp,Ab. från Dalsjöfors Väveri A .- B.,-,,,,25,10000/.,,,,,,,,,,,106
107 108,Hillareds El. A .- B. A. Hillström och A. Gustafsson,Hillared Toarp,Häljerads kvarn,v,,- 1.000,,50 50,10000/380 380,,,,,,,,,,,107 108
109 110,Johan S. Johansson m. fl. Rångedala el. fören.,Rångedala,Spavryd Klemmertorp,,.,.,,.,220 220,,,,,,,,,,,109 110
111 112 113,Borås spetsfabrik A .- B. Lantmossen Hökerums el. distr .- fören.,"Fristad S. Ving, Här- na, Hällstad",Borås spetsfabrik Lantmossen Ab. från Trollhätte kraft- verk,,. -,100 80,3-fas,50 50 25,10000/380 och 190 1500/· 20000/3000/380,,,,,,,,,,,111 112 118
114 115,Ulricehamns stads el .- verk Karl Klaesson,Ulricehamn Vist,Vistafors,A,,,I,25,20000/3000/220 220,180,,,,,,,444 500,,,114 115
116,Adolf Molander,Timmala,Timmala kvarn,=,.,11,,,2 ×220,,,,,,,,,,,116
117 118,Knut Andersson Redvägs Kraft A .- B.,"Dalum Blidsberg, Dalum",Flata Henakvarn,,. .,120,3-fas,50,2 × 220 10000/380,,,,,,,,,,,117 118
119,A. J. Josefsson,Humla,Dreta kvarn,,.,,,,2 × 220,,,,,,,,,,,119
120,J. E. Gustafsson,Kälaby,Brokvarn,,.,:. 000,,,2 ×220,,,,,,,,,,,120
121 122,David Olsson Norra Åsarps el. distr .- fören.,N. Asarp Solberga,Baggekvarn Ab. från Trollhätte kraft- verk,R (Se nr 149 i Skara- borgs län),,,,,2 × 220,,,,,,,,,,,121 122
