15,13,14,15,16,1,18,19,20,
"Sam- man- lagd primär trans- for- nator-
effekt kVA",Distributionsledningar,,,Sammanlagd sekundär transforma- toreffekt exkl. abon- nenternas egna trans- formatorer kVA,"Sam- manlagd anslut- ning av
motorer,
lampor m. m. kW","konsum
tion inkl.
Årlig energi- förluster
kWh",Elektrifierad areal odlad jord,,Anmärkningar
,Klass,Spänning volt,Sam- man- lagd längd km,,,,"med blott
belysning har",total har,
520)1 500)ª,Lands-,40 000,98,(4 800)3,"-
:unselected:","-
:unselected:",:unselected:,"-
:unselected:",1 Upptransformatorer 3 800/ 42 500 V.
-,Förbin- delse,6 000,1,-,"-
:unselected:",:unselected:,:unselected:,:unselected:,3 Upptransformatorer 6 400/
-,Bygde-,6 000,3,111,,,,,40 000 V för Hemsjö Nedre.
,Orts- Gårds-,"1 500, 5001 220, 120 |",6,5,103,76 000,72,153,3 Nedtransformatorer i se- kundärstationerna.
4 1 500,Förbin- delse Bygde-,6 000 6 000,1 48,(se 1 kol. 16 502,"1 880
:unselected:","1 436 300
:unselected:",625,- 2 775,4 Delvis upptransformering till 40 000 V sker genom primärtransformatorerna i
,Orts- Gårds-,500 190,37,17,,,,,"Karlshamns sekundär-
station. 5 Upptransformering till 6 600 V."
"800 -
125)5 - 3 000",Bygde- Orts- Gårds- - Förbin- delse Bygde- Orts- Gårds-,100 4 20 000 1 500 220 6 000 20 000 1 500 220,13 35 6 49 c:a 45,100 355 2 360 67,1 498 1 917,1 201 000 1 835 000,1 140 - 715,2 860 - 2 990,"6 Hari inga: Morserums m. fl. byars And. El. Fören. 7 Häri ingå: Sölvesborgs El. Bel. A .- B., Sölve And. El. Fören., Slottets And. El. Fören., Hälleviks And. El. Fören., Listerlandets And. El. Fören., Nogersunds And. El. Fören. 8 Häri ingå: Grönadals m. fl. byars And. El. Fören., Jäm- jöslätts And. El. Fören."
-,Orts- Gårds-,"3 000, 1 200 1220 Likström 2 × 110",10,200 -,1 254,3 975 000,-,-,
-,Bygde- Orts Gårds-,"20 000 1,500, 500 (220 Likström 2 × 220",10 4 -,285 20,700,509 000,-,472,
