1,2,,4,5,6 -,7,8,9,10,11,12,13,14,15,16,17,18,19,20,
13,Karls- krona stad,Stadens elek- tricitetsverk,Karlskrona stad,"Om- formare Diesel- motor för toppbe- lastning o. reserv
Mottager","1 000 670
energi","-
från Djupafors","Likstrom
Trefas 50 Likström","2 x 220
3 300 2 × 220 6009
sekundärstation",550 315 440,se kol. 18 120 00,--,Orts- Gårds-,3 000 220 Likström 600 2 × 220,7,1 227,5 708,3 577 000,-,50,9 För spårvägsdrift. 10 Fr. o. m. 1920 levereras överskottsenergien till Hemsjö Kraft A .- B. 11 För nedtransformering av energien från Nötabrane. 12 Upptransformering till 6 000 V för leverans av
14,,,,Mottager energi fran Karlshamns sekundärstation,,,,,,,,,,,,,,,,överskottsenergien till
,"Bräkne-
Hoby","Ekfors kraft-
station","Hoby
kraft A .- B.",1 Vatten- turbin,125,4'3-3,Trefas 50,6 000,75,250 00,75,Bygde- Orts- Gårds-,"6 000 500 380, 220",36 6,312 30,- 325,115 600 250 000,1 055,2 735,Hemsjö Kraft A .- B. 15 Överskottsleverans till Hemsjö Kraft A .- B. 14 Kraftstationen sedermera
15,Asarum,Mariebergs kraftstation,N. Swart- ling,,750,5℃,,6 000,550,400 00,30010,Orts- Gårds-,6 000 380,13 20,85,249,365 600 400 000,-,725,utbyggd för 160 hkr och trefas växelström för sam- arbete med Hemsjö Kraft
16,,Nötabråne kraftstation,Strömma Bomulls-,,150,,=,4 000,125,150 00,-,Förbin- delse,4 000,4,,450,13950 000,--,26,"A .- B.
Nedtransformator 6 000/ 5 000 V från Hemsjö."
17,,Strömma,spinneri- A .- B.,,600,15,,400,500,1 050 00,12511,Gårds-,"1380, 190 Likstr.110",-,400 12,,(250000),,,16 Beräknad förbrukning. 17 Bergfors kraftstation ut-
18,,Jannebergs kraftstation,B. Santes- son,32,25 14,4,Likström,2 x 220,20,12 00,,Gårds-,2 × 220 1.,3,,26,12 000,,20,"byggd för 280 hkr, därav 250 för direkt drift."
,,,,Mottager energi från Djupafors sekundärstation,,,,,,,,,,,,,,,,
19,Ronneby landsförs.,Karlsnäs kraft- station,Kockums Järnverk,Vatten- l turbin,283,5.5-5,Trefas 50| Trefas50,5 000 5 000,180 400,930 00 1 425 00,600 15,Förbin- delse,5 000,23,-,-,695 000 3 211 000,,,
,,,,,700,9.8,Lik-,2 × 220,158,--,-,och bygde-,,,,,3 906 000,,,
20,,Kallinge kraft- station,Kockums Järnverk,Ång- maskin,500,,ström Trefas 50,5 000,336,155 00,-,,,,590,1 100,-,-,350,
21,,Kockums,Kockums,Vatten-,550,10.5,,5 000,400,701 00,,Gårds-,"380,220,190",5,,,,,,
,,Emaljverk,Järnverk,turbin,,,,,,3 211 00,,,,,,,,,,
22,Listerby,Listerby kvarn,Listerby-,,65,7.5,,1 500,50,25 00,75,Bygde-,20 000,5,50,-,15 000,450,1 100,
,,,ortens,,,,,,,,,Orts-,1 500,8,20,100,25 000,,,
,,,"fören. för
el. energi",,,,,,,,,Gårds-,220,,,,40 000,,,
23,Jämshög,Olofströms kraftstation,Sv. stål- pressnings A .- B. Olof- ström,Vatten- turbin Oljemot.,480 120,18.5-19 -,,- -,407 88,1 100 00,170,Orts- Gårds-,"3 000 380, 220",29 39,130,659,1 100 000,755,1 090,
24,Gammels-,,Näsums,Kraftstationen samt större delen av distributionsnätet beläget i,,,,,,,,Orts-,6 000,,,,,,,
25,torp Mörrum,Skerpinge,elektr. kraft A .- B. John Bengtsson,Vatten- turbin,15,Kristianstads,"Ledningsnätet
Kraft
län (se nr","uppgått i Näsums
A .- B:s ledningsnät
120 i Kr. län)",,Elektriska,,Gårds-,380,"27
-",c:a 75,100,16 12 000,400,600,
26 27,Ringamåla Asarum,Suskull Bergfors,Karlshamns Yllef. A .- B. A .- B. Sven- ska Metall- verken,,120 30 17,3 5,Trefas 50 Likström,400 220,160 19,150 0 28 0,- -,Gårds-,380 220,-,- -,105 28,150 000 28 000,6 -,6 30,
28,Öljehult,,Belganets kraft A .- B.,,20,36,Trefas 50,400,20,c:a 5 0,10,Orts- Gårds-,6 000 380,5 -,6,13,c:a 5 000,282,312,
