,2,,4,,,6,7,8,9,10,,
,,,,,5,,,,,,1,
,,,,,,,,,,,,
31,Norrbo elektr. intressenters kraftverk,Ockelbo,Norrbo,,Vatten,,8,Likström,-,2 × 220,,31
32,Uhrus kraftanläggning ....,,Mo,,,,12,,,220,,32
33,P. Erssons kraftanläggning,,,,,,6,,-,220,,33
34,Mindre kraftanläggning,,Källsjön,,,-,5,=,,2 × 220,Uppgifter saknas.,34
35,Amots bruk,2,Amot,,,,20,,,220,-,35
36,Nordanåsbo kraftstation,,Nordanâsbo,,»,,6,,-,220,,36
37,Sunnanåsbo belysningsförening,,Sunnanåsbo,,»,,12,,,220,,37
38,Åkerby elektriska anläggning ...,,Åkerby,,,-,17,,,220,,38
39,Mindre kraftanläggning,,Gruvan,,,,2.5,2,,220,,
40,,,Abro,,,,10,2,,220,,40
41,Brattfors bruk,,Brattfors,,,,15,,,220,,41
42,Mindre kraftanläggning,,Gammelboning,,,,5,,,220,,
43,2,,Ivantjärn,,,,10,2,,2 × 220,,43
44,,=,Heden,,,-,10,,,220,,
45,D. Danielssons kraftanläggning,,Maskinsveden,,»,,25,,,2 × 220,,45
46,Järbo sågverksförening,Järbo,Djupdals övre kraftstation,,,,60,Trefas,50,6000/380,,46
47,See Fabriks A .- B.,,nedre,,,12.5,700,,,20000,,47
48,Stugströmmens kraftanläggning,,Kungsbergs kraftstation,,,8,15,Likström,,2 × 220,,48
49,Kungsbergs nedre kraft- och bel .- förening,,nedre kraftstation,,,,25,,,2 × 220,,49
50,Mindre kraftanläggning,,Finnäs kraftstation,,,,25,2,,110,,50
51,Järbo nedre kvarnförening,,Kådfallet,,,-,50,,,2 × 220,,51
,,,[ Attersta 3),,,56,40,Trefas,50,5000/380 o. 190,,
52,Ovansjö belysnings- och kvarn A .- B.,Ovansjö,'Abon. från Alvkarleby kraftverk till- 1 sammans med nr 56,,-,,-,-,,40000/5000/3800.190,"Ingår i motsvarande
uppgifter for nr 56.",52
53,Mindre kraftanläggning,,Stocksbo,,Vatten,,6,Likström,,110,Uppgifter saknas.,53
54,Jäderfors kvarn- och belysningsbolag,,Jäderfors,,,-,35,,,2 × 220,,54
55,Bro såg- och belysningsbolag,,Bro,,,-,45,»,,220,,55
56,,,f Valls Hammarfall,,,-,206,Trefas,50,5000/380,,56
,Storviks elektriska belysnings A .- B.,Torsåker,Abon. från Alvkarleby kraftverk,,,-,,2,,40000/5000/380,-,
57,Hofors A .- B.,,Dammfallet.,,Vatten,30,1 285,2,,6000,,57
58,Hofors A .- B.,,Hofors,,Ånga,27,360 535,,,6000 6000,,58
,,,Abon. från Älvkarleby kraftverk,,-,,-,2,,40000/6000,Endast industriell drift.,
59,Hofors A .- B.,,Fagersta,,Vatten,3.5,35,,,6000,,59
60,Hofors A .- B.,,Tjärnäs,,,20,1 035,=,»,6000,,60
61,Öster-Färnebo Kraft- och belysningsförening,Öster- Färnebo,Abon. från Soderfors bruk,,-,-,-,,,20000/6000/380,,61
,,,,,,,,1 Trefas,50,3000,,
62,Gysinge bruk,,Gysinge,,Vatten,3.2,429,Enfas Likström,15,1000 600,Endast industriell drift.,62
,,,Samarbete med Soderfors bruk ...,,-,-,,Trefas,50,20000/3000,,
63,Mindre kraftanläggning,,Stålbo,,Vatten,,10,Likström,,220,,63
64,Alfta elektriska A .- B.,Alfta,Alfta kraftstation.,,,3,145,Trefas,50,5000/380 o. 190,,64
65,Mindre kraftanläggning,,Bakslåtterns kraftstation,,,-,5,Likström,,220,Tjärfabrik.,65
66,,,Borns,,»,-,25,,,220,Uppgifter saknas.,66
67,,,Långbo,,,-,18,,,120,,67
68,,,,,,-,7,»,,110,Tjärfabrik.,68
69,=,,Röstabo,,,-,8,»,,110,,69
70,,,Galvsbo . .,,,,10,,-,2 × 220,Uppgifter saknas.,70
