5,6,,8,9,10,11,12
Vatten,7,50,Trefas,50,6000/380,Uppgifter saknas.,111
=,11.5,25,,»,10000,,112
-,-,-,,,10000/220,,113
,-,-,,,10000/6000/220,,114
Vatten,,10,Likström,-,2 × 220,Uppgifter saknas.,115
Ånga,-,25,,,2 × 220,,116
Vatten,,15,,,220,Uppgifter saknas.,117
,,15,,-,220,,118
,,10,,,220,,119
»,,80,=,,220 o. 110,--,120
Anga,-,10,,,220,Uppgifter saknas.,121
-,-,-,Trefas,50,10000/190,,122
Vatten,4'2,244,,»,,,
,3.7,197,,,-,Endast industriell drift.,123
Gas,-,972,,,,,
Anga,,1 400,,2,5000/190,,124
Vatten,4.5,200,,,1,,
,4.7,1 900,,,220,,125
,7.3,2 100,,,,,
Ånga,,900,,,,,
-,-,-,»,,"3000/380, 220, 190",,126
1,-,-,,,33000/7000/220,,127
,,-,,,33000/,,128
-,,-,,,33000/,,129
,,-,,,33000/,,130
Ånga,,900,,,-,Under utförande.,
,-,75,Likström,-,,Uppgifter saknas.,131
Vatten,,50,,,,,132
,69,58,Trefas,50,6000/380 o. 220,,133
Anga,,8,Likström,,220,,134
Vatten,,15,,,220,,135
,8,53+60,Trefas,50,8000/220,,136
»,,75,,,10000/380,,137
,,20,,,6000/380,,138
»,,6.5,Likström,-,220,,139
»,-,,2,,80,,140
,-,7,,-,220,,141
,4,32,Trefas,50,3000/190,,142
,-,5,Likström,-,220,,143
,,16,,-,2 × 220,,144
,,16,,,220,,145
