1,2,3,,,5,,7,8,9,10,11,
,,,,,,,,,,,,
,,,,,,,,,,,,
146,Mindre kraftanläggning,Trönö,Lundbergs kraftstation,,Vatten,,10,Likström,,150,,146
147,,,Berge,,,,20,,,2 ×110,,147
148,,»,Rappsta,,,,16,»,-,220,,148
149,,,Hamre 22,,,,12,,,220,,149
150,Marma sågverks A .- B.,Söderhamn,Marma hyvleri,,Ånga,,720,Trefas,50,,Endast industriell drift,150
151,Söderhamns elektricitetsverk,,(Söderhamns kraftstation Abon. fr. Bergvik o. Ala Nya A .- B.,,-,-,66 -,Likström Enfas Trefas,18 50,2×150 33000/7000/380 .190,-,151
152,Enångers elektriska förening,Enånger,Abon. från Arbrå kraftverk,,-,...,-,,,40000/6000/380,,152
153,Mindre kraftanläggning,,V. Bäckmora,,Vatten,-,7,Likström,,110,,153
154,»,2,Nybo ..,,,,2,,,220,,154
155,S. H. Hultman m. fl.,,Grängsjö,,,,15,Trefas,50,3000/380,---,155
1.,Boda bruk,,Boda,,,,12,Likström,-,220,,156
157,Mindre kraftanläggning,,Tosäter,,,,25,,,110,,157
158,,,Brofors,,»,,15,,,220,,158
159,,,Högbro,,,-,25,,,110,,15
160,»,,Haga,,»,,20,,,220,,160
161,Långvinds bruk,,Långvind,,,,12,,,220,,161
162,Mindre kraftanläggning,2,Ostra Bölan,,,,14,,,220,,
163,2,2,Västra Bölan,,,-,1.5,,,110,,162
,,,Pappersfallets kraftstation,,,17,1 344,Trefas,50,10000,,
164,,,Sågfallets,,,12,450,,,1700,,164
,A .- B. Iggesunds bruk,Njutånger,Järnverksfallets,,,10.5,1 100,,,10000/1700,,
,,,Iggesunds ångstation,,Anga,,1 250,,=,10000/1700/440,,
165,Klubbå kvarn och kraftstationsfören.,,Klubbens kraftstation.,,Vatten,,33,,,2000/220,,165
166,[Holma-Hälsinglands väveri- och linspinneri 1 A .- B.,,Sofieholm 1,,Ånga,18:5,437 1 252,,,380,,166
167,D:o,Forssa,Kraftleverans från nr 166 Sofieholm,,-,,,=,,15000/,,167
168,D:o,,D:o,,,,,,,15000/380 o. 190,,168
169,D:o,,Lunds kraftstation,,Vatten,2.6,129,,,2000/380 o. 190,,169
170,Lunds kvarn A .- B.,,Lunds kvarn,,,2'5,75,,,6000/190,,170
171,,,Hamre kraftstation,,,,,,2,2000/380,,171
,Forsså bruks nya A .- B.,,Abon. fr. Arbra kraftverk,,,,130,,,40000/2000/380,,
172,Mindre kraftanläggning,Nianfors,Nianfors kraftstation,,,-,5,Likström,,220,,172
172,Idenors elektriska förening,Idenor,Abon. fr. nr 214 Arbra kraftverk ...,,-,,-,Trefas,50,40000/3000/360,,178
174,A .- B. Arbrå kraftverk,,|Kraftleverans fr. nr 214 Arbrå kraft- ) verk,,1 -,,,,,40000/380,,174
175,A .- B. Iggesunds bruk,,"Saltvik, 2 stationer",,Ånga g,,167 30,Likström,-,1700 2×220,--,175
176,A .- B. Iggesunds bruk,Hudiksvall,JHudiksvalls ångsåg Abon. från Arbrå kraftverk,,-,- -,85,Trefas,60 50,380 40000/380,,176
177,Hudiksvalls elektricitetsverk 1,"Hudiksvall o.
Hälsingtuna",D:o,,-,-,-,»,»,40000/3000/190,,177
178,Mindre kraftanläggning,Rogsta,Nordenholm,,Vatten,-,an 7,Likström,-,220,Uppgifter saknas,178
,,|,/Forssa,,,20,990,,,,,
179,Ströms bruks A .- B.,Harmånger,Stocka,,,7.5,100 0,Trefas,50,10000/380 o. 190,,179
,,o. Rogsta,Ströms bruks ångstation,,Ånga,-,488,,,,,
180,Harmångers kvarn- och kraft A .- B.,(Harmånger lo. Jättendal,Forsa kvarn,,Vatten -,3,85,,,5000 o. 1000/220,,180
