1,2,,4,,5,,,,9,,11,12
,,,,,,6,7,,,10,,
,,,,,,,,,,,,
181,Gnarps belysnings A .- B.,[Gnarp och) Jättendal,Nilsbo,,Vatten,10,75,Trefas,50,6000/380 o. 220,,181
182,Gränsfors elektriska A .- B.,Bergsjo och Gnarp,Gränsfors,,,15,30,,,5000/380 o. 190,,182
183,Bergsjö kraft A .- B.,Bergsjo ! och Ilsbo,Vade,,,5,125,,»,3000 o. /380 o. 10000/190,,183
184,Ede och Elfsunds elektriska A .- B.,Bergsjö,Räxfors,,,3,36,,,2000/190,,184
185,Fagernäs belysningsförening,,Fagernäs,,,50,20,R,2,1000/380,,185
186,A .- B. Iggesunds bruk,,Bergsjö ångsåg,,Ånga,-,37,,60,380,--,186
,,,|Högen .......,,,,10,Likström,,110,,
187,Sjölanders m. fl. kraftstation,,Knoppe.,,Vatten,,5,,,220,,187
188,Älgereds nya elektricitetsverk,,Norra Algered,,,,15,,,220,,188
189,Algereds elektricitetsverk,,Södra Algered,,,,25,,,220,,
190,Mindre kraftanläggning,2,Eleonorelund,,,,10,2,,220,Uppgifter saknas.,190
191,Bloms m. fl. kraftstation,,Slätterna,,,,5,,,110,,191
192,Bergeå kvarns elektricitetsverk,,Berge,,,,25,,,220,,192
193,Norells och Norbergs kraftstation,,Yttre,,»,,6,»,-,220,,193
194,Ströms bruks A .- B ..,Hassela,Franshammar,,2,3.5,50,Trefas,50,6000/380 o. 220,,194
,,"Bjuråker, Norrbo,",,,,,,,,,,
195,A .- B. Iggesunds bruk,"Hög, Forsa, Delsbo och Hälsingtuna",Friggesund,,,6,200,,»,20000/380,,195
196,Svedjebo elektricitetsverk,Bjuråker,Svedjebo,,,,22,,,5000/190,,196
197,Strömbacka bruks A .- B.,,Hedvigsfors,,»,3,32,,2,5000/220,,197
198,Brännås elektricitetsverk,,Brännås,,,-,25,Likström,-,2×220,,198
199,Mindre kraftanläggning,,Långmor,,,-,12,2,,2 ×220,Uppgifter saknas.,199
200,Norrbergs kraftstation,,Norrberg,,,,15,,,2 × 220,,200
201,Mindre kraftanläggning,,Bricka,,,-,10,,-,220,Uppgifter saknas.,201
202,Strömbacka bruk,,Strömbacka,,,-,13,,-,220,,202
203,Frisbo elektricitetsverk,,Frisbo,,,,10,,,220,,203
204,Movikens elektricitetsverk.,,Moviken,,,-,18,,,220,,204
205,A .- B. Delsbo elektricitetsverk,Delsbo,Fredriksfors,,,15.6,200,Trefas,50,6000/220 o. 190,,205
206,G. Ågrens anläggning.,,Överälve,,,-,10,Likström,,110,,206
207,Venås kraftstation,,Venås,,,,10,,,2 ×220,,207
208,Lumpå kvarn,,Björka,,,,6.5,,,220,,208
209,Stömne elektricitetsverk,,Stömne,,»,,20,,-,220,,209
210,Stömne övre kvarn,,=,,,,10,,,220,,210
211,Lunds kraftstation,2,Lund,,,-,10,,,220,,211
212,Östra Tolbo kraftstation,A,Ostra Tolbo,,,,14,,,2×220,,212
213,Oppsjö kraftstation,,Oppsjö,,,,10,,,2 × 220,,213
214,A .- B. Arbrå kraftverk,Arbrå,Arbrå,,»,13,3 650,Trefas,50,40000 o. 10000,,214
215,D:o,,Kraftleverans fran nr 214 Arbral kraftverk -,,-,-,-,,»,10000/380,,215
216,Mindre kraftanläggning,,Iste,,Vatten,--,10,Likström,,220,-,216
217,,2,Anga ..,,,-,2.5,,,220,,217
218,,,Bogården,,,-,4,,,2 ×220,,218
219,=,,Dalån,,2,,10,,-,2 × 220,,219
220,2 3),,Hänsäter,,2,--,3,,-,220,,220
