1,2,,4
22 222,Mindre kraftanläggning Simeå kraft A .- B.,Arbrå Undersvik,Öjung Simeå
223,Edeforsens kraft A .- B.,Järvsö ochl 1 Ljusdal,Ede
224,Mindre kraftanläggning,Järvsö,Karsjo
225,=,,Lörstrand
226,,,Löräng
227,,,
228,,,Grönås
229,,,=
230,Hedsta och Letsbo elektr. belysn .- förening,Ljusdal,Leån och Oppliån
231,Mindre kraftanläggning,,Nybo. ....
,,,Hennan
,,,Sillerbo
234,,,Ede
235,Tallåsens kraft A .- B.,,Tallåsen
236,Hybo ångsåg,,Hybo
237,Trävarubolaget Svartvik .,Ramsjö,Mellansjö
238,Ramsjö kraft- och belysningsförening,,Ramsjö
239,Mindre kraftanläggning,,Tevansjö
240,Hofra elektriska A .- B.,Färila,Hofra
241,Färila elektriska kraft A .- B ..,,Stocksbo övre och nedre samt Yg ...
242,Färila Nya kraft- och belysnings A .- B.,,Södra Yg
243,Mindre kraftanläggning,,Näsberg
244,Andersson och Johanssons kraftanläggning,,Hyttebo
245,Persson och Olssons kraftanläggning,,Stocksbo
246,Per och J. Larssons kraftanläggning,,Åbo
247,Mindre kraftanläggning,,Skarpå
248,Kårböle elektriska A .- B.,,Kårböle
249,Mindre kraftanläggning .,,Holmen
250,Fågelsjö-Sjöändans elektr. belysn .- förening,Los,Sjöändan
251,Los elektriska belysningsförening,,Karlsfors
252,Hamre elektriska belysningsförening,,Hamra
253,Senare tillkomna anläggningar: A .- B. Gästriklands Yllefabrik,Järbo,Nordanå
254,Storviks Sulfit A .- B.,Ovansjö,Hammarby
255 256,Yttre Sandvikens bel. för.(f. d. Seljans bel. för.) Högbo bruks A .- B.,Högbo,Ab. fr. See Fabriks A .- B. Högbo
257,Gammelstilla bruk,Torsåker,Gammelstilla
258 259,Norra Bodarnas kraft och belysn .- förening Valbo (Gävle Elektr. A .- B.),Hedesunda Valbo,"Ab. fr. Söderfors bruk "" » Abyfors A .- B."
260,Åmots kraft- och belysn .- förening.,Ockelbo,
"261
61",Lötens Sågverks A .- B.,Rengsjö,Hojen
262,Marma,Söderala,Ab. fr. Bergvik o. Ala
263,Tönshammars Bruks Nya A .- B.,,
264,Anders Gramer,Norrala,Närby
265,P. Halvarsson och O. Skåret,Los,Kullbo
266,Sven Nilsson m. fl.,Färila,Angra
267,Dyråns elektr. andelsförening,Gnarp,Dyrå
