1,,3,4,5,6,7,8
20,Säve el. distr .- fören.,Säve,Ab. från Trollhätte kraft- verk,-,-,"-
:unselected:",3-fas
21,Kungälvs stads el .- verk,Kungälv,,-,,,
22,Torsby-Harestads el. distr .- fören.,Torsby . och Harestad,,:unselected:,,-,»
23,Tofta egendom,Lycke,,"-
:unselected:",-,,
24,Gullbringa egendom,,.,,-,,
25 26,"Marstrands stads el .- verk
Romelanda el. distr .- fören.","Marstrand
Romelanda",Marstrands reservstation Ab. från Trollhätte kraft- verk,,,- : -,L 3-fas
27,Stora Borgs tegelbruk,Västerlanda,,,,,»
28,"Norum och udsmåls el.
distr .- fören. samt Spekeröd och Ucklums el. distr .- fören.","Spekeröd,
Ucklum och vdsmål",2,,,,
29,Hjärtums och Hjärtums västra el. distr .- fören.,Hjärtum,,-,-,,
30,Inlands pappfabrik,,=,-,-,,
31,Ytterby el. distr .- fören.,Ytterby,,,-,-,
32,Castellegården,,,,-,二,
33,Trollhätte kraftverk Sekundärstationen i Uddevalla,Uddevalla,,-,,,
34,Uddevalla stads el .- verk,,Ab. från Trollhätte kraft- verk,-,-,,1 L
35,Bäve el. distr .- fören.,Bäve,,,-,,3-fas
36,Forshälla el. distr .- fören.,Forshälla,,,,,
37,Ljungs el. distr .- fören.,Ljung,,,-,,
38,Herrestads el. distr .- fören.,Herrestad,,,,,
39,Foss och Håby el. distr .- fören.,Foss och Håby,,-,,,
40,Munkedals A .- B.,Foss,Munkedal,v å,41 -,544 1 400,L
41,Lyse el. distr .- fören.,Lyse,Ab. från Trollhätte kraft- verk,-,,-,3-fas
42,Lysekils stads el .- verk,Lysekil,,,,,
43,Skandinaviska Granit A .- B.,Brostad,,-,-,,3-fas
44,Stångenäs el. distr .- fören.,Bro och Brostad,,-,-,-,
45a 45b 45c,"Sotenäs el. distr .- fören. Vejarns el. distr .- fören., Hasselösunds, Näsets, Smögens, Gravarnas och Bäckviks sam- hallen Granit A .- B. Kullgrens änka",,»,-,,,
,,"Tossene, Askim, Malmön, Kungs- hamn",,- -,-,1,
46,Skaftölandets el. distr .- fören.,"Fiskeback, Grundsund",,-,-,,
