9,10,11,12,13,14,15,16,17,18,19,1
25,10000/3000/380,60,15,172,155,48,13,216,76 100,450,20
25,10000/380 och 190,550,-,,,,,.,550 000,,21
25,10000/3000/380,60,16,127,:,:,:,.,74 800,.,22
25,10000/190,40,,,,7,5,12,7 400,90,23
25,10000/380,30,,,,.,,,5 500,80,24
25 -,10000/3000/110 2×120,200,.,.,.,.,.,.,183 000,-,25
,10000/1500/380,180,,19,8,18,-,26,26 300,580,26
,10000/lågsp,,-,-,.,.,,,,,27
,10000/3000/380,180,19,265,320,152,24,496,203 900,937,28
25,10000/380,-,7,125,110,24,-,134,59 300,625,29
,10000/lågsp.,,,-,,,,,,-,30
,10000/3000/380,100,4,70,96,14,,110,39 300,231,31
,10000/380,30,-,-,21,4,2,27,3 100,162,32
,50000/20000 och 10000,-,,,-,-,,,-,,33
25 -,10000/380 och 190 2 ×220,,-,-,.,.,.,.,,-,34
50,20000/1500/380,,4,14,24,7,-,31,11 200,186,35
50,10000/380,,7,,120,70,26,216,61 300,1177,36
50,10000/380,,5,125,150,95,100,345,103 800,646,37
50,20000/3000/380,.,1,10,12,5,-,17,5 600,151,38
50,20000/3000/380,,15,244,354,130,15,499,161 000,2 543,39
-,440,-,-,-,.,.,,.,.,-,40
50,20000/3000/380,,4,12,2,33,14,49,15 100,460,41
50 -,20000/6000 2×110,,.,.,.,.,,,.,-,42
50,20000/760 och 190,,-,-,,.,.,,,-,43
50,20000/3000/380,,16,216,100,70,-,170,126 000,1 323,44
50,20000/3000/380 och 190,,,,,,,,,,
,,,18,188,180,137,3,320,101 400,1 177,45
50,20000/·,,,,,,,,,,
50,20000/3000/380 och 190,.,10,111,27,90,10,127,45 200,.,46
