N:o enligt kartan,"Företagets namn, ägare eller inne- havare",Kraftstationens namn eller belägenhet,Driv- kraft,Installerad generator- effekt i kVA,Strömart,Period- tal,Spän- nings- system volt
1,2,3,4,5,6,7,8
1,Visby stads elek- tricitetsverk,Visby kraftsta- tion,d. å.,180 500,trefas likström,50,"3000/380 2 × 220
:selected:"
2,Visby cementfa- brik,Visby cement- fabrik,å.,1 000,trefas,25,-
3,A .- B. Vallviks ce- mentfabrik,Vallvik,å.,285,,50,380
4,Slite cement och kalk A .- B.,Slite,å.,1 000,,50,500
5,E. C. Elvström,Roma,-,-,likström,-,-
6,H. Andersson,,v. och d.,40,trefas,50,3000/380
7,Klinte belysnings- förening,Klintehamns kraftstation,-,,likström,,220
8,Bröderna Edmark,Ala,,-,,,110
9,Ljugarns belys ningsbolag,Ardre,,65,,,2 × 220
10,V. Larsson,Garde,0.,3,,-,220
11,N. Bergvall och J. Broström,Etelhem,,-,,,2 × 220
12,J. Johansson,Lye,,2,,,220
13,A .- B. Hemse elek- tricitetsverk,Hemse kraft- station,,36,,,2 × 220
14,Föreningen Havd- hems elektrici- tetsverk,Havdhem,,11,,-,220
15,K. G. Hoffman och K. Stenström,Burgsvik,-,,=,-,2 × 220
