1,2,,4,5,6,7,,9,1 0,
15,Landa sin,"Soleryds elektricitetsverk,
Lantbr. E. Andersson, So- leryd, Frillesås",Vattenturbin,5,4'5,3,likström,-,220,
16,Idala sin,"Hoffors såg och elektrici- tetsverk, Sågverksäg. Joh. Andersson, Hoffors, Idala pr Frillesås",Vattenhjul,15,6,3.5,likström,-,220,
17,Veddige s:n,"Viske elektriska distribu- tionsförening, Derome",Ab. från,"Yngeredsfors kraft a .- b., Mölndal",,,trefas,50,40 000,
,,,,,,,,,,
18,,"Veddige belysningsförening, Veddige",Vatten- turbiner,60,,20,likström,-,2 ×250,
,,,,,,,,,,
19,,"Kullagården, Godsäg. J. A. Johansson, Kullagården. Veddige",Vatten- turbiner,20 (70),2.5,22,likström,-,110,
,Himle härad.,,,,,,,,,
20,Lindberg sin,"Lindbergs distributionsan- läggning, Tofta, äg. Kand.",Ab. från,"Yngeredsfors kraft a .- b., Mölndal",,,trefas,50,4 000,
21,,"A. J. Andersson, Varberg Göingegårdens kvarn och elektricitetsverk, Godsäg. C. F. Güntzel, Varberg",Vatten- turbiner,30 (20),2.5,32,trefas,50,380,
22 23,Skällinge s:n,"Vikslätts elektricitetsverk, Lantbr. Johan Algot Pers- son, Vikslätt pr Grimma- red (Älvsborgs län). Skällinge kvarn och kraft a .- b., Skällinge pr Rolvs- torp",Vatten- turbiner Vatten- turbiner,10 60,11 10,7 60,likstrom trefas,- 50,220 380,
24 25,Varbergs stad,"Annestorps kvarn, Kvarnäg. Carl Aug. Andersson, Skällinge pr Rolvstorp Yngeredsfors kraft a .- b., Mölndal, Varbergsanlägg- ningen","Vattenturbin Reservång- turbiner
Från bolagets",10 7 750,3 -,"2 (omf.400) 6 650
vattenkraftstationer",likström trefas likström trefas,- 50 50,110 40 000 2×110 4 000,
26,Rolvstorps s:n,"Torsebäcks kvarn, Lantbr. Oskar Andersson, Torse- bäck, Rolvstorp",Vatten- turbiner,40,,6,likström,-,220,
27,,"Hovgårds kvarn, Godsäg.
Ragnar Bexell, Hovgården, Rolvstorp",Vattenturbin,100,32,15,likström,-,110,
28 29,Tvååker s:n,"Himledalens elektriska di- stributionsförening, Rolvs- torp Tvååkers kraft a .- b., Två-","Vattenturbin|
Ab. från","Mölndal 100 |
Yngeredsfors","10
kraft","| 100
a .- b.,",trefas trefas,50 50,10 000 380,
,,åker,"Ab. från Yngeredsfors kraft a .- b., Mölndal",,,,trefas,50,10 000,
