1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,,22,23,1
,Faurås härad.,,,,,,,,,,,,,,,,,,,,,,
30,Källsjö sin,"Holmens kvarn och elektri-
citetsverk, Kvarnäg. Sv. K. Gustavsson, Källsjö pr Fridhemsberg",Vattenturbin,10,3,5,likström,-,2× 220,-,gårds-,2 × 220,2,-,00,100,-,2,2,1918,10,"4), 5) o. 20)",30
31 32,,"Barkhults kvarn och elektri-
citetsverk, Kvarnäg. Sv. K. Gustavsson, Källsjö pr Fridhemsberg Egnareds elektricitetsför-","Vattenturbin
Vattenturbin",10 10,3 3,5 5,likström likström,-,2×220 220,- -,gårds- gårds-,2× 220 220,6 1,- -,3 2,100 80,-,2 22,2 2,1918 1918,15 5,"3), 4), 5) O. 20 4), 5) o. 20)",31 32
33,Fagered sin,"ening, Pastor E. Moden, Källsjö pr Fridhemsberg Lyssebäcks såg, Patron",Vatten-,5,,4,likström,-,110,-,gårds-,110,,-,1,15,-,1,1,1917,3,5,33
34,,"Algot Johansson, Lysse- bäck, Lia Fagereds Länssanatorium,",turbiner Ångturbin,(25),-,13,likström,-,110,-,gårds-,110,1,-,20,-,-,20,15,1913,20,5,34
,,Lia,Vattenturbin,,2,16,,,,,,,,,,,,5,,,,,
35,,"F. d. Hårsareds kraft a .- b.,",Vatten-,,3,35,trefas,50,380,30,orts-,5 000,12,25,14,400,12,20,15,1918,95,"4), 5) o. 91)",35
,,"Disponent K. Svensson,",turbiner,,,,,,,,gårds-,380,20,,,,,,,,,,
36,Ullared sin,"Fridhemsberg
Ullareds elektricitetsverk,",Vatten-,,5.5,32,trefas,50,380,-,gårds-,380,5,-,29,150,20,30,25,1918,30,,36
37,Svartrå s:n,"Kvarnäg. I. E. Berg, Ulla- red Svartrå kraftförening, Svart-","Vattenturbin
turbiner",35,10.5,30,likström,-,2 ×220,-,gårds-,2× 220,5,-,66,300,150,40,30,1919,60,,37
38,,"råhed
Yngeredsfors kraft a .- b.,",Från bolagets,,,vattenkraftstationer,trefas,50,40 000,(200),lands-,40 000,-,-,100,-,-,50,75,1918,-,,38
,,"Mölndal, Akulla torvfabrik, Åkulla",,,,,,,,,orts- gårds-,1 500 380,,,,,,,,,,,
39 40,Gunnarp sin,"Karnebygds såg, Patron",Vattenturbin,25,4.2,1.5,likström,,220,-,gårds-,220,1.5,-,1,-,24,1,1,1917,3,5,39
,,"Albin Andersson, Kärne- bygd, Gunnarpsstom pr Atran Esereds elektriska distribu-",Vattenturbin,20,2.5,20,trefas,50,380,,gårds-,380,9,,30,400,30,10,18,1919,50,,40
41,,"tionsförening, Atran
Esereds ångsåg, atran, äg. Bark & Warburgs för-",Ångmaskin,75,-,30,likström,-,110,-,gårds-,110,,-,15,-,-,7,10,1908,-,,41
42 43,Dagsås sin,"nyade a .- b., Göteborg
Fegens låd- och tunnfabrik, Carl Magnusson & C:o, Fegen Skygge kraft a .- b., Två-",Vattenturbin Ångmaskin,10 160,- 12.5,7 150,likström trefas,- 50,220 380,- 150,gårds- bygde-,220 10 000,2 28.5,- 270,5 550,25 200,- 4 300,2 150,3 120,1918 1919,5 500,5) o. 23) 19),12 43
,,åker,,,,,,,,,gårds-,380,60,,,,,,,,,,
44,,"Öströö kvarn och såg, Fri-
herre B Klingspor, Två-",Vattenturbin,15 (35),2.8,4,likström,-,220,-,gårds-,220,1,-,11,-,100,2,4,1916,8,,44
45 46,Sibbarp sin,åker Stegareds såg och elektri-,Vattenturbin,20,,10,likström,-,2×220,-,gårds-,2×220,1,-,00,75,25,2,5,1918,6,4) o. 5),45
,,"citetsverk, Patron Aug. L. Svensson, Stegared pr Åkulla Astads elektricitetsverk,",Vattenturbin,10,3,6,likströin,-,220,00 0-,gårds-,220,1.5,-,3,100,--,2,3,1918,4,4) o. 5),46
47,A,"Lantbr. Johan Carlsson, Åstad, Tvååker Risens kvarn, Kvarnäg.
Algot J. Andersson, Risen pr Långås",Vattenturbin,12,,1.5,likström,-,110,-,gårds-,110,-,-,1,-,-,1,1,1918,1,5,47
