1,19,13,14,15,16,17,18,19,20,21,22,23,1
-,gårds-,220,2,-,3,150,-,2,2,1918,4,4) o. 5),48
- nas,gårds-,2 × 220,2,-,21,-,60,3,5,1920,15,,49
-,gårds-,2× 220,,-,35,350,30,25,12,1912,6,5) o. 24),50
40,orts- gårds-,5.000 500 0.220,7 15 o. 4,45 17,34,550,40,25,20,1919,120,4) o. 25),51
-,gårds-,2×220,3,-,4,200,-,2,3,1917,15,"4) o. "")",52
- 008,gårds-,220,2,-,2,30,-,1,1,1918,10,4) o. 20),53
3 000,lands-,40 000,,,(2 718,50,--,(6 000),(1 600),1917,2 000,27,54
,bygde-,10 000,1,(375,10,,,5,10,1920,,,
,gårds-,220,1,25,,,,,,,,28),55
9 000,lands-,40 000,,,-,-,-,(18 000),(8 000),1907,1 500,,
200 6 000 200 TOSs,lands- bygde- orts- gårds-,"40 000 10 000 4 000 o. 1 500 800, 380 0. 220",99 - -,-,-,-,-,=,,1907,1 500,7) o. 29),56
-,gårds-,220,0.5,-,5,,30,1,3,1918,2,5,57
-,gårds-,220,3.0,,3,140,-,2,2,1918,7,4) o. 5),58
- 1099,gårds-,220,4.5,-,12,300,,8,12,1918,15,4) o. 5),59
ber 000.8,gårds- 00,220,1,-,3,110,-,2,2,1918,6,4) o. 5),60
,gårds-,380,2,-,35,150,200,10,15,1914,12,,61
"000 00
-",orts-,5 000,10,150,260,150,1 100,60,50,1919,155,,62
,gårds-,380,20,,,,,,,,,,
,orts-,5.000,10,1 267,1 420,,-,1 450,685,1903,900,,63
,gårds-,500,3.5,,,,,20,,,,,
-,,380,,,,,,30,,,,,
,,0. 220,21,,,,1,,,,,,
