1,,3,4,5,6,7,8,9,10
83 84 85,Torup sin. A,"Rävsbo andelskraftförening,
Bjärnalt, Torup Kalarps elektricitetsverk, Lantbr. B. J. Bengtsson, Kalarp, Fröslida Mosilts kvarn och elektri- citetsverk, Herr J. E. An- dersson, Fröslida","Vattenturbin
Vattenturbin Vatten- turbiner",10 7 4 (12.5),12 6 2.7,7 5 25,likström likström trefas,- - 50,2×220 220 1 500
86,,"Kongsveka kvarn, Lantbr.
Bengt Andersson, Kongs- veka, Torup",Vattenturbin,22,2.1,1.5,likström,-,220
87 88 89 90,= Slättåkra sin,"Mjälahults kvarn och elek-
tricitetsverk, Lantbr. Johan Bengtsson, Mjälahult,Torup Frillabäcks elektricitetsför-
ening, Lantbr. N. Karls- son, Ynnabo pr Torup Gräsås kvarn och elektrici-
tetsverk, Kvarnäg. Johan Johansson, Slättåkra pr Oskarsström Johansfors elektricitetsverk, ägare Direktör E. Berger, Halmstad","Vattenturbin
Vattenturbin
Vattenturbin
Vattenhjul Vatten- turbiner",6.5 20 6.5 15 130,3.9 6.1 8,4'2 5 8 110,likström likström likström trefas,- - - 50,2 × 220 220 2 × 220 3 000
91,,"Drareds elektriska distribu- tionsförening, Johansfors",Vatten- turbiner,24,10,15,likström,-,2×220
92,Oskarsströms mie,"Oskarsströms elektriska an-
delsförening, Oskarsström",Vattenturbin,60,6,45,trefas,50,380
93,,"Skandinaviska jutespinneri och väveri a .- b., Oskars- ström",Vatten- turbiner Ångturbiner,1 270 720,7.5 -,114,likström,-,110
94,,"Oskarsströms sulphite mills a .- b., Oskarsström",Vatten- turbiner Ångturbin,950 830,3.0 -,740 700,trefas,50,800
95,Getinge s:n,"Mostorps gård, Justitierådet Emil Sundberg. Getinge",Vatten- turbiner,45,3,22,likström enfas,25,110 60
,,,,(60),,,,,
96 97,,"Sembs elektricitetsverk, Direktör Olander Larsson, Getinge. Fröllinge gård, Friherre R.
Hermelin, Getinge","Vattenturbin
Vatten- turbiner",180 25,11.7 18,145 20,trefas trefas,"50
50",380 380
98,Harplinge sin,"Harplinge kraft a .- b., Harp- linge","Ab. från Halmstadsortens kraft- förening, Halmstad",,,,trefas,50,10 000
99,,"Lynga elektricitetsverk, Lantbruk. Jons Jönsson, Gullbrandstorp","Vatten- turbiner
Ab. från","förening,
44 -
Halmstadsortens","Halmstad
4","45
kraft-",trefas trefas,50 50,380 3 000
100,Kvibbille s:n,"Steninge elektricitetsverk, Godsäg. Hugo Tham, Su segården, Getinge",Vatten- turbiner Råoljemotor,"120
55","-
10",75 45,trefas trefas,50 50,1 500 1 500
101,Holm sin,"Slangemöllans kraft- och belysningsförening, Lant- brukare Carl Nilsson, Slangemollan, Holm pr Halmstad","Ab. från Halmstadsortens
förening, Halmstad",,,kraft-,trefas,50,3 000
