1,,,4,5,6,7,8,9,10,
102,Holm sin,"Holms belysnings- och kraftförening, Holm pr Halmstad","Ab. från Halmstadsortens
förening, Halmstad",,,kraft-,trefas,50,3 000,
103,Ovraby sin,"Sperlingsholms elektricitets- verk, Godsägare Carl S.",Vatten- turbiner,1 060,3º3,720,trefas,50,380,
,,"Kuylenstjerna, Sperlings-",Råoljemotor,160,,108,trefas,50,380,
,,holm,Suggasmotor,225,,150,trefas,50,380,
104,Vapnö s:n,"Halmstadsortens kraftför- ening, Halmstad","Ab. från Halmstads stads elektrici- tetsverk, Halmstad",,,,trefas,50,3 000,
105,,"Mickedala kraftförening, Halmstad",Ab. från,"Halmstadsortens kraft- förening, Halmstad",,,trefas,50,3 000,
106 107,Söndrum sin,"Skandinaviska granit a .- b., Sondrum pr Halmstad Söndrums stenhuggeris elektriska förening, Sönd- rum pr Halmstad","Ab. från
Ab. från
Söndrum","Halmstadsortens
förening,
Skandinaviska
pr","kraft-
Halmstad
granit a .- b.,
Halmstad",,trefas trefas,50 50,3 000 3 000,
,Tönnersjö härad.,,,,,,,,,
108,Enslövs sin,"Karlstorps elektricitetsverk,
Skavböke pr Sennan",Vattenturbin),4,3,1,likström,-,220,
109,,"Karlstorps kvarn och såg,
Kvarnägare J. Johansson, Skavböke pr Sennan",Vattenturbin,25,4'5,6,likström,-,220,
110,,"Nissaströms a .- b., Johans- fors",Vatten- turbiner,125 (900),7.5,100,trefas,50,380,
111,,"Årnilts elektriska distribu-
tionsförening, Skavböke pr Sennan",Vattenturbin,9,4.5,12,likström,-,2×220,
112,,"Öknalts elektriska distribu-
tionsförening, Lantbruk. Aron Nilsson, Skavböke pr Sennan",Vattenturbin,4,36,00,likström,-,220,
113 114,,"Sennans kvarn och elektri- citetsverk, Bruksäg. Johan E. Andersson, Sennan A. B. Aleds traullfabrik, Aled",Vatten- turbiner Ångmaskin,65 65,7.8 -,42 3,likström likström,- -,2×220 110,
115,=,"Ettarps kvarn och elektri-
citetsverk, Notarie K. J. Ewertz, Lilla Ettarps gård, Asled",Vattenturbin,12,8.5,9,likström,-,2 ×220,
116,..,"Nortorps elektricitetsverk,
Lantbr. Adolf Jönsson, Hertered, Aled",Vattenturbin,10,6,7,likström,-,2 × 220,
117,....,"Arlösa elektricitetsverk, Snickare Birger Karlsson, Sperlingsholm",Vattenturbin,16,10,6,likström,,2 × 220,
118,Breared sin,"Skiftebo kvarn, Lantbr. L.
Johansson, Ryaberg",Vattenturbin,10,5,2,likström,,220,
,,,,,,,,,,
119 120,,"Byggets såg- och elektrici- tetsverk, Bygget, äg. A .- B. Diorit, Malmö Fröböke kvarn och elektri-
citetsverk, Kvarnäg. Algot Johansson, Fröböke, Bygget","Vattenturbin
Vatten- turbiner",15 (25 72,2 5,10 13,likström likström,- -,220 220,
