1,2,,4,5,,6,7,8,9,10
121 122,Breared sin,"Högalts kvarn och elektri-
citetsverk, Lantbr. Sven Bengtsson, Högalt pr Rya- berg Skavsjö elektricitetsverk,
Ryaberg, ag. Grosshandl. Janne Jönsson, Halmstad.","Vattenturbin
Vattenturbin",12 50,,10,"2
50","likström
trefas",- 50,220 380
123,Halmstads stad,"Halmstads stads elektrici- tetsverk, Halmstad","Ab. från Sydsvenska kraft a .- b., Malmö",,,,,trefas,50,50 000
124,,"Vallbergs fabriks a .- b., Halmstad","Angmaskiner Vatten- turbiner Angmaskin
Ab. från",520,,-,821,likström likström trefas,- 50,"2×110
110 3 000"
,,,,"citetsverk,
279 159
Halmstads",,"Halmstad
2.4
stads","62
elektri-",,,
125,Snöstorp s:n,"Marbacks fabriks a .- b., Marbäck",Vatten- turbiner,1 020,,7,10,likström,,220
126,=,"Skedala belysningsförening,
Byggmäst. Karl Anders- son, Skedalahed",Vattenturbin,6.5,,6.5,5,likström,-,220
127,,"Landala elektricitetsverk, Riksdagsman B. Jönsson, Upplanda gård, Röinge, Halmstad",Vattenturbin,,20,14-8,15,trefas,50,380
128,,"Öppinge elektriska förening, Lantbr. Albert Karlsson, Röinge, Halmstad","Ab. från Landala elektricitetsverk, Röinge, Halmstad",,,,,trefas,50,3 000
129,,"J. Lundgrens kvarn a .- b., Fyllinge, Halmstad",Vatten- turbiner,,30 (35),2.3,20,likström,-,2 ×220
130,32,"Fyllinge kvarn, Kvarnägare
Adolf Tullgren, Fyllinge pr Halmstad",Vattenturbin,36,,,9,likström,-,220
131,Tönnersjö sin,"Alslövs säteri, Bröderna E. & A. Kull, Eldsberga",Vatten- turbiner,18,,,20,trefas,50,3 000
132,,"Stjärnarpsbruket, Godsäg. Ernst Nilsson, Eldsberga",Vattenturbin,5,,,4,likström,-,220
133,Eldsberga sin,"Stjärnarps gård, Friherre
D.A.Stjerncrona, Eldsberga",Vattenturbin,30,,5,27,trefas,50,1 500
18,Höks härad.,"Tönnersa kvarn och elek- tricitetsverk, Lantbr. Jo- han E. Larsson, Eldsberga",Vatten- turbiner,35 (45),,2,18,likström,,2 ×220
135 3,Veinge sin,"Bölarps elektricitetsfor- ening, Lantbr. Gustav Jo-
hansson, Bölarp, Veinge Veinge elektriska andels- förening, Veinge","Vattenhjul
Vattenturbin
Ab. från","10 10 Malmö
Sydsvenska",,"5
kraft","17
a .- b.,",likström trefas,- 50,2×220 20 000
137,Tjärby sin,"Tjarby tegelbruks a .- b., Genevad",Ab. från,"Sydsvenska kraft a .- b., Malmö",,,,trefas,50,380
138,,"Svenska sockerfabriks a .- b., Genevad","Ab. från
(Ångturbin) |","Sydsvenska kraft
(1 200) | Malmö - |",,,"a .- b.,
(1 000)",trefas trefas,50 50,380 380
139,= ...,"Genevads belysningsför- ening, Herr Karl Sand- berg, Genevad",Ab. från,"Sydsvenska kraft a .- b., Malmö",,,,trefas,50,380
