1,2,3,4,5,6,,8,9,10,11,1 2,13,14,15,16,17,18,1
35 36,Insp. Br. Carlsson Hackås-Nas El. A .- B.,"(Hackås, Nas, Lockne, Sun- ne, Norderön och Friso",Billsta Lillå,V,10 6.3,c:a 500 » 200,176 -,-,3-f,50,10000/380 o.220,175,850,62.5,1 087.5,/1920-21 1919-20,Stationerna samarbeta. Ledningarna agas av Hackas-Nas El. A .- B.,35 36
37,Gillhovs El. Fören.,Hackås,Gillhovs by,,,,-,-,L,,,,-,-,-,,,37
38 39,"Lit och Kyrkås El. A .- B. El. A .- B. Handog, Brevåg, Schickja",Lit o. Kyrkås Lit,Ab.fr. Hissmofors A .- B.,-,-,-,19 3,-,3-f,60 60,10000/380 10000/190,42,118,,160,1918,,38
40,"Krokum, Nälden, Aspås och Lit byar samt Öhnets byamän","Lit, Rödön, Näs- kott o. Aspås",,-,- 8,-,16,-,2,60,10000/190,"-
60","-
70","-
-","17
130",-,,"39
40"
41,Häggenås El. A .- B.,Häggenås,Ab. fr. Hissmofors A .- B.,,-,-,,,,,,,,,,,,
42,Högbroforsens Ind. A .- B.,,Högbron,V,6.8,110,12,-,3-f,60,10000/220,50,58,-,108,1918,,
43,Follinge El. Foren.,Föllinge,Hårkan,,-,30,-,,L,60,2 × 220,0'5,139.5,,140,1920,Industriell drift.,
44,Nasaforsens Kraft A .- B,,Häsaforsen,,,-,5,,3-f,50,6000/220,12,-,,12,1917,,
45,Norra Skärvångens El. Fören.,008,Lillskärvången,2,,13,,-,L,50,- 220,-,-,-,- -,-,"Nyanl. om 600 hkr på- börjad med 6 k V, ehuru",
46 47,Åkersjöns o. Högruns El. Fören. Mindre distr .- företag,Föllinge,Högrun Raftälven,V,-,- 9,-,-,L,-,-,-,-,,-,-,arbetet avbrutits.,46
48|,Laxvikens El. Fören.,Laxsjö,Bukallbränna,,,15,,,,-,220,,,-,,,,
49,Storåbränna Byamän,,Storbränna,2,-,,6,,3-f,50,6000/190,11,,-,11,1917,,48
50,Valsjö Kraft o. Såg A .- B.,Hotagen,Valsjö,,,13,-,,L,-,2 × 220 250,4.5 -,,9.0 -,13.5 -,1921,,49 50
51,Rörvattnets El. Fören.,Hotagen,Rörvattnet,v,-,-,,,,,,,,,,,,
52,Häggsjön.,2,Häggsjön,,,18,,,L,,-,,,,,,,
53,Hissmofors A .- B.,Rödö,Hissmofors,,14.5-16.5,9 000,,,,,110,,,,,,,
54,Rodobygdens El. Fören.,2,Ab. fr.Hissmofors A .- B.,,,,,,3-f,60,10000/380,700,4 800,3 500,9 000,1896-1921,"JÖstersunds El. A .- B.
K",
55,Dvärsätts El. Fören.,,,,-,,4 1,-,,60 60,10000/380 10000/220,12 10,49 25,,61 35,1918 1918,{ äger del i kraftstat.,
56 57,Södra Krokoms El. Fören. Tullus Mejeriförening,Rödő Näskott,Ab.fr. Hissmofors A .- B.,V,-,15 T,- 10,,L 3-1,- 60,2 × 220 10000/220,8,= 40,-,8 52,1915 1918,,56 57
58,Bole-Nordannalden El. För.,Näskott och Aspås,,,,,3,-,,60,10000/220,6,30,,36,1918,,58
59,Naldens Akdonsfabrik.,Näskott,,-,-,-,,,,,,,,,,,,
60,Näldens Ullspinneri A .- B.,,»,,,,1,-,,60,10000/380,-,50,-,50,1917,Industri.,59
61,,,,V,1.6-1 9,72,"1
-",1 -,,60,10000/380,-,88,-,90,-,"Industri. 5 o. 7) Olja i reserv,",60 61
62,Vaplans Mek. Verkstad,Näskott,Vaplan,V,-,500,,,,,,,,,,,c:a 30 kVA.,
63,A .- B. Ytterå Valskvarn,,Ytterån,,2.7,200,$5,,3-f,50,20000/1500/360,-,60,,100,1920,"Verken arbeta parallellt.
Industriell drift",62
64,Rösta El. Distr .- Fören. o. Tängs Villasamhälles El. Fören.,Ås,Ab.fr.Hissmofors A .- B.,-,-,,3,,,60,"1 resp. 220
10000/220",20,35,"-
-",55,1921 1918,"och
1 distribution.",63 64
65,Sams El. Distr .- Fören.,,,,,,1,,,60,10000/380,10,25,,35,1918,,65
66,Lugnviks El. Foren.,As,Ab. fr.Hissmofors A .- B.,,-,,1,,3-f,60,10000/220,10,20,,30,1918,,66
67,Kännaåsens El. Fören.,,,,,-,2,-,,60,10000/220,20,30,,50,1918,,67
68 69,Östersunds El. A .- B. Lillange El. Fören.,Östersund,Östersund Ab.fr. Hissmofors A .- B.,å,-,500,39,1 982,"3-f
1-f","-
60",/10000/190 resp. 1 2 × 110,1 020,1 110,870,3 000,-,Bol. äger i Hissmoforsen,68
70,Hammerdal El. Kraft A .- B. ...,Hammerdal,Edefors,V,2.2,270,,,3-f,60,10000/220,10,-,,10,1920,kraftstat. 2000 kVA.,69
,,och Gåxsjö,,,,,,,,50,6000/380-190,65,650,32.5,767.5,1912,5 o. 7) reserv.,70
71,Mindre distr .- företag,Hammerdal,Svedje,V,:unselected:,10,,,,,,,,,,,,
72,Nylands Kraft A .- B.,Gåxsjö och,Nyland,,3.5,125,,-,,-,220,-,-,,-,-,,71
,,Hammerdal,,,,,10,,3-f,50,10000/190,34,175,,209,1913,,72
73,A .- B. Per Holms El .- verk,Ström,Lövön,,3.6,1 050,,,,,,,,,,,,
74,Ulriksfors Sulfit A .- B,,Ab. fr. föregående,-,-,,10,260,,50,10000/220,100,160,7,267,1903-04,,73
75,Lövberga El. Fören.,,Lövberga,,,c:a 25,1 2,800 15,»,50 50,10000/380 1500/380,,900 -,-,900,1918 -,Industri.,74 75
