1,2,3,4,5,6,7,8,9,10,11,12,18,14,15,1 6,17,18,1
76,J. Larsson,Ström,Stamsele,V,,10,,,,,,,,:unselected:,,:unselected:,,
77,Fridsbergs barnhem,,Hillsand,»,,15,,,,,220,-,,-,,-,,76
78,Mindre distr .- företag,,Svaningen,,,7,,,,,220,,:unselected:,,:unselected:,:unselected:,,77
79,Storåns El. Kraft A .- B.,Alanas och mindre del av Ström,Gärdvattnet,»,,200,12,8,3-f,50,220 20000/380,"-
:unselected:","-
:unselected: :unselected:","- -
:unselected:",:unselected:,"--
:unselected:",7) Kraftst. utbyggd för 400 kVA.,78 79
80,Siljeåsens El. Fören.,Alanäs,Siljeåsen,,-,-,,-,L,-,2 × 220,-,-,-,,-,,80
81,Gäddede El. Kraft A .- B.,Frostviken,,V,-,30,,,,,,,,,,,,
82,Jormvattnets El. Fören.,,,,-,30,,,3-f,50,10000/220,28,8,-,36,1919,,81
83,R. Svanström.,,Bågede,,,,,,,50,6000/220,10,25,,35,1919,,82
84,Järpens Cellulosafabr. o. Pap- persbruk,Undersåker,Edet,,7.9,800,,,,,,,,,-,,,83 84
85,Järpens Cellulosafabr. o. Pap- persbruk,,Fabriksfallet,,6,320,1,-,3-f,50,3000/380,-,1 780,-,1 800,1910-13,Uteslutande industriell drift.,85
86,Fören. Kvarnforsverken,Undersåker,Kvarnfallet,v,5.5,150,,,,50 50,,,,,,,,
87,A .- B. Järpens Elektricitet,,Ab. f. För. Kvarnfors- verken,,-,,"4
4",,3-f,,"10000/220
10000/220",30,25,-,55,1915-16,,"86
87"
88,A .- B. Huså-Fröå gruvor samt Undersåkers El. Kraft A .- B.,Undersåker och Are,Slagsån,,60,450,9,-,,50,20000/ resp.,24,14.5,-,38.5,1916,Huvudsakl. industri.,88
89,Äggfors A .- B.,Mörsil o. delv. Mattmar,Äggforsarna,,12-13,400,-,-,,50,10000/220 3000/380,-,705,-,705,1914-15,,89
90,Fören. El. Energi,Mörsil,Ab. fr. Äggfors A .- B.,,-,-,10,-,,50,3000/220,-,-,,75,1914,,90
91,Åre A .- B,Are,Tegefors,,5-5.3,172,,,,,,,,,,11870-tal.,,91
92,,2,Kvarnå,,22.5,172,12,252,3-f,50,8000/220 -- 190,88,122,-,210,1 1917,,92
93,Nordhallens El. Fören.,,Nordhallen,,-,40,,,,,,,,,,,,93
94,Handöls Nya Täljstens & Vat- tenkrafts A .- B.,,Nedre Handölsfallet,,37-38,210,,,,"50
50","6000/220
10000/380",5,"30
246",-,"35
270","1920
1915",Huvudsakl. industri.,94
95 96,Distr. i Enafors och Storlien Anns El. Fören.,,Ab. fr. Handöls A .- B.,,- -,,4,,,50,10000/220,25,-,-,25,1918,,95 96
97,Tångböle byamän,Åre,Tångböle,V,-,-,,,,,,,,,,,,
98,Mindre distr .- företag,,Häggsjö,,-,,,,L,,,,-,-,,,,97
99,K. Wallenberg,,Skolstugan,,,,,,,-,,,,,,-,,98
100,Kall El. A .- B.,Kall,Ab. fr. Fören. Kranf .- * verken,,-,,7,,3-f,50,10000/220,17,- 46,7.5 7,- 64.5,1918,,99 100
101,Långfors Kraft A .- B. och Lind- sjöns byamän,Offerdal,Långfors,V,5,200,25,-,3-f,50,12000/380-220,64,112.5,61,237.5,1919,,101
102,Kaxås El. And .- Fören,,Kaxås,,,25,,,,,,,,,,,,
103,Gärdefors El. Fören.,2,Gärde,,,18,5,,,50,3000/220,13,30,-,43,1918,,
104,O. Nilsson,,Lugnet,,,5,,,L,- -,220 220,-,-,-,- -,,,"103
104 10"
105,Alsens El. Distr .- Fören.,Alsen,Ab. fr. Hissmofors A .- B.,,,,24,,3-f,60,10000/220,59,69,18,146,1919,,105
106,A .- B. Tegefors Verk,Alsen,Ab. fr. Vaplans Mek. Verkst.,-,--,-,2,-,3-f,50,10000/1500/220,,355,-,400,1919,Industri.,106
107,Aggfors A .- B.,,,,,,1,,,50,20000/380,-,107.5,-,107.5,1919,,107
108,"Ytteråns, Are och Trångs byar",,", » R",,,,6,,,,20000/380,10,25,-,3.,1919,,108 10
109,Millners El .- verk,,Kluk,v,,12.5,,,L,-,2 × 220,4'8,14,3,21.8,,,109
110,Frösö El. Fören.,Frösön,Ab.fr. Hissmofors A .- B.,,,,5,,3-f,60,10000/380,50,65,-,115,1917,,110
11,W. Edwall,Frösön,Slandrom,V,-,18,,,,,,,,,,,,
112,Myssjo & Ovikens Kraft A .- B.,Myssjö o. Ovik.,Högån,,-,100,,,L,,2 × 220,,27,-,33.5,1920,,111
113,G. Eriksson,,Västnår,,,12,25,,3-f,50,20000/220,48,60,,108,1917,,112
114,E. Johansson,Myssjö,Hovermo,,-,30,,,L,-,120,-,-,,,-,,113
115,Hallens El. A .- B.,"Hallen, Matt- mar, Alsen, Marby, Nor- derön o. Sunne",Dammån,,11,500,40,,3-f,50,2 × 220 20000/380,100,300,- 32.5,432.5,1919,,"114
115"
