An- lägg- nin- gens nr,"Härad eller tings- lag samt samhälle, socken eller landskommun, vari anläggningen i sin helhet eller till väsentlig del är belägen",Anläggningens namn och adress,Uppgifter beträffande energikälla,,,,,,
,,,Drivmotor,,Ut- byggd fall- höjd,Total gene- rator- effekt,Elektriskt system å generatorerna eller å den anläggningen tillförda energien,,
,,,Slag,Sam- manlagd storlek,,,Ström- art,Period tal,Spän- ning
,,,,hkr,m,kVA,,pr/s.,volt
1,2,3,4,15,6,7,8,9,10
,Vista härad.,,,,,,,,
1,Gränna s:n,"A .- B. Röttle elektricitets- verk, Gränna",Ab. fr. Södra Vätterns kraft A .- B.,,,,trefas,50,10 000
2 3,,"Södra Vätterns kraft A .- B.,
Jönköping. Kraftstationen vid Röttle. Distributionen från Röttle","Vattenturbin
Ab. fr. Södra","3 600
Vätterns","108
kraft","3 200
A .- B.",,50 50,3 000 10 000
4,,"Bunnströms elektriska för- ening, Gränna",,Dito,,,,50,10 000
5,,"Åsmarks elektriska förening, Gränna",,Dito,,,,50,10 000
6,Ölmestad sin,"Ölmestads norra energiför- ening, Brötjemark",,Dito,,,,50,10 000
7,,"Ölmestads kraft A .- B., Bröt- jemark",,Dito,,,,50,380
8,Skärstad s:n,"Jönköpings stads elektrici-
tetsverk. Kraftstation vid Edeskvarna",Vattenturbin|,1 500,57,1 300,,30,3 000
9,A,Ortsdistributionen vid Edes- kvarna,Ab. fr. Jönköpings el .- verk,,,,,50,3 000
10,,Lyckås A .- B. Lyckås Gård,,Dito,,,,50,3 000
,Norra Vedbo härad.,,,,,,,,
11,Tranås stad,Tranås stads elektricitets-,Vattenturbin|,210,2.8,240,,50,3 000
,,"verk, Tranås",,500,12,450,,50,3 000
12 13,2,"A .- B. Åsvallehults elektrici- tetsverk, Tranås. Kraftst. vid Åsvallehult o. distr .- anläggn. inom staden A .- B. Asvallehults elektrici- tetsverk, Tranås. Angkraft- station i Tranås",Ångmaskin,115 125,2.4 -,84 84,,50 50,4 000 4 000
