Sam- man- lagd pri- mär trans- for- mator- effekt,Distributionsledningar,,,"Sam- manlagd
ge- kundär trans- forma-
toreffekt","manlagd
Sam- anslut- ning av motorer, lampor m. m.",Elektrifierad areal odlad jord,,Alstrat eller tillfört kraftbelopp,,Bygg- nads- år,Unge- färlig total anlägg- nings- kostnad,Anmärk- ningar,An- lägg- nin- gens nr
,Klass,Spän- ning,"längd
Sam- man- lagd",,,med blott belys- ning,motor- med belys- ning och drift,årligt energi- belopp,maxi- mi- effekt!,,,,
kVA,,volt,km,kVA,kW,hektar,hektar,mega kW,kW,årtal,tusental kr.,,
11,12,13,14,15,16,17,18,19,20,21,2,,1
50,orts- gårds-,3 000 380,8 10,62,135,210,420,50,40,1919,55,Se anm. 1),1
3 200 500,bygde- orts-,40 000 10 000,17,2 600,-,-,-,(5 000),(2 500),1922,4 000,Se anm. 2),2
,orts- gårds-,10 000 380,16,220,260,120,280,100,100,1921,100,Se anm. 3),3
-,orts- gårds-,10 000 380,1 2,20,36,15,90,10,20,1921,10,,4
,orts- gårds-,10 000 380,1 1,20,32,,55,8,20,1921,8,,5
-,orts- gårds-,10 000 380,9 15,70,64,110,270,20,40,1921,80,Se anm. 4),6
85,orts- gårds-,10 000 380,13 15,118,135,335,205,20,35,1918,98,Se anm. 5),7
1 200,bygde-,40 000,16,2 700,-,-,-,(4 000),(400),1918,1 117,Se anm. 6),8
-,orts- gårds-,3 000 220,7,65,72,-,230,20,25,1918,45,,9
(100),orts- gårds-,3 000 220,3,97,80,,420,40,50,1919,38,Se anm. 7),10
- 450,bygde- orts-,40 000 3 000,27 3,450,1 000,-,=,800,400,-,600,Se anm. 8),11
,gårds-,220,3,,,,,,,,,,
,orts-,4 000,2,155,240,1 800,450,80,65,1907,120,Se anm. 9),12
,gårds-,380,5,,,,,,,,,,
-,-,,-,-,-,,-,80,65,1912,70,Se anm. 9),13
