1,2,,4,5,6,7,8,9,10
106,Åsenhöga sin,"Ingarps elektr .- verk, Åsen-
höga pr Gnosjö",Vattenturbin,8,,5,likström,-,2×110
107,,"Åsenhöga elektr. för., Åsen- höga pr Gnosjö",,20,6,15,,-,220
108,,"Törestorps andelselektr .- för., Asenhöga pr Gnosjö",,25,3.7,20,trefas,50,380
109,,"Götarps kraftst., Asenhöga pr Gnosjö",,5,1,3,likström,-,220
110,,"Skärvhults o. Skarköps el. för., Asenhöga pr Gnosjö",,10,4,,,-,2× 220
111,Källeryd s:n,"Nissafors träsliperi, Nissa- fors",,30 (900),7-8,25,=,-,220
112,,"Nissafors elektr .- verk, Nissa- fors",,25,3.7,20,trefas,50,380
113,Norra Hestra sin,"A .- B. Hestra elektr .- verk, Hestra",,20,,16,likström,-,2 ×220
114,,"Forsviks kvarn, Hestra",,(27) 10,6,6,»,-,220
115,=,"Språttebo elektr .- verk, Språttebo pr Hestra",,10,10,oi,,-,2 × 220
,Västbo härad.,,,,,,,,
116,Båraryd sin,"Öranholms kvarn, Båraryds- by pr Gislaved",=,20,5,6,,-,220
117,,"Hedenstorps elektr. för., Bararydsby pr Gislaved",»,4,13,3.5,,-,220
118,,"Båraryds elektr. för., Båra- rydsby pr Gislaved",,30,18,14,,-,2× 220
119,Gnosjö s:n,"Lantbr. Aug. Andersson, Töllstorp, Gnosjö",,50,4,1,,-,220
120,,"Gnosjö elektr .- verk, Gnosjö",,40,7,38,trefas,50,380
121,=,"Gnosjö gelbgjuteri, Gnosjö",,19,4.5,15,likström,-,2 × 220
122,,"J. Hyltens metallvarufabrik, Gnosjö",,15,4.5,6.5,,,2× 220
123,,"Fägerås elektr. andelsför., Gnosjö",E,15,14,10,,-,2×220
124,=,"Häryds bruk, Gnosjö",Vattenhjul,20,,3,,,220
125,Våthult s:n,"Stenshults el. för., Mölvehult
pr Sjötofta i Älvsborgs län",Vattenturbin,26,6,14,,,2× 220
126,,"Våthultsströms elektr .- verk, äg. Fabrikör M. Petterson, Gislaved",,300,10.5,192,trefas,50,380
127,,"Moo. Grävhultel. belysnings- för., Våthult pr Gislaved",,15,3,₹10,likström,-,220
128,,"Sv. Gummifabr. A .- B., Gisla- ved. Kraftstationen vid Vika",,325,18,220,trefas,50,6 000
129,Anderstorp sin,"Sv. Gummifabr. A .- B., Gisla- ved. Kraftstationen vid Gyllenfors",,400,8.E,300,,50,6 000
3,,"Henja elektr. belysningsför., Gislaved",Ab. fr. Våthultsströms el .- verk 1 1,,,,,50,10 000
