11,"12
:unselected:","13
:unselected:","14
:unselected:","15
:unselected:",16,17,18,19,20,21,22,23,1
65,orts- gårds-,10 000 380,15 22,95,32,400,50,15,30,1918,180,Se anm. 48),252
80,orts gårds-,6 000 380 o.220,6 12,125,120,240,70,200,80,1917,180,Se anm. 49,253
-,-,-,,-,"-
:unselected:","-
:unselected:","-
:unselected:",-,,1918,-,Se anm. 49,254
,gårds-,220,1,---,2,20,-,1,1,1918,4,,255
30,,380,2,-,7,-,40,3,4,1919,,,256
(30),orts-,3 000,11,22,19.5,240,70,10,15,1920,,,257
,gårds-,380,14,,,,,,,,,,
-,,220,3,-,5.5,60,,2,5,1918,8,,258
-,,220,2,,2,30,-,1,2,1918,6,,259
,,2 × 220,,,8'2,40,70,5,8,1914,14,,26
50,,380,5,-,5,90,-,3,5,1918,55,,261
,orts-,6 000,3,30,18,60,60,10,15,1918,21,,262
,gårds-,38,3,,,,,,,,,,
-,,2 ×220,4,,3,60,-,2,3,1918,20,,263
-,orts-,6 000,7,35,24,160,50,14,20,1918,32,,264
,gårds-,380,6,,,,,,,,,,
,orts- gârds-,1 500 110,3,1,88,12,-,20,50,1918,30,Se anm. 50),265
-,,2×110,3,-,2,40,,1,2,1917,9,,266
-,,2 × 220,2,-,2.2,50,-,1,2,1917,14,,267
-,,2 × 220,7,-,6,160,-,4,6,1918,32,,268
250,orts-,3 000,11,87,34,160,250,30,40,1918,110,,269
,gårds-,3800.220,19,,,,-,-,-,1917,,,
15,,220,1,,31,-,,10,20,1907,20,,270
-,,220,2,-,5,110,-,3,5,1917,9,,271
20,orts-,3 000,3,15,18,120,60,10,15,1918,42,Se anm. 48),272
,gårds-,380,,,,,,,,,,,
-,2,110,1,-,1,5,-,1,1,1914,2,,273
30,orts- gårds-,3 000 380,,47,38,83,60,10,20,1920,60,,274
,,380,7,-,21,180,20,8,10,1920,35,,275
-,2,220,2,-,4,40,40,2,4,1917,6,,276
75,bygde- gårds-,30 000 380,4 6,75,59,-,30,30,50,1918,31,Se anm. 51),277
