1,2,3,4,5,6,7,8,9,10
278,Norra Solberga sin,Eksjö stads elektricitetsverk. Distributionsnätet i Små- lands Anneberg,Ab. fr.,Smålands,kraft,A .- B.,trefas,50,30 000
279,,"Annebergs tändsticksfabrik,
Smålands Anneberg","Vattenturbin
Angmaskin",32 150,4,30,,"50
50","|380
1380"
,,,,,,125,,,
280,,"Annebergs tändsticksfabrik, Smålands Anneberg. Distri- butionsnätet i Anneberg",Ab. fr.,Eksjo stads,el .-,verk,,50,13 000
281,,"Glömminge gårds elektrici-
tetsverk, Smål. Anneberg",Vattenturbin,15,4,10,likstrom,-,220
282,,"Snårebo elektricitetsverk, Ormaryd",,5,2.5,3,»,-,220
283,2,"Eksjö stads elektricitetsverk, Eksjö. Distributionsnätet i Ormaryd",Ab. fr. Smålands kraft A .- B.,,,,trefas,50,30 000
284 285,Eksjö landskomm:n,"Eksjö stads elektricitetsverk, Eksjö. Distributionsanlägg- ning i landskommunen Hagersryds elektricitetsverk,
Eksjö",Kraftlev. fr. Eksjö el .- verk,,,,likstrom,50 -,200 2×220
,,,Vattenturbin,20,3,12,,,
286,,"Skedhults gårds elektricitets- verk, Eksjö",Vattenhjul,,3.5,3,,-,220
287 288,Mellby sin,"Eksjö stads elektricitetsverk, Eksjö Ortsdistr. i Värne m. fl.",Ab. fr. Smålands kraft A .- B. Kraftlev. fr. Olstorps kraftstation nr 104 i Ogl. län Angmaskin | 400 - 1 350 Ab. fr. Smålands kraft A .- B.,,,,trefas,"50 50 50
50","2 000
30 000 15 000 30 000"
289 290,Edshult s:n,"A .- B. Metallduk, Bruzaholm.
Övre kraftstationen A .- B. Metallduk, Bruzaholm. Nedre kraftstationen",Vattenturbin,47 45,5 12,40 50,,50 50,380 1380
291,,"F. d. Nya Bruzaholm A .- B., Bruzaholm. Ovre kraft- stationen",,35,4.5,35,likström,-,220
292,,"F. d. Nya Bruzaholm A .- B.,",2,75,8.1,70,,-,1220
,,Bruzaholm. Nedre kraft- stationen,Ab. fr. Smålands kraft A .- B.,,,,trefas,50,1880
293 294,Ingatorp sin,"Hjältevads nya träförädlings A .- B., Hjältevad Ortsdistr. vid Ingatorp","Ångmaskin
Ab. fr.","-
Smålands","-
kraft A","15.7
.- B.",likström trefas,- 50,110 30 000
295,Hässleby sin Östra härad.,"A .- B. Bruzafors-Hällefors, Lönneberga. Bruzafors sulfitfabrik, Bruzafors",Ångturbin,Dito 270,-,152,2 2,50 50,500 500
296,Björkö s:n,"Rödjenäs gårds elektricitets-
verk, Rödjenäs",Vattenturbin,100,4,50,,50,220
