1,2,,4,5,| 6,7,8,9,10,
297,Björkö s:n,"Björkö elektricitetsverk, Björköby","Ab. fr. Rödjenäs gårds el .- verk, Rödjenäs",,,,trefas,,10 000,
298,Nävelsjö sin,"Åhults gårds elektricitets- verk, Lannaskede",Vattenhjul,-,2:5,4.5,likström,=,220,
299,2,"Åhults elektriska förening, Lannaskede",Vattenhjul,-,3,5,,-,2 × 220,
300,Lannaskede sin,Ortsdistr. i Landsbro,Ab. fr. Smålands kraft A .- B.,,,,trefas,50,30 000,
301,Skede s:n,"Smålands kraft A .- B., Nässjö.
Kraftstation vid Klinte",Vattenturbin,2 225,27,1 600,,50,2 000,
302,,"Smålands kraft A .- B., Nässjö. Kraftstation vid Brunshult",,900,15,700,,50,2 000,
303,,"Smålands kraft A .- B., Nässjö. Transformatorcentralerna vid Vetlanda, Hässleby och Landsbro",Kraftlev. fr.,Klinte,och,Brunshult,,50,30 000,
304 305,,"Hällaryds mek. verkstad, Holsbybrunn. Hällaryds övre kraftstation Hällaryds mek. verkstad, Holsbybrunn. Hallaryds nedre kraftstation",Vattenturbin,35 60,1. 5,30 15,likström 100.08,- -,|220 220,
306,,"Vetlanda ullspinneri, Vet- landa",,12,4,3,,-,110,
307,,"Mjölby ullspinneri A .- B, Vetlanda",,30,,6,,-,220,
308,Vetlanda s:n,"Vermunderyds elektricitets- verk, Vetlanda",2,10,,6.5,,,220,
309,,"Flugeby träförädlings A .- B., Vetlanda",,110,3,80,trefas,50,38,
,,,,415,5.8,342,,50,380,
310,Vetlanda stad,Vetlanda stads elektricitets- verk,Ab. fr. Smålands kraft A .- B.,,,,,50,30 000,
311,Alseda sın,"Hallaryds mek. verkstad, Holsbybrunn. Huskvarns kraftstation",Vattenturbin,100,2.3,80,,50,380,
312,,"Adelfors bruk, Ädelfors",,150,4,125,,50,380,
313,Näsby,"Strömmahults kvarn, Smål. Hällinge",,58,5'4,10,likström,-,|220,
314,,"Hällinge gårds elektricitets- verk, Smål. Hällinge",,30,22's,20,,-,220,
315,Bäckseda sin,"Stensåkra gårds elektricitets- verk, Vetlanda",,25,1 .8,16,,-,2 × 220,
316,,"Simonstorps elektricitets- verk, Snärle",2,17,4.4,10,,-,220,
317,Kråkshult s:n,"Kvilla herrgårds elektrici- tetsverk, Kråkshult",,30,7,2.5,,-,110,
318,Karlstorp s:n,"Högagårds kraftstation, Karlstorp",,12,5,8,,,220,
