Nr enligt kartan,Företagets namn,Kommun,Kraftstationens namn,Driv- kraft,Utbyggd fallhöjd,Instal- lerad gene- rator- effekt,Ström art,
,,,,,m,kVA,,
1,2,3,1,5,6,7,8,
1,Rumma och Röhälls el. kraftfören.,Hannäs,Rumma,A 1 0,.,40,3-fas,
2a,Forsaströms Kraft A .- B.,Gärdserum,Forsaströms nedre,V,20,290 1,,
2b,,,Forsaströms övre,,-,160,,
,Mindre kraftanläggn.,,Torestorp,,,13,,
4,Falerums Belysnings A .- B.,,Falerum,0,.,23 1 36 /,,
5,Hornsbergs egendom,Tryserum,Lövbo,v,10,145,3-fas,
6,Forsaströms Kraft A .- B.,Ukna,Melby,,33,600,,
7,Mindre kraftanläggn.,,Rorstads kvarn,,,3,,
8,Vinäs egendom,V. Ed,Klosterängsfallet,,18.8,75,3-fas,
9,Mindre kraftanläggn.,Ö. Ed,Storkvarn,,.,,L,
10,Vindo kraftanläggn.,,Vindo,,.,7.5,,
11,Mindre kraftanläggn. ...,,Skillereds kvarn,,.,.,,
12,,V. Ed,Blidstena,,.,,,
,Eds Bruk,,Verkdammen,,8-9.5,20,,
14,Tyllinge A .- B.,Dalhem,Tyllinge,,,,,
15,Mulestads el .- fören.,Odensvi,-,,.,,3-fas,
16,"Trävaru A .- B. Norrköpings Exporthyvleri, Gullring- ens ångsåg",S. Vi,Brännebo,»,19,175,,
17,Larums gård,Dalhem,Larum,,.,1.,,
18,A .- B. Överums bruk,V. Ed,Overums mellersta Överums nedre,,5 8.5-9.5,4.0 120,,
19 20,Mindre kraftanläggn. ...,Lofta,Sågaretorps kvarn Häggs kvarn,,.,2.8 1,,
21,Hj. Andersson,,Harg,,.,66,,
22,Nygårds egendom,,Gursten,,.,60,3-fas,
23,Mindre kraftanläggn,Gamleby,Rödja kvarn,,.,4,L,
24,Skramstad gård,,Skramstad,2,.,,,
25,A .- B. Gamleby el .- verk o. mek. verkstad,,Gamleby el .- verk,,.,37 1 23,2,
26,Trävaru A .- B. H. Corne- lius,,-,,,200,3-fas,
27,Häckenstads gård,,Häckenstad,v,.,4.5,,
28,Ogestads gård.,Odensvi,Ogestad,,.,3,,
29,Rispetorps gård,Hallingeberg,Ramnegärde,,.,15,3-fas,
30,Gunnebo Bruk,Gladhammar,Gunnebo övre,,15.7,160,,
,,,Gunnebo nedre,,,150,=,
31,2,,Brunsö,,3.5,341,,
