Period- tal,Spänningssystem,Antal ortssta- tioner,Ansluten effekt,,,Anmärkningar,Nr enligt kartan
,,,Belys- ning,Motorer,Summa,,
,volt,st,kW,kW,kW,,
9,10,1,12,13,14,15,1
50,380,5,7.5,-,7-5,Oljemotor i reserv,1
-,"20000/7000/500 o. 380 2 × 220
:selected:",6,3 8.5,33 -,36 8.5,Arrenderade av Baroniet Adelswärd. Samarbeta m. nr 6 och Åtvidaberg,2a 2b 3
-,2 × 220,-,15.5,33.5,49,(Baroniet Adelswärd) i,4
50,6000/380,7,12,55,67,Östergötlands län,5
,20000/3000,-,,-,-,Se nr 2a o. b,6
-,220,,1,,1,,7
50,10000/380,2,11.5,18.5,30,Samarbete med nr 6,8
,.,-,,,0.5,,9
,110,,3.5,,3.5,,10
-,.,-,0.5,-,,,11
,220,,1.5,,1.5,,12
-,110,,12.5,,12.5,,13
--,220,,7.0,,7,,14
50,3000/220,2,6.5,,,,15
,10000/380,10,50,100,150,,16
-,220,-,2,-,2,,17
-,110 o. 220,-,40,-,40,,/18a 118b
,110,-,0.5,-,,,19
,.,,0.5,,00,,20
,220,-,,3.7,7.0,,21
50,"3000/380, 220 o. 110",3,7.5,28.5,36.0,,22
-,220,,2,,2,,23
-,220,,1,-,1,,24
-,220,,75,24,99,,25
50,380,-,3,48,51,,26
-,2 × 220,-,,-,3.5,,27
-,220,,2.5,-,2.5,,28
50,3000/220,-,5,2.5,7.5,,29
,,,,,,"Samarbete med nris 32,",30
,6000/220,2,30,410,440,"33, 34, 35 och 36",31
