1,2,3,4,5,6,7,S
32 33,Ankarsrums Bruk,Hallingeberg »,Ankarsrum Svarteström,v,17.5 17,500 ) 278,3-fas
34,Blankaholms Sågverks A .- B.,Västerum,Skaftet,»,3.5-4.5 -,500 1 400 1,
35,A .- B. Västerviks el .- verk,Vestrum,Tovehult,v,8,1 380,
36,,Västervik,Västerviksångcentral,å 1 0 1,-,183,L
37,Carl Stern,Hjorted,Hässeltulls kvarn,v,,50,3-fas
38,Toverums gård,Locknevi,T'overum,,.,8,L
39,Mindre kraftanläggn. .,,Fågelså kvarn,,.,.,=
40,Falsterbo kraftanläggn.,Hjorted,Falsterbo,=,.,9,
41 42,Byggm. L. Lindström Mindre kraftanläggn.,Djursdala,Kvarnbo Skeninge kvarn,2,. .,30 .,3-fas
43,Byggm. L. Larsson,Rumskulla,Asta,,.,,
44,Vimmerby stads el .- verk,Vimmerby stad,Ab. fr. Smålands Kraft A .- B.,-,-,-,3-fas
45,Hagaroten-Sjundhult- Karsnäs konsumt .- fören.,Vimmerby landsf.,"Ab. fr. Smålands Kraft A .- B. (Brusafors,",- v,- 5,300 -,
46,A .- B. Brusafors-Hällefors Pappersbruk,Lönneberga,"Hallefors angcentr., Ab. fr. Smålands Kraft A .- B.",1 0,-,450,
47,Ortsdistrib. i Hällefors,,Ab. fr. Smålands Kraft A .- B.,-,-,-,
48,Storebro bruk,Vimmerby If.,Storebro,v,.,40,
49 50,Mindre kraftanläggn. Elof Johansson,Lönneberga,Haddarps kvarn Haddarp,,. .,.,
51,Ortsdistrib. i Hultsfred,Vena,Ab. fr. Smålands Kraft A .- B.,-,-,-,3-fas
52,Tuna gård,Hjorted,Tuna,0,,2,I
53,Mjöshults gård,,Mjöshult,v,,2,
54 55,Mindre kraftanläggn. Syserums gård,Tuna,Kvilleberg Syserum,,. .,. .,
56 57,Blankaholms Sågv. A .- B. Nässjö-Misterhults A .- B.,Hjorted,Blankaholm,å,. .,. .,13-fas .
58,"J. P. Svensson, Mörtfors",,Fabriksfallet,v,.,10,
59 60,Nässjö-Misterhults A .- B. Fårbo gård,Misterhult,Ölvedal Fårbo,,,30 .,3-fas .
61,Figeholms el. bel .- fören.,2,Figeholm,0,-,60,3-fas
62,Mindre kraftanläggn,,Wirkvarn,v,.,,
63,Wirbo gård,,Wirbo,,.,.,
64,Kristdala Småhem A .- B.,Kristdala,Hägerum,,4.5,75,3-fas
65,Järnforsens möbelfabrik,Järreda,Järnforsen,,.,13,L
66,Järnforsens snickerifabrik,,,,,7.5,
67,Nyboholms bruk.,2,Nyboholms bruksfall,,4'3-4.7,12,3-fas
68,Finsjö Kraft A .- B.,Gårdveda,Gårdveda,,3-3.5,90,
69,St. Sinnerstads transf .- central,Mörlunda,-,-,-,-,=
,,,,,,,
