1,2,3,4,5,6,7,8,,,9,10,11,12,13,14,15,1
,,,,,,,,,,,,,,,,,
70,Distrib. fr. St. Sinnerstads transf .- central,"Närlunda, Målilla, Tveta o. Gårdveda",Ab. fr. Finsjö Kraft A .- B.,-,-,-,3-fas,,,50,/10000/. 10000/1500/. 20000/1500/.,6 10 4 1,100,323,423,,70
71a,A .- B. Rosenfors bruk,Målilla,Rosenfors,V,2.5-2.7,126,,,,-,..,,6,182,188,,71a
71b,Målilla Möbelfabrik,,,,.,.,,,,-,120,,,.,.,,71b
72,Åmmanäs bruk,,Åmmanäs,,.,6,,,,,,,4,,1,,72
73,Elisebo,Virserum,Ab. fr. Finsjö Kraft,-,-,,3-fas,,,50,20000/,,Uppgifter,saknas,,,73
74,Distrib. i Virserum,2,"A .- B.
Ab. fr. Finsjö Kraft A .- B",-,-,-,,,,»,20000/1500/·,3,44,153,197,,74
75,K. Bomans kraftanlägg- ning,=,Mörtöfors,V.,13,100,,,,»,6000/380 och 190,,Uppgifter,saknas,,,75
76,Ryningsnäs gård.,Mörlunda,Ryningsnäs,,.,22,,,,,2 × 220,-,4,12,16,,76
77,Finsjö Kraft A .- B.,Högsby,Blankaström,,7.5,2 500,3-fas,,,50,40000/6000,,Anslutn.,se nedan,,,77
78,Palm o. Pettersson,Fagerhult,"Stora Klo, Ab. fr. Finsjö Kraft A .- B.",,-,50,1,,,,6000/380,29,50,21.5,71.5,Samarb. med Finsjö Kraft A .- B.,78
,Björkhults Glasbruk ..... A .- B. Förenade tändst .- fabr.,Kråksmåla,Björkhult Grönskåra,V,. .,7.5 20,,,,,2×220 220,,.,. .,. .,,
81,Finsjö Kraft A .- B,Högsby,Frövi,,3.8 .- 5,2 200,3-fas,,,50,40000/6000,,Anslutn.,se nedan,,,81
82,,Fliseryd,Finsjö övre,,7.5-8.6,750,,,,,40000/1600,,,=,,,82
83,"""",,Finsjö,,1.5-2,1 200,,,,,40000/1600,,,,,,83
84,Ortsdistrib. fr. Blanka- ström,"Fågelfors, Högsby",Ab. fr. Finsjö Kraft A .- B.,,-,-,,,,,6000/·,19,197,924,1 121,,84
85,Ortsdistrib. fr. Frövi,"Högsby, Fliseryd, Långemåla",Ab. fr. Finsjö Kraft A .- B.,,-,,,,,,6000/·,"1
24",,,,,85
86,Ortsdistrib. fr. Finsjö ..,Fliseryd,Ab. fr. Finsjö Kraft A .- B.,--,-,-,,,,,1600/.,2,17,91,108,,
87,Finsjo Kraft A .- B. Oskarshamns transf .- central,Oskarshamn,,-,-,-,,,,,40000/6000,,.,.,,1500 kVA,87
88,Oskarshamns stad,,Oskarshamns el .- verk Ab. fr. Finsjö Kraft,d,-,500,"1 """,,,,40000/6000,-,-,-,600 1,1 abonn. effekt,88
89,Oskarshamns kopparverk,,"A .- B.
Ab. fr. Finsjö Kraft A .- B.",-,,- -,,,,,40000/6000,.,,.,,,89
90,Ortsdistrib. fr. Oskars- hamns transf .- central ...,Döderhult,Ab. fr. Finsjö Kraft A .- B.,-,,,,,,,6000/380 och 1500/220,9,,,,,90
91,Emsfors Bruk,Fliseryd,Carlshammar,V,2.3-3,,1,,,,,,,,,,91
92,,,Emsfors,,1.6-3,,,,,»,6000/·,,,.,.,,92
93,Finsjo Kraft A .- B .....,Långemåla,Hornsö,,15,1 250,»,,,,40000/6000/1500,...,.,,,Se nedan,93
94,Ortsdistrib. fr. Hornsö,,Ab. fr. Finsjö Kraft A .- B.,-,-,-,,,,,1500/.,,3,35,38,,94
95,Distrib. i Blomstermåla ..,Ålem,Ab. fr. Finsjö Kraft A .- B,,-,-,»,,,,20000/1500/220,,9,113,122,,95
96,» Tålebo,,Ab. fr. Finsjö Kraft A .- B.,,-,-,,,,,20000/1500/220,1,5,4,9,,96
