9,10,11,12,13,1.,15,1
50,"20000/1500/380
-",,,,,,97
,20000/1500/380,,70,220,290,,98
,20000/1500/380,,,,,,99
,20000/1500/380,,14,7,21,,100
,20000/1500/380,1,9,14,23,,101
=,20000/1500/380,1,12,31,43,,102
,20000/1500/380,11,26,4,30,,103
»,2000/380,2,.,.,.,,104
,110,,.,.,.,,105
,220,,0.5,,0.5,,106
-,220,,12,,12,,107
50,,.,4,,4,,108
-,,-,6,140,146,Industridrift,109
-,,-,5.5,-,,,110
-,,,4,-,4,,111
-,,-,1.6,,1.6,,112
-,,,1'2,,1'2,,113
50,6000/380 och 220,11,52,,52,,114 119
,220,,6,,6,,115
-,2×220,-,6,20,26,,116
50,20000/3000/220,.,80,-,80,,117 118
»,6000/380,5,12,10,22,,119
,220,,3.5,,3.5,,120
-,220,-,,,,,121
-,220,,1.4,10,11.4,,122
50,40000/20000/6000,,,,,,123
,2×220,,,|,,Disponeras av Finsjo,124
50,6000/220,6,,.,.,Kraft A .- B.,125
,20000/1500/380,2,9,63,78,,126
,20000/1500/380,11,30,61,91,,127
,20000/1500/380,2,9,29,38,,128
=,20000/1500/380,4,14,95,109,,129
