Nr,"Företagets namn, ägare eller innehavare",Kommun Stad,"Kraftstationens
namn eller läge",Byggnadsår,Odlad elektri- fierad areal,,Drivkraft,Utb. fall- höjd,Gene- rator- effekt,Hu- vud- trans- form. storl.
,,,,,med enbart belys- ning,med belys- ning och motor- drift,,,,
,,,,,har,har,,m.,kVA,kVA
1,2,3,4,5,6,7,8,9,10,11
1,Munktells Pappersfabr. A .- B ...,Kopparberg,Bergsgården Grycksbo,1921,,,V å,14,c:a 550 1 250,
3,Bergsgårdens Bel .- För.,,Ab. fr. Munktells A .- B.,1920,u,100,-,,-,
4,Mindre distr .- företag,,2,-,-,,-,,,
5,Grycksbo El. Bel .- För.,=,,,u 150,,,,,
6,K. J. Hellbergs sterbhus,,Österå,1903,,-,V,13,275,--
7,Morbygdens El. Distr .- För.,,Ab. fr. St. Kop. B. A .- B.,1918,,36,-,-,,-
8,Grönbo,o. Aspeboda,,,-,57,,,,
9,Distr .- företag i Källviken,Kopparberg,,>»,u,58,,-,-,
10,Sjulsarvets El. Distr .- Fören.,,» » Falu El. A .- B.,,-,100,,,-,-
11,Helsingbergs Bel .- För.,2,2,-,-,-,-,-,,-
12,Hosjö-Holmens » »,,,,150,,,,-,
13,Div. distr .- företag,,,,-,,,,,-
14,Korsnäs Sågverks A .- B.,,Korsnäs,1909,-,-,"v
1",1-3,300,-
15,Falu El. Bel. A .- B.,Falun,Falu El .- verk,1913,-,-,d,-,775,-
16 17,Div. distr .- företag Falu stad,R,Fr. Falu El. Bel. A .- B.,-,-,-,- V,- -,-,-
18,St. Kopparb. Bergsl. A .- B.,,Hyttan (Faluån),1904,-,-,,6,280,-
19 20,Transf .- stat. i Falun Gruvrisets El. Distr .- För.,,St. Kop. Bergsl. A .- B. Ab. fr. St. Kop. B. A .- B.,1917 -,-,- 52,,,-,3 000 -
21,Mindre distr .- företag,,»,-,-,,,,,-
22,Aspeboda El. Distr .- För.,Aspeboda,2 »,1918,,147,,,,
23,Smedsbo-Stråtenbo E. D .- F.,,»,1919,,153,,,,
24,Mindre distr .- företag,o. St. Tuna,»,-,,-,,,,-
25,Olsbacka El. Distr .- För.,Aspeboda,,1918,-,150,-,-,-,
26,Mindre distr .- företag,,Vallsfors Kraftstation,-,,,v,,100,-
27,,,Stråtenbo,,,,,,,
28,,2,Nygården,,,,»,,1110,
29,,,Storgården,,,,,,,
30,Munktells Pappersfabr. A .- B .. |,Svärdsjö,Borgärdet,1907,,-,,9.6|,1 075,
