Ortstrans- formatorer,,Strömart,Pe- riod- tal,Spännings- system,Anslutning,,,,Abonnerad eff. i kW,Energi- produk- tion 1920 i kWh,Total anlägg- nings- kostnad,Anm. Siffrorna avse kolumner,Nr
An- tal,S:8 eff,,,,,motorer,belys- ning,,,,,,
st.,kVA,,per./ sek.,volt,st.,kW,kW,kW,,,kronor,,
,13,14,15,16,17,18,19,20,21,22,23,24,1
-,-,3 f,50,3000,,170,13,185,,1 130 000,,Industriell drift.,1
-,,,50,25000/3000/500,,1 275,125,1 400,,268 000,,8) o. 10) reserv.,
1,,,50,,,,--,-,,,,,
2,,,50,3000/,,:unselected:,:unselected:,:unselected:,,,,,
2,20,,50,3000/380,,,7. 5,7.5,,,:unselected:,,
7,165,,50,4000/220,,,,175,,460 000,197 000,22) År 1918.,
1,10,,50,10000/380,2,,4,12,10,,9 000,,
1,10,,50,10000/380,1,,3,4.5,7.5,,-,,8
1,7.5,,50,10000/380,5,11,2,13,7.5,-,-,,9
1,10,,50,10000/380,1,3.7,3,6.7,-,,-,,10
1,10,,50,10000/380,1,2.2,12,14.2,-,-,,,11
1,10,,50,10000/380,,,3.5,3.5,,,,,12
6,,,50,10000/,-,,-,-,,,,,13
5,75,,50,500/110,-,275,25,300,-,-,-,8) Ånga 400 hkr. i reserv.,14
-,-,1 13-f,- 50,2 × 220 10000/220 -,-,1 410,1 405,2 875,150,58 500,- 1,"4) Företaget äger Sundborn kraftst. o. ab. på 200 hkr. fr. Österå (Nr 6), 10) reserv.",15
8,-,,50,10000,,-,,-,,,-,Mindre kraftst. f. gatubel.,16
,-,-,-,,,,,,,,,,17
,-,"/1-f
13-f","60
50",1000/220 1 1200/190,,250,50,300,-,507 000,55 000,8) Ånga 130 hkr. i reserv.,18
,,,50,50000/10000/380,,-,,,-,,,,19
1,10,,50,10000/380,2,7.8,46,12.4,7.8,,,,20
1,,,50,10000/,-,-,-,-,-,-,,,21
1,10,,50,10000/380,1,5,8,14,10,,20 000,,22
1,10,,50,10000/380,,12,11.5,23-5,10,,20 000,,23
2,,,50,10000/,,,-,,,,,,24
1,10,,60,7000/380,2,7.6,3.7,11.5,10,-,-,,25
,,,50,6000/220,,-,,-,-,,-,,26
-,,,,,,,-,-,,,,,27
-,-,,-,,,,,,,,,,28
,,,-,,,-,,,,-,,,29
,,3-fl,50,25000/380,,16,14,30,-,5 620 000,-,[23)Energ .- överf. t.Grycksbo.|,30
