12,13,14,15,16,,17,18,19,20,21,22,23,24,1
-,,3-fl,50,380,,9,27,14,41,-,-,-,,31
13,180,,50,110000/380 1 (el. 220),,37,190,60,350,-,100 000,-,,32
1,10,,50,10000/380,,,-,6,6,-,-,-,,33
1,-,,50,10000/,,-,-,,-,-,,,,34
-,-,L,,2 × 220,,-,-,16,-,-,,58 000,,35
-,-,,-,2 × 220,,9,37,9.5,46.5,-,-,-,,36
,-,,-,2 × 220,,,31,10,41,-,-,85 000,,37
12,400,3-f,50,10000/380,,,,,,,,-,,38a
1,10,3-f,50 -,10000/380,,-,-,6,150 -,-,400 000 -,"75 000
-","22) 550,000 år 1916 fr. Övre
Svartnäs.",38b 39
-,-,,-,220,,1,3.7,4.7,8.4,,,-,,40
8,100,3-f,50,5000/220,,-,55,81,136,-,-,110 000,,41
,-,L,-,2 × 220,,,,4'5,4.5,,,,,42
,,,-,2 × 220,,,18,6,24,,,,,43
,,,-,,,-,,,,,,,,44
-,-,3-f,50,220,,-,,,-,,,,,45
-,-,,50,10000/220,,-,1 240,1 344,2 584,,3 215 000,662 700,12) o. 13) 57 tf. om tills.,46
1,10,,50,10000/380,,1,7.4,4'8,12.2,,,-,3041 kVA. 23) Exkl. di-,47
1,10,2,50,10000/220,,,,2,2,,,,stributionsnit.,48
1,20,,50,10000/220,,-,,,,,,,,49
2,20,»,50,10000/220,,2,9.5,8,17.5,,-,,,50
1,20,,50,10000/380,,3,6.7,6,12.7,,,24 000,,51
5,-,,50,10000/,,,,-,-,,,,,52
-,-,,-,2 × 220,,,,7,7,,,28 000,,53
1,10,3-f,50,10000/380,,,,3,3,,,10 500,,54
3,30,,50,10000/380,,3,16,6,22,,,-,,55
9,,,50,10000/,,,-,,-,-,,,,56
-,,,50,4000,,,12,2,14,,,,Kraften levereras till Carl-,57
,-,3-f,50,750,,,,-,,,,,fors sågverk.,58a
,,L,-,220,,,,,,,,,,58b
16,152,3-f,50,20000/6000/380,,13,74,60,134,50,,,,59
4 1,36 10,,50 60,20000/3000/380 7000/380,,4,20,22 4,42 13.2,25 10,- -,"55 000
6 500","2) Innefattaräven Sunnanö,
Nordanö o. Vikens E. D. F.",60 61
1,30,,50,10000/380,,,15,10,25,20,,,Bergslagets tot. energiför-,62
,,,60,50000/7000,,,,,,,82 750 000,4 405 500,"| brukn c:a 168 milj. k Wh,",63
"17
-",87 323 -,,60 60 50,7000,,- -,23 510 -,625,63 648 -,- -,28 565 000,-,"varav c:a 23 milj. kWh, från Mockfjärd. 20) Övrig (ansl. 39513 kW (egen).",64 65 66
-,-,1,50 lo.60,50000/10000 resp. 7000,,--,-,-,-,-,-,-,,67
