12,13,14,15,1 6,17,18,19,20,21,2 2,23,2,1
32,236,3-f,50,3000/220,54,233.5,6.5,240,60,,100 000,,137
4,20,,50,3000/220,,,21.5,21.5,15,,24 300,,138
4,55,,50,3000/220,:unselected:,:unselected:,14,14,20,,11 000,,3
1,10,,50,20000/380,3,17,4,21,,,-,,140
1,10,,50,20000/380,,,4,4,-,,-,,141
1,,,50,20000/380,:unselected:,:unselected:,4,4,,-,,,142
1,10,,50,20000/380,,16.5,3.2,19.7,,,,,143 140
1,10,,50,20000/380,,9.9,3'4,10,,,,,144
1,20,,50,20000/3000/380,-,-,2'1,2.,,,,,145
-,,,50,1500,,370,40,410,-,31 000 000,1 127 000,22) År 1916.,146
-,-,-,-,-,,,,,-,1 500 000,-,22) År 1916.,147
-,,-,-,--,,,,-,-,,,,148
-,-,3-f,50,30000/10000,,750,200,950,-,5 543 700,,22) År 1919.,149
-,-,,50,40000/,-,,-,-,-,-,-,,150
,-,L,,-,,,,-,-,,,,151
25,351,3-f,50,40000/3000/380,55,357,87,444,100,,304 000,,59
5,70,,50,3000/380,13,76,30,106,,,60 000,,153
1,10,,50,20000/380,3,6.1,1.4,00,-,-,-,,154
3,30,2,50,20000/3000/380,7,39,7.3,46.3,-,-,-,22) År 1916.,155
4,40,,50,3000/380,7,48,7.5,55.5,,,-,Industriell drift.,156
,,,50,20000,-,5 300,180,5 480,-,38 000 000,3 600 000,,157
-,,,50,20000,,-,,,,,,,158
1,30,3-f,50,20000/380,,,3.5,3.5,,,30 000,,159
1,60,,50,20000/380,-,66,16,62,-,-,22 300,,160
3,30,,50,20000/5000/380,19,90,32,122,,,106 000,,161
1,-,R,50,20000/5000/380,-,-,,,,,-,,162
1,30,,50,20000/380,5,17.5,5'5,23,,,,,163
1,150,,50,20000/380,15,235,12,297,,,,,164
-,-,,50,20000/,,-,-,-,,,,,165
,-,,,-,,-,,-,,-,-,,166
,,,,,,,,,,,,,167
,,,,-,,,,,,,,,168
,-,,,-,,,,,,,,,169
,-,,,-,,,--,,,,,,170
-,-,,-,-,,-,,,,-,,,171
--,,,,2 × 220,-,65,75,140,,,-,,172
-,,,,-,-,-,-,,,,,,178
7,70,3-f,50,6000/380,9,50,45,96,25,,87 000,,174
