1,2,3,4,,,7,8,9,10,
215,Finnbacka Bel .- För,Rättvik,Dalälvens Regl .- för.,-,-,u 95,-,-,-,-
216 217,Styggforsens Bel .- För. Änderåsens El. Bel. A .- B.,Boda,Styggforsen Anderåsen,- 1917,u 200,- 320,V,,,
218,Gulleråsens Bel .- För.,,Ab. fr. 217,,,,,,,
219,Gillerfors El. And .- För.,Ore,Gillerfors,:unselected:,,u 200,V,,,
220,Korsnäs Sågverks A .- B,,Furudals Bruk,,,-,,-,,
221a,Dalbyns El Kraft- o. B .- F.,»,Egen kraftst.,-,-,u 350,,,,-
221b,Mindre distr .- företag,,Arvet,,,,,,22,
222 223,Näsets El. Kraft- o. B .- F. Ostanviks El. Bel .- För.,,Egen kraftst. =,-,u 50 1,100,= =,,,
224,Mindre distr .- företag .....,,Dalfors,1917,-,,,,,
225,A .- B. Ryssa Elektr .- verk,Mora o. Sollerön,Ryssa,1914 -- 16,,u 2000,,19-20,336,
226 |227,Mora-Orsa Elektr .- verk,Mora o. Orsa,Hansjö Kvarn,1919,u 3000,- 1,=,-,"360
220","1
-"
228,Bonas El. And .- För.,Mora,Bonäs,1921,u 150,,,10,60,
229,Våmhus El. Bel .- För.,Våmhus,Stupfallet,,,730,,10.5,120,
230,A .- B. Venjans El .- verk,Venjan,Venjan,1920,,u 250,,25,120,
231,Kattbo Kraftverk,,Kättbo,1919,-,u 75,,11,85,
232,Skattungsbyns El. För.,Orsa,Skattungsbyn,,u,100,,,-,
233,Mässbackens Elektr. A .- B.,=,Stackmora,,-,,-,,30,
234,Mindre distr .- företag,,Backa sanatorium,,,,V,,-,
235,Dysåns Kraft A .- B.,Älvdalen,Dyså,1919,,u 1025,,14,180,
236,Rots Kvarn o. Såg,,Rots kvarn,1917,,,,2-6,55,-
237a,Yxians Kraft A .- B.,,Yxiån,1918,,u 150,,19,60,
237b,Ålvdalens-Finnmarks Kraft och Bel. A .- B.,»),Noran,-,,,,-,25,-
23,A .- B. Särna Elektricitet,Särna,Lämmån,1918,,125,,15,85,
239,Idre El. Kraft o. Bel. A .- B.,Idre,Egen kraftst.,,20,,,-,--,
240,Hedens Kraftverk,Nås,Heden,,-,-,,-,35,
241,St. Kopparb. Bergsl. A .- B ..,=,Lindesnäs,1921,-,,,18.5,500,
242,Mindre distr .- företag,=,,,,,=,-,,
243,,,Älgåsen,,,,=,,,
244,Dala-Järna Elektr. A .- B.,Järna,Flatån (Storflon),1917,u 1,500,,17,400,
245,A .- B. Träkol,=,Skivsforsen,1911,-,u 200,,2.5-3.1,c:a 600,
246,Trävaru A .- B. Dalarna,,Eldforsen,1898,,-,,5-7.5,50,-
247,Hellefors Bruks A .- B.,Sävsnäs,Gravendal,1910,,,,50,235,
248,,=,Fredriksberg,-,,,,3'6,55,
|249,,,Annefors,1891,,,,18.2,225,
250,,,Tyfors 1,-,,,,11,5,-
251,=,,» 2,-,,,»,6,165,
252,,»,,,,,,5,170,
,Mindre distr .- företag,,Gravendal,,,,,--,,
254,,,Fredriksberg,,,,,,,-
255,,»,Annefors,,,-,,-,,-
256,,»,Strömsdal,,-,-,,,-,-
|257,,,Ulriksberg,,-,,,,,-
1258,Lissfors Sagverks A .- B.,Floda,Lissfors,11916,,500,,-,103,
