1,2,3,4,5,6,7,8,9,10,11
259 260,Björbo Såg. A .- B. S. P. Person,Floda Malung,Björbo Ellingån,1918 1914,,350 u 1700,"V """,21,55 370,
261,Öje Elektricitetsverk,,Öje,1916,,130,,-,15,
262,Lima Strömbyggnads A .- B. ...,Lima,Arå,1919,,900,,11,125,
263,Mindre distr. - företag,,Torgås,,,,,-,,
264,Rörbäcksnäs Elektr .- verk,,Rörbäcksnäs,1918,,u 75,,,15,
265,Transtrands Såg o. Kvarn A .- B.,Transtrand,Östvalla,1919,,120,,42,150,
266,Sörsjöns El. A .- B.,,Ejeforsen,1919,,25,,5,c:a 75,
267,Appelbo Kraft A .- B.,Äppelbo,Granån (Kvarnmoren),1916,,u 700,,17,80,
268,Transf .- stat. v. Nyhammar,Grangärde,Västerdalälvens Kraft A .- B.,-,-,-,-,,-,
|269 270,> Grangesberg .... Grängesbergs Gruv A .- B. ...,- delv. Lud- vika lk. 1,Grängesb. Gruv A .- B. Grängesberg,,,,å,,10 000,
271 272,Nyhammars Bruks A .- B. Västansjö El. Bel .- För.,Grangärde 2.,Nyhammar Ab. från Nyhammars Bruks A .- B.,1915 -,- u,75 -,V,27,645 -,
273,Ludvika Bruksägare,,Vännebo,1914,,,v,42,900,
274,,,Loforsen,1913,,,,42,1 900,
275,A,,Sunnansjö,1914,,,»,2-3.5,270,
276a 276b,Mindre distr .- företag,,Saxhyttan Nittkvarn,100,,,,,,
277,Grängesbergs Gruv A .- B.,Ludvika lk.,Enkullen,1912,,,,38'5,600,
278,Slogåsens-Gonäshedens El. And .- För.,,Ab. fr. Grangesbergs Gruv A .- B.,1919,-,7,,,,
279,Gonas El. Distr .- För.,,2,1919,95,-,,,,
280,Ostansbo El. Bel .- För ..,,2,-,-,u 75,,,,
281,Mindre distr .- företag,2,2,-,,,,,,
282a,2,,,-,,,,-,,
282b,Johan Magnusson,,Persbo,,,,v,,10,
283 284 285,Ludvika Bruksägare Gruv A .- B. Lekomberg Persbo El. Distr .- For.,o. Norrbärke Ludvika lk.,Ludvika Lekomberg Ab. fr. Ludvika Bruksägare,1905,- u,50 -,» --,17,2 530 500 -,
286,Grängesbergs Gruv A .- B.,Norrbärke,Hellsjön,1912,-,-,V,45,2 000,
,,2,Lernbo,1912,,,P=1,25,4 200,
288,Div. industriabonnenter,,Ab. fr. Grängesbergs Gruv A .- B.,-,,,-,,-,
289,Morgårdshammars Mek. V. A. B.,,Morgårdshammar,1913,,,v,4-5º1,850,
290,Smedjebackens Valsv. A .- B. ...,,Smedjebacken,1917,,,,3.3,100,
|291,Starbo Bruksägare,,Gessberg,1916,,,,-,95,
292,,,Schisshyttan,1917,,,,86.5,160,
293,,,Starbo,1,,,,,25,
294a,Mindre distr .- företag,,Björsjö,,,,,,-,
294b,P. J. Leonartson,,Malmarna,,,,»,,25,
295a,Söderbärke El. Kraft o. Bel. A. B.,Söderbärke,Söderbärke,1918,,u 300,»,3'25,25,-
