12,,14,15,16,17,18,19,20,21,22,,2,25
4,40,3-f,50,10000/380,12,43,38,81,,,85 000,,259
30,-,,50,10000/380,-,200,165,365,,790 000,290 000,23) År 1916.,260
-,-,,50,380,,,,25,,,,,261
17,315,,50,10000/380,7,35,80,85,,35 600,600 000,,26
-,-,T,-,-,,-,-,-,,,,,263
,,3-f,50,,1,11,5,16,,,50 000,Lågspänd växelström.,264
10,,,50,10000/380,2,13,32,45,,16 200,270 000,,265
4,25,,50,10000/380,1,3,14,17,,,150 000,,266
13,140,,50,10000/220,18,96,5.2,101.2,,,110 000,,267
-,-,,60,50000/20000,,-,-,,,,-,,268
7,-,,60,50000/8000,-,-,-,-,,,-,10) Reserv.,269 270
6,660,,40,5000/380 o. 190 5000/380,,500,60,560,,837 000,443 000,10) Ångreserv 75 kVA.\ ( Samarb. m. nris 273-275.),272 |271
,,,,,,,,,,(1 500 000,,,273
8,,3-f,40,10000/,-,,-,3 585,-,3 900 000 1 425 000,,"Samarb. m. nr 283. 20) Inkl.
nr 283.","274
275"
,-,L,-,,,,,,-,,,,276a
,-,,,,,-,,,,,,,276b
,,3 --- f,60,10000,,,,,,,,,1277
1,10,,60,8000/380,1,7.3,6,13:3,10,,7 500,,278
13,10,,60,8000/380,-,,13.5,-,10,,26 000,,279
3,25,,60,10000/220,1,4,10,14,,,18 000,,28
1,-,,60,10000/,,-,,-,-,-,,,281
2,-,,60,10000/,,,,,,,,,282a
1218,,L,-,220,,,,,,,,,282b
8,-,3-f,40 40,10000/ 3000/,,-,-,-,-,5 000 000,,"Samarb. m. nris 273-75, 289 o. 290.",1283 284
||,,,40,10000/380,,-,,-,,,-,,285
-,-,,60,50000/10000,-,-,,-,,,,,286
,,,60,50000/10000,-,12 000,360,12 360,,70 000 000,8 603 300,"18), 19), 20) 22 0. 23). Inne-",2
,,,60,10000/,,,,-,,,-,"fatta även nris 209,270,277.",288
00001,,,40,10000/1800,-,130,200,330,,2 500 000,320 000,Samarb. m. nris 273-750.283.,289
,,»,40,-,,-,-,-,,-.,-,» föregående.,290
1,,,60,1,-,--,-,-,,,,,291
4,1,,60,410000/,,360,36,400,,10 300,,,292
,,,50,,,210,17,227,,-,,,293
,,L,-,-,,-,-,-,,,,,294a
,||,,,2 × 220,-,-,-,,-,--,,,294b
"|10
5.",55,3-f,50,10000/380 och 3000/220,8,30,60,,-,13 000,108 000,"Reservkraft fr. Bergslagens
gemensamma Kraftförvalt- ning.",295a
