1,2,3,4,5,6,17,| 8,9,10,11
295b,Tolvsbo Kvarnbol.,Söderbärke,Tolvsbo,"-
:unselected:",:unselected:,:unselected:,v,,,
296,Tunkarsbo Kraft- o. Bel .- For.,,Bergsl. G. Kraftför- valtning,,"-
:unselected:
:unselected:",:unselected: :unselected:,,-,-,-
297 298,Vibberbo för. för ljus och kraft Mindre distr .- företag,,Kvarnsnäs Västerbyhyttan,,:unselected:,,,-,35,
29,2,,Saxhammar,,,:unselected:,,,,
300,,,Tullkvarn,,:unselected:,,,-,,
301,,,Hemshyttan,,:unselected:,,,-,,
302,,,Vad,,,,,,,
303,,Malingsbo,Malingsbo,,,,,-,,
304,Ulvsbo lysförening,Söderbärke,Ab. från Fagersta Bruks A .- B.,,,:unselected:,,,,
305,K. Järnvägsstyrelsen,Grytnäs,Ab. fr. Norbergs El. A .- B.,-,,-,,,,-
306,Södra Dalarnas Järnvägs A .- B.,,,,,-,,-,,
