1,13,14,15,16,17,18,19,20,21,22,23,24,1
,-,3-f,50,3000/380,,"-
:unselected:","-
:unselected:",-,"-
:unselected:","-
:unselected:","-
:unselected:
:unselected:",Samarb. m. föregående.,295b
-,-,»,50,3000/380,,-,"-
:unselected:","-
:unselected:","-
:unselected:","-
:unselected:","-
:unselected:",,296
-,,,50,3000/380,,,,,,-,-,,297
,,L,,-,,:unselected:,:unselected:,:unselected:,:unselected:,:unselected:,:unselected:,,298
,,,-,,,,,,,,:unselected:,,299
,,,-,,,,:unselected:,:unselected:,:unselected:,:unselected:,,,300
,,,-,-,,,,,,,,,301
,,,,,,,,:unselected:,:unselected:,,,,302
,,,-,,,,,,,,,,303
,,"3
f",50,2000/220,,,,,:unselected:,:unselected:,,,304
,-,»,50,.10000/220,-,-,-,-,-,-,-,,305
-,-,,50,10000/220,-,-,,,-,-,-,,306
