Anläggningens nr,"Härad eller tingslag samt samhälle, socken eller landskommun, vari anläggningen i sin helhet eller till väsentlig del är belägen",Anläggningens namn och adress,Energien erhålles: 1. Från egen kraftstation av följande typ och storlek. 2. Medelst abonnement från nedanstående företag.,,,,,,,Sam- man- lagd primär trans- forma- tor- effekt
,,,Drivmotor,,Utbyggd fall- höjd,Total generator- effekt,Elektriskt system å gene- ratorerna eller å den anlägg- ningen tillförda energien,,,
,,,Slag,Samman- lagd storlek,,,Strömart,Peri- odtal,Spän- ning,
,,,,hk,meter,kVA,,pr/s.,volt,kVA
1,2,3,4,5,6,7,8,9,10,11
1,Bjäre härad: Västra Karup s:n,"Glimminge Elektricitets- verk, Glimminge pr V. Karup",Vatten- turbin,20,6,20,Likström,-,220,-
2,Båstad köping,"Båstads Andelselektrici- tetsförening, Båstad","Ab. från Ängelholms stads elektri- citetsverk, angelholm",,,,Trefas,50,20 000,125
3 4,Grevie s:n,"Grevie Andelselektrici- tetsforening, Grevie Sex små elektricitetsverk
vid befintliga vatten- kvarnar och sågar ...","Vattenhjul
förening,
Ab. från","Båstad -
Båstads",c:a 1'5,"10
Andelselektricitets-",Likström,50 -,20 000 220,20 -
5,Förslöv sin .,"Förslövs Andelselektrici- tetsförening, Förslöv","Ab. från Båstads Andelselektricitets- förening, Båstad",,,,Trefas,50,20 000,40
6,Hjärnarps sin,"Hjärnarps Andelselektri- citetsförening, Hjärnarp","Ab. från Ängelholms stads elektri- citetsverk, Ängelholm",,,,,50,20 000,20
7,Barkåkra sin,"Vejby med omnejds Ener- giförening, Barkåkra",,D:o,d:o,,,50,20 000,40
8,,"Skaftarps kvarn, Bark- åkra","Vatten-
turbin","1
1 11 1",1 2 -,10,Likström,-,220,-
9,,"Ängelholms stads elektri- citetsverk, Ängelholm, Barkåkraområdet","Ab. från
Malmö",Sydsvenska Kraft A .- B.,,,Trefas,50,20 000,150
10,,"Skäldervikens Andels- elektricitetsförening, Skälderviken","Ab. från Ängelholms stads elektri- citetsverk, Ängelholm",,,,,50,3 000,-
11,Ängelholm stad ..,"Ängelholms stads elektri- citetsverk, Ängelholm","Ab. från
Malmö","Sydsvenska Kraft A .- B.,",,,,50,20 000,(400
,Södra Åsbo härad:,,,,,,,,,
12,Strövelstorp s:n ...,"Välinge Elektriska An- delsförening, Rögle (Malmöhus län)","Ab. från Höganäs-Billesholms
Höganäs",,,"A .- B.,",2,50,4 000,60
13,,"Strövelstorps Elektrici- tetsförening, Hasslarp","Ab. från
forening,","Ausås Andelselektricitets-
Spannarp.",,,,50,3.000,-
14,2 2,"Kattarps Energiförening, Kattarp(Malmöhuslän)","Ab. från Höganäs-Billesholms A .- B., Höganäs",,,,,50,4 000,-
15,Höja sin,"Höja Andelselektricitets- förening, Ängelholm","Ab. från
citetsverk,","Ängelholms stads elektri-
Ängelholm",,,»,50,3 000,-
16,2,"Mardals Elektriska före- ning, Ängelholm","Ab. från Höja Andelselektricitets- förening, Ängelholm",,,,,50,3 000,-
