Distributionsledningar,,,"Samman-
lagd sekundär trans- forma- tor- effekt","Samman-
lagd anslut- ning av motorer, lampor m. m.",Elektrifierad areal odlad jord,,Alstrat eller tillfört kraftbelopp,,Bygg- nads- år,Ungefär- lig total anlägg- nings- kostnad,"Anmärkningar. Siffrorna hän- visa till
anmärkningar å sid. 26",Anläggningens nr
Klass,Spänning,Samman- lagd längd,,,Med blott belysning,Med belysning och motor- drift,Arligt energi- belopp,Maximi- effekt,,,,
,volt,km,kVA,kW,hektar,hektar,mega Wh,kW,årtal,tusent.kr.,,
12 I,19,14,1 5,1 6,17,18,19,20,21,22 1,23,1
Gårds-,220,2,-,11,200,-,5,10,1918,40,,1
Bygde.,20 000,16,145,365,50,-,290,123,1917,225,1),2
Orts-,3 000,5,,,,,,,,,,
Gårds-,220,4,,,,,,,,,,
Gårds-,500 & 220,1 & 1,2,10,18,-,3,8,1918,22,,3
Gårds-,220,1,-,2,30,,1,2,1918,10,,4
Orts-,3 000,6,80,101,500,300,60,40,1917,95,3),5
Gårds-,500 & 220,4 & 4,,,,,,,,,,
Bygde-,20 000,3,20,38,350,400,31,20,1918,50,4),6
Gårds-,500 & 220,4 & 2,,,,,,,,,,
Bygde-,20 000,1.5,46,78,150,500,40,30,1919,91,5,7
Orts-,1 500,8,,,,,,,,,,
Gårds-,380,9,,,,,,,,,,
Gårds-,220,2,-,10,200,-,4,8,1918,20,2) o. 6),8
Bygde- Gårds-,20 000 500 & 220,12 4 & 4,-,110,300,800,60,100,1917,80,7),9
Orts- Gårds-,3 000 380 & 220,9 4 & 3,53.5,55,20,250,23,25,1916,45,,10
Orts- Gårds-,3 000 500 & 200,13 4 & 8,830 10,1 000,50,100,1 050,337,1910,251,3),11
Orts-,4 000 & 1 500,1 & 2,10,42,-,150,10,30,1919,30,8) o. º),12
Orts-,3 000,6,30,95,50,470,42,30,1916,66,,13
Gårds-,380,10,,,,,,,,,,
Orts-,4 000,,- -,20,-,30,1,15,1917,-,10,14
Gårds-,500 & 220,,,,,,,,,,,
Orts-,3 000,2,36,60,60,200,20,25,1916,40,11),15
Gårds-,500 & 220,4 & 3,,,,,,,,,,
Orts-,3 000,2,20,30,50,50,10,15,1916,20,,16
Gårds-,500 & 220,2,,,,,,,,,,
