1,2,3,4 | 5 | 6 7,,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,1
17,Ausås s.n,Ausås Andelselektrici-,Ab. från Åstorps municipala elek-,,Trefas,50,3 000,-,Orts-,3 000,9,6,22.5,500,-,10,6,1914,14,,17
,,"tetsförening, Spannarp","tricitetsverk, Astorp",,,,,,Gårds-,380,3,,,,,,,,,,
18,»,Västra Ausås Energi-,Ab. från Ausås Andelselektricitets-,,,50,3 000,-,Orts-,3 000,1,5,11,200,20,4,5,1918,16,,18
,,"forening, Spannarp","förening, Spannarp.",,,,,,Gårds-,380,3,,,,,,,,,,
19,,Spannarpsortens Elektri-,D:o d:,,,50,3 000,-,Orts-,3 000,7,90,153,207,2 000,134,80,1917,200,,19
,,"citetsförening, Span-",,,,,,,Gårds-,500 & 220,5 & 2,10,,,,,,,,,
20,,"narp
Humlarps Elektricitets-",Ab. från Astorps municipala elek-,,,50,3 000,-,Orts-,3 000,3,30,54,-,335,10,25,1918,40,,20
,,"förening, Astorp","tricitetsverk, Astorp.",,,,,,Gårds-,380,2,,,,,,,,,,
21,Västra Broby sin,Västra Broby med om- nejds Elektriska Distri- butionsförening,D:o d:o,,,50,3 000|,-,Orts- Gårds-,3 000 380,12 16,160,250,10,1 750,70,60,1919,165,5),21
22,,"Höganäs-Billesholms A .- B., Ormastorpcen-",Ångturbin,| 10 000 - 9 000,,50,3 000,15 900,Lands- Orts-,50 000 & 30 000 3 000,1 & 9,200,650,-,-,2 000,500,1918,1 500,,22
,,"tralen och Nyvångs
gruva, Nyvång",,,,,,,Gårds-,380,2,,,,,,,,,,
23,,"Flenninge Energiför- ening, Ödåkra (Malmö- hus län)","Ab. från Höganäs-Billesholm A .- B., Höganäs",,,50,4 000,-,Orts- Gårds-,4 000 500,-,-,20,-,50,2,15,1917,-,10),23
24,,"Höganäs-Billesholms A .- B., Hyllingeverken, Hyllinge",Ång- 210 - 160 maskin -,,,50,380,,Gårds-,380,5,-,110,-,-,500,150,1903,10,,24
25,Bjornekulla s:n ...,Åstorps municipala elek-,"Ab. från Sydsvenska Kraft A .- B.,",,,50,3 000,-,Orts-,3 000,00,300,500,100,160,220,175,1910,100,,25
,,"tricitetsverk, Astorp",Malmö,,,,,,Gårds-,500 & 220,"2 & 5
08",7,,,,,,,,,
26,Kvidinge sin,Kvidinge Andelselektri-,D:o d:o,,,50,20 000,40,Gårds-,380,20,-,140,100,-,70,50,1911,30,,26
27,....,"citetsförening, Kvidinge Kvidingeortens Energi-",Ab. från Kvidinge Andelselektrici-,,,50,20 000,60,Orts-,3 000,10,30,18,600,-,13,15,1919,80,,27
,,"förening, Kvidinge","tetsförening, Kvidinge.",,,,,,Gårds-,380,10,,,,,,,,,,
28,Västra Sönnarslöv,A .- B. Klippans Finpap-,"Ab. från Sydsvenska Kraft A .- B.,",,,50,20 000,1 200,Orts-,5 000,3,350,2 300,-,350,2 500,1 100,1895,10,14),28
,s:n,persbruk,Malmö Vatten- 1 125 8.5 & 5 1 045 turbiner Ång 375 - 294 turbiner,,,,5 000 & 380 380,-,- Gårds-,- 380,- 2,- -,- -,- -,- -,2 500 500,,,,,
29,-,"Sydsvenska Kraft A .- B., Malmö","Från egna vattenkraftstationer i La- gaån i Hallands län och från ång- kraftcentral i Malmö, Malmöhuslän",,,50,50 000,3 400,Lands- Bygde-,50 000 20 000,33 23,,-,-,-,,-,1909,1 100,8) o. 15),29
30,Norra Åsbo härad: Tostarp s:n,"Gånarps Andelselektrici- tetsforening, Munka- Ljungby","Ab. från Ängelholms stads elektri- citetsverk, Ängelholm",,,50,20 000,31,Orts- Gårds-,1 500 380,4 3.5,13,50,100,300,13,20,1918,40,3) o. 16),30
31,,"Tostarps Energiförening, Munka-Ljungby","Ab. från Munka Ljungby Andels- elektricitetsförening, Munka- Ljungby",,,50,1 500,-,Orts- Gårds-,1 500 380,3 4,25,40,100,350,16,20,1918,32,,31
32,Munka-Ljungby s:n,"Munka-Ljungby Andels- elektricitetsförening,","Ab. från Sydsvenska Kraft A .- B., Malmö",,,50,20 000,50,Orts- Gårds-,1 500 380 & 220,4 1 & 3,20,110,370,650,80,40,1912,80,17),32
33,Munka-Ljungby son ..,"Munka-Ljungby
Skälderhus Energiför- ening, Skälderhus","Ab. från Munka-Ljungby Andels- elektricitetsförening, Munka-",,,50,1 500,-,Orts- Gårds-,1 500 380,1 3,15,26,260,-,14,20,1918,37,,33
34,Tosjo sin,"Rösjöholms Gård, Mun- ka-Ljungby","Ljungby
Vatten- 70 1 100 turbin",,,50,3 000,-,Orts-,3 000,2'5,1,37,-,-,30,40,1905,30,18,34
35,Össjö s:n,"Össjö Energiförening,",Ab. från Munka-Ljungby Andels-,,,50,20 000,-,Bygde-,20 000,4,45,60,140,550,13,20,1919,45,,35
36,»,"Ásbo-Össjö Gångvads Gård, Källna","Vattenhjul elektricitetsförening, Munka- Ljungby 20 1 5 10",,Likström,-,220,-,Gårds- Gårds-,380 220,1 1.5 0.5,-,20,-,50,3,15,1916,12,2) o. €),36
