1,,,1,5,6,7,8,,10,11,,13,14,15,16,17,18,19,20,21,22,23,1
37,Källna s:n,"Stora Mölla Kvarn, Källna",Vatten- turbin,50,6,40,Likström,-,220,-,-,"-
:unselected:","-
:unselected:",-,20,50,-,50,20,1916,20,2) o. 20),37
38,Östra Ljungby s:n,"Östra Ljungbyortens Elektriska Andelsför- ening, Östra Ljungby",-,-,-,-,-,-,-,-,-,"-
:unselected:",:unselected:,-,"-
:unselected:",-,-,-,-,-,-,21),38
39,2,"A .- B. Fettindustri, Stids vig",Vatten- turbin,180,6,5,Trefas,50,500,,Orts- Gårds-,500 220,1 1,15,120,-,-,500,100,1919,5,2) o. 23),39
40,» A,Två smärre elektricitets- verk vid Kopparmöllan och Ostra Ljungby Valskvarn,Vatten- turbiner,,-,6 & 1.5,Likström,,230 & 110,,-,-,-,-,2,,,1,2,1917,-,,40
41,Rya s.n,"Ekets Elektriska Energi- förening, Eket",Ab. från,"Örkelljunga Municipala Elektricitetsverk, Örkelljunga",,,Trefas,50,20 000,20,Bygde- Orts- Gårds-,20 000 1 500 380,8 8,25,58,500,,25,10,1919,100,23,41
42,Örkelljunga m:e.,"Örkelljunga Municipala Elektricitetsverk, Ör- kelljunga","Malmö
Ab. från",Sydsvenska,Kraft,"A .- B.,",,50,20 000,90,Bygde- Gårds-,20 000 220,4,-,100,30,-,50,50,1914,50,8) o. 24),42
43,s:n ...,"Kyrkolycke Energifor- ening, Örkelljunga",Ab. från,"Örkelljunga Municipala Elektricitetsverk, Orkelljunga",,,,50,20 000,10,Gårds-,380,4,-,14,75,-,6,10,1918,35,16),43
44,...,Harbäckshults Energiför-,,D:o,d: o,,,50,20 000,10,Bygde-,20 000,3,-,17,170,-,6,10,1919,35,16,44
,,"ening, Örkelljunga",,,,,,,,,Gårds-,380,4,,,,,,,,,,
45,,Åsljunga Elektricitets-,,D:o,d:,,,50,20 000,20,Bygde-,20 000,6,-,37,200,-,12,20,1919,60,16),45
,,"verk, Åsljunga",,,,,,,,,Gårds-,,5,,,,,,,,,,
46,,"Ringarps Energiförening,",,D:o,d:o,,,50,1 500,-,Orts-,1 500,1.,10,20,150,-,8,15,1917,20,10),46
,,Örkelljunga,,,,,,,,,Gårds-,380,3.0,,,,,,,,,,
47,....,Östra Ringarps Energi-,Ab. från,Ringarps,,"Energiförening,",,50,1 500,-,Orts-,1 500,3.,10,15,75,,6,10,1917,20,16),47
,,"förening, Örkelljunga",Örkelljunga,,,,,,,,Gårds-,380,2.0,,,,,,,,,,
48,...,"Spångs. Energiförening,",,D:o,d:o,,,50,1 500,-,Orts-,1 500,3.5,4,12,110,-,5,5,1918,35,16),48
,,Örkelljunga,,,,,,,,,Gårds-,380,2,,,,,,,,,,
49,Fagerhult sin .. ...,Fagerhult- Värsjö Energi-,Ab. från,Örkelljunga,,Municipala,,50,20 000,55,Bygde-,20 000,12,-,40,250,-,15,20,1919,115,,49
,,"fören., Asbo-Fagerhult",,"Elektricitetsverk,",Örkelljunga,,,,,,Gårds-,380,4,,,,,,,,,,
50,Gråmanstorp s:n.,"Bjärsgårds Gård, Grå-
manstorp",Vattenhjul|,10,1.5,7,Likström,-,220,-,-,-,,-,2,100,-,1,2,1918,-,,50
