1,2,,4,5,6,,t-,8,9,1 -,11
,Västra Göinge härad:,,,,,,,,,,
60,Vittsjö s:n,"Boalts såg, Boalt pr Vitt-
sjö",Vattenhjul,-,-,,1,Likström,-,110,-
61,,"Andelsföreningen Vittsjö Elektricitetsverk, Vitt- sjö","Ab. från Andelsföreningen
Elektricitetsverk, Bjärnum",,,Bjärnums,,Trefas,50,20 000,125
62,Visseltofta sin ...,"Visseltofta kvarn och såg, Visseltofta",Vatten- turbin,50,3,,,|Likström,-,110,-
63,= ...,"Möllegården, Visseltofta",,5,1,,4,,,220,
64,Verum s:n.,Hörlinge -- Hovgårdens,Vattenhjul,15,1,,10,,,$20,
,,"Elektricitetsverk, Ve- rum",,,,,,,,,
65,,"Bröderna Jönssons Mö- belfabrik, Verum",Vatten- turbin,18,2,,20,Trefas,50,220,-
66,Norra Åkarp s:n,"Andelsföreningen Bjär- numsElektricitetsverk, Bjärnum","Malmö
Ab. från",Sydsvenska,,Kraft,"A .- B.,",,50,20 000,190
67,,"Hågnarps Elektricitets- förening, Bjärnum","Ab. från Andelsföreningen Bjärnums Elektricitetsverk, Bjärnum",,,,,,50,1 500,-
68,,"Hemmeströ Elektricitets- förening, Bjärnum",,D:o,d:o,,,,50,1 500,-
69,Farstorp sin,A .- B. Hörröds kvarn och,Vatten-,40,3,,10,,50,380,-
,,"elektricitetsv., Farstorp",turbin,,,,,,,,
70,,Hörröds m. fl. byars an-,-,-,-,,-,-,-,-,-
,,"delselektricitetsför- ening, Farstorp",,,,,,,,,
71,Finja sin,Andelsföreningen Tyrin-,Ab. från,Sydsvenska,,Kraft,"A .- B.,",Trefas,50,6 000,-
72,,"ge Elektricitetsverk, Tyringe Hörlinge Gård, Finja","Karlshamn Vatten-
turbin","-
40",3,,36,,50,380,15
73,Vankiva sın,Mala· Andelselektricitets-,Ab. från,Andelsföreningen,,Bjärnums,,,50,1 500,-
,,"förening, Mala","Elektricitetsverk, Bjärnum",,,,,,,,
74,=,"Vankiva Elektriska för- ening, Hässleholm",,-,-,,-,,,-,-
75,Stoby sin.,"Ballingslövs Elektrici- tets A .- B., Ballingslöv och Toekarpsortens energiförening","Karlshamn
Ab. från",Sydsvenska,,Kraft,"A .- B.,",Trefas,50,20 000,75
76,,"Kvistlånga bys distribu- tionsföretag, Kyrk- Stoby","Ab. från Ballingslövs
A .- B., Ballingslöv",,,Elektricitets,,,50,5.000,-
77,Norra Sandby sin,"Norra Sandby Energi- förening, Ranseröd",,D:o,D:o,,,,50,6 000,
78 79,Hässleholm stad .... »,"Tre mindre elektricitets-
verk vid befintliga kvarnar och sågar Hässleholms stads elek- tricitetsverk, Hässle- holm","Vattenhjul|
Karlshamn Ång- maskin
Ab. från","- 100
Sydsvenska",- -,Kraft,"5 67
A .- B.,",Likström Trefas Likström,50 -,110 20 000 2 × 230,- 400 -
80,...,"Kristinehems Elektriska Energiförening,Hässle- holm","Ab. från Hässleholms stads
tetsverk, Hässleholm",,,elektrici-,,Trefas,50,6 000,-
81,...,"Ekedals Elektriska Ener- giförening, Hässleholm",,D:o,d:o,,,,50,6 000,-
