1,2,3,4,5,6,7,8,9,10,11,12,,13,14,15,16,17,18,19,20,21,22,23,1
117,Fjälkestad sin,"Sydsvenska Kraft A .- B., Karlshamn, Bygdelin- jen Torsebro-Tollarp- Vittskövle",-,-,-,-,Trefas,50,20 000,225,,Bygde- Orts- Gårds-,20 000 1 500 220,46 20 65,56,900,1 700,8 000,350,150,1912,350,48),117
118,»,"Råbelövs Gods, Kristian- stad","Ab. från
Karlshamn",Sydsvenska,,"Kraft A .- B.,",10,50,6 000,-,,Orts-,6 000,3.6,99,155,-,775,67,50,1910,30,49,118
119,Österslöv sin,Österslövs Andelselektri-,-,-,-,-,-,-,-,-,,Bygde-,20 000,-,-,,,-,,-,,,3%)- Senr 115.,119
,,"citetsförening, Osters- löv",,,,,,,,,,Orts- Gårds-,1 500 220,,,,,,,,,,,
120,Näsum s:n,Näsums Elektriska Kraft-,Turbin,200,4'35,270,Trefas,50,380,200,,Orts-,6 000 & 1 500,47 & 3,165 & 10,200,900,355,80,150,1917,500,50,120
,,A .- B. Osby (o. Näsum),Diesel- motor,75,,,,,,,,Gårds-,380,41,,,,,,,,,,
121,2,Höganäs-Billesholms,Ab. från,Sydsvenska,,"Kraft A .- B.,",,50,40 000,300,,Gårds-,380 & 190,-,12,127,-,-,34,54,1908,-,51),121
,,"A .- B., Axeltorpsverken,",Karlshamn,,,,,,,,,,,,,,,,,,,,,
122,Ivetofta sin,Axeltorp A .- B. Ifő Chamotte- &,,D:o,d:,,,50,40 000,(1 110),,Gårds-,500 & 190,0:5 & 0'5,119,1 625,-,-,2 700,756,1906,3,52,122
123,,"Kaolinverk, Bromölla Ivetofta Andelselektrici-",,-,-,-,-,-,-,--,,-,,,-,-,-,1 -,-,-,-,-,32) - Senr 116.,123
124,»,"tetsförening, Bromölla Årups Gård, Bromölla",Vattenhjul,12,0.6,5,Likström,-,2 ×220,-,,Gårds-,2 × 220,1,-,12,-,300,5,5,1920,-,,124
125,Nosaby sin,"Fjälkinge och Nosaby samhällens belysnings- förening, Fjälkinge",-,-,-,-,-,-,-,-,,Orts- Gårds-,6 000 & 800 190,--,-,-,-,-,-,-,-,-,32)- Senr 116.,125
126,Gustav Adolf s:n,"Gustaf Adolf, Rinkaby- Hammars samhällens belysningsförening, Viby",-,-,-,-,,-,-,-,,Orts- Gårds-,6 000 500 & 190,,-,-,-,-,-,,,-,82) - Senr116.,126
127,Nymő s:n.,Nymö Andelselektrici-,-,-,-,-,-,-,-,-,,Orts-,6 000,-,-,-,-,-,-,-,-,-,32) - Senr 116.,127
128,Åhus köping,"tetsförening, Bäcka- skog Åhus Andelselektricitets-",-,-,-,-,,-,-,-,,Gårds- Orts-,500 & 190 6 000,-,-,-,-,-,-,,-,-,,128
129,Kristianstad stad,"förening, Åhus Kristianstads stads elek-",Ab. från,Sydsvenska,,"Kraft A .- B.,",Trefas,50,40 000,,,Gårds- Orts-,500 & 190 6 000 & 5 000,1'2 & 0.5,60,1 622,,,893,260,1902-,450,54),129
130,,"tricitetsverk, Kristian- stad Sydsvenska Kraft A .- B., Karlshamn, Kristian- stads alla linjer",Karlshamn Suggas- motor Diesel- motor -,180 200 -,- - -,660 -,Likström Trefas,- 50,2 ×220 40 000,(1 800) 300,,Gårds- Orts- Gårds-,190 × 110 2 × 220 6 000 500 & 190,6 & 7 20 6 4 & 4,1790 & 67,2 651,106,243,75 3 200,220 1 000,1913 1909,220,55,130
,Gärds härad:,,,,,,,,,,,,,,,,,,,,,,,
131,Skepparslöv s:n ..,Skepparslövsortens An-,-,-,-,-,-,-,-,-,,Bygde-,20 000,-,-,-,-,-,-,-,-,-,32) -- Senr 117.,131
,,delselektricitetsför-,,,,,,,,,,Orts-,1 500,,,,,,,,,,,
,,"ening, Skepparslöv",,,,,,,,,,Gårds-,220,,,,,,,,,,,
132,...,Håslövs Andelselektrici-,-,-,-,-,-,-,-,-,,Bygde-,20 000,-,-,-,,-,-,-,-,-,39)- Senr 117.,132
,,"tetsförening, Kristian-",,,,,,,,,,Orts-,1 500,,,,,,,,,,,
,,stad,,,,,,,,,,Gårds,220,,,,,,,,,,,
133,Västra Vram s:n ...,Västra Vrams Andels-,-,-,-,-,-,,-,-,,Bygde-,20 000,-,-,-,-,-,-,,-,-,32) - Senr 117.,133
,,"elektricitetsförening,",,,,,,,,,,Orts,1 500,,,,,,,,,,,
134|,Tollarp m:e,Tollarp Tollarps Andelselektrici-,-,-,-,-,-,-,-,,,Gårds- Bygde-,220 20 000,,,-,,-,-,-,-,-,2)- Senr 117.,134
,,"tetsförening, Tollarp",,,,,,,,,,Orts- Gårds-,1 500 220,,,,,,,,,,,
