Nr en- lig kar- tan,Företagets namn,Kommun,Kraftstationens namn,Driv- kraft,Ut- byggd fall- höjd m,Instal- lerad gene- rator- effekt kVA,Ström- art,Pe- riod- tal,Spännings- system volt
1,,,4,5,6,7,8,9,10
1,A .- B. Åseda El. Verk,Åseda,Ab. fr. Finsjo Kraft A .- B.,-,-,-,3-fas,50,20000/1500/220
2,Ortsdistributionen i Ek- horva,,,-,-,-,,,20000/1500/220
3,Ortsdistributionen i Hök- hult,Lenhovda.,,-,-,,,,20000/1500/220
4,Lenhovda El. And. Fören.,,,-,-,-,,,20000/1500/220
5,Mindre kraftstation,Nottebäck,Boskvarn,V,.,.,.,.,
6,Klavreströms Bruk,,Klavreström,,6,180,3-fas,50,2000/500
7,Aug. Vinberg,...,Åkvarn,2,3,85,,,5000/220
8,Sandreda Belysn. Fören.,Sjösås,Sandreda,,.,8,,-,2 × 220
9,Lidboholms gård med Braås Bel. A .- B.,...,Lidboholm,,-,100,3-fas,50,1500/380
10 11,"J. G. Hedberg, Ödetofta och Söraby El. And. Fören. Hj. Axelsson","Söraby, Tolg
Söraby","Barsbo
Åängskvarn ...",,1.8 .,36,L,-,6000/380 220
12,Lidekvarns El. And. Fören. och Tolgs El. And. Fören.,"Tolg, Tjureda, Ormesberga, Gårdsby",Lidekvarn,,4,65,3-fas,50,10000/380
13,"Hugo Stinnes, Asa gård.",Asa,Asa.,,.,69,2,,1000/220
14,A .- B. Lamhults gård,"Aneboda, Asa",Lamhult,,.,40,,,6000/380
15,Aneboda Kraft A .- B.,Aneboda,Aneboda,,.,30,,,6000/220
16,Granefors El. And. Fören.,Moeda,Granefors,,5,50,,,6000/380
17,Östanåkra och Moeda El. And. Fören.,,Moeda,,.,35,,2,10000/380
18,Ryd och Boatorps El. And. Foren.,... |,Enaforsa kvarn,,2.6,16,,,6000/500
19,A. F. Pettersson m. fl.,Slätthög,Gamleboda,,.,,L,-,220
20,Slätthögs El. And. Fören.,,Banke kvarn,,5,28,3-fas,50,6000/380
21,Se nr 235 i Jönköpings län,,,-,,-,-,-,
22,C. G. Andersson,Hjortsberga,Brände kvarn,v,-,20,,,220
23,A .- B. Kalmar Kol & Trä- varufabr.,Dadesjö,Ramnåsa,,-,50,3-fas,50,3000/380
24 |,Vägershults El. Kraft Bol.|,Lenhovda ...,Vägershult,,-,6,L,-,2 × 220
