1,,,4,5,0,7,8,9,10
48,Husaby Bruk (J. S. F. Stephens),Skatelöv,Husaby,v,3.5,15,L,,110
49,Sydsvenska Kraft A .- B ... Transf .- stat. i Skatelöv,...,,-,,-,3-fas,50,40000/20000
50,Grimslövs And. El. Fören.,,Ab. fr. Sydsvenska Kraft A .- B.,-,-,,,2,20000/1500/220
51,Gust. Nilsson,V. Torsås ...,Kvarnagård,V,,,L,-,220
52,Vislanda Municipalsam- hälle,Vislanda,Ab. fr. Sydsvenska Kraft A .- B.,-,,,3-fas,50,20000/ ·
53,Målaskogs El. Fören.,Ryssby,Målaskog,v,,15,,»,6000/380
54,Alfr. Thyr och Sunnerå- ortens El. Energifören.,,Sunnerå,,,.,L,,220
55,Ryssby And. El. Fören.,....,Ab. fr. Sydsvenska Kraft A .- B.,-,-,-,3-fas,50,20000/1500/220
56,Tutaryds And. El. Fören.,Tutaryd,,,-,-,,,20000/ ·
57,Värnamo Kraft A .- B.,Berga,Åby,v d 0,- -,900 75 50,,,20000 och 3000
58,"Ortsdistributionen i Åby, Hörda m. fl.",,Ab. från Värnamo Kraft A .- B.,,-,,,,"3000,380"
59,Ortsdistributionen i Vit- taryd och Toftaholm,Vittaryd och Dörarp,,,---,-,=,=,20000/380
60,Ljungby köping ...,Ljungby.,Ljungby,,5,825 300,L,-,2 × 220
61,Gustafsfors Kraft A .- B. ...,"Pjetteryd, Hamneda, S. Ljunga, Agunnaryd, Kånna och Berga",Gustafsfors,v,4,100,3-fas,50,20000/380 och 20000/1500/380
62,Distributionsföretag i Angelstad (Gottfr. An- dersson m. fl.),Angelstad,Kärringe,,,15,,,6000/380
63,Romborna och Lillarps Bel. Foren. och Tjuvarps Bel. Fören.,Annerstad,Bolmaryd,,,15,,-,2 × 220
64,Skeens Bel. Fören.,,Skeen,,,,,-,220
65,Byholma Kraft A .- B,,Byholma,,,7,,-,2 × 220
66,"Lidhults Nya Lad och
Träföradlings A .- B.",Lidhult,Lidhult,,,1,,-,220
67,A .- B. Ränte kraftstation,Torpa,Ränte,,,12,,-,2 × 220
68,Traryd El. Fören.,Traryd,Traryd,,.,.,,-,2 × 220
69,C. A. Adelswärd,Göteryd,Ryfors,,.,25,3-fas,50,1500/38)
70,Delary Sulfatfabrik (Strömsnäs Bruks A .- B.),,Delary Ab. fr. Sydsvenska Kraft A .- B.,»,4,17,,,20000/190
71,Strömsnäs Bruks A .- B .....,Traryd,Strömsnäs Ab. fr. Sydsvenska Kraft A .- B.,å,4,1725 425,,,20000/190 och 20000/1500/220
