1,2,Co,,5,,7,8,,10
72,Axhults El. Energifören.,Traryd,Ab. fr. Sydsvenska Kraft A .- B.,-,-,-,3-fas,50,20000/ ·
73,Lagamills A .- B.,Markaryd ...,Timsfors,v,4.8 -,700 500,L,-,220
74,Markaryds köping och Markaryds And. El. Fören.,...,Ab. fr. Sydsvenska Kraft A .- B.,,,-,3-fas,50,20000/3000/380
75,Ängabäck,,,,-,,,,20000/·
76,Sydsvenska Kraft A .- B. Transf .- stat. i Älmhult,Stenbrohult,,,-,-,,,40000/20000
77,Älmhults köping,,Ab. fr. Sydsvenska Kraft A .- B.,-,-,-,,,6000 o. 1500/22
78,Distributionen i Möckelns station,,,-,-,--,,,20000/1500/220
79,Distributionen i Fälhult ..,Virestad,,,-,,,,20000/1500/220
80,Distributionen i Stenbro- hult,Stenbrohult,,,-,-,,,20000/1500/220
81,Distributionen i Liatorp,,,-,-,-,,,20000/1500/220
82,Gemla Fabriks A .- B.,,Dio,V å,4.5,24 47,,,220
83,Fridafors Fabr. A .- B. ...,| Almundsryd,Fridafors nedre ... Samarbete m. Hemsjö- stationerna,v,6,960,3-fas,50,40000/4000
84,Ortsdistributionen i Ryds m:e,,Ab. fr. Sydsvenska Kraft A .- B.,-,,,,,40000/1500/220
85,Distributionen i Brände- borg,,,,,,,,40000/ *
86,Urshults And. El. Fören.,Urshult,,-,,-,,,40000/1500/220
87,Orrefors Glasbruk,Hülleberga ..,Orrefors .,V,4.5,90,,,
88,Konga A .- B.,S. Sandsjö ..,Konga,å,5.5 -,71 24,,,
89,"A .- B. Boksholms Sulfit-
fabrik",Hornaryd,Boksholm,v mint,6,52,,,
90,Gransholms A .- B.,Öja,Gransholm,,.,10,,,
91,Strömsnäs Bruks samhälle,Traryd,Ab. fr. Sydsvenska Kraft A .- B,-,-,-,3-fas,50,20000/
92,Smålands Yllefabr. A .- B.,Berga,Åbyfors,V,1.5,100,.,,
93,G. Collander m. fl.,Ö. Torsås,,,,4,,-,220
94,Gåvetorps gård,Lekaryd,Åäng,,,-,3-fas,50,380
95,J. A. Johansson m fl.,Tingsås,Midingsbråte,,,8,L,-,220
96,Palm & Pettersson St. Klo kraftstation,Älghult,"Se nr 78, Kalmar län",-,-,,,,-
97,Mindre kraftstation,Ljuder,Tjugosjö,v,.,.,,,
98,Vrå El. Fören.,Vrå,Vrå,,-,60,3-fas,50,10000/380
99,Strömsnäs Bruk Mjäryds Mosse,Traryd,Kraftlev. från Strömsnäs Bruk,,-,,,,20000/1500/220
