Före- tagets nr & kartan,Företagets namn,Socken,Kraftstationens namn
1,,,A
1 2,Haparanda stads elektricitetsverk ... Ekfors kraft A .- B.,Haparanda Hietaniemi,Haparanda Ab. fr. Ekfors Kraft A .- B. Ekfors
3,E. Nes5,Nederkalix,Björkfors
4,P. A. Johansson ?,Karl Gustav,Lappträsk
5,Kalix belysnings A .- B.,Nederkalix,J Bymisträsk [Ab. fr. Porjus kraftverk o. Björkfors
6 8 9,Pålänge elektriska kraft A .- B.4 ... Töre elektriska belysningsförening o. Morjärvs belysningsförening Vitå älvdals belysningsförening Råneå elektriska kvarn A .- B.1,11 Råneå,Pålänge /Töre Ab. fr. Porjus kraftverk Vitafors /Råneå Ab. fr. Porjus kraftverk
10,Meldersteins Intressenter,,Melderstein
11,Luleå stads elektricitetsverk?,Luleå stad,Luleå Ab. fr. Porjus kraftverk och Sikfors
12,A .- B. Ytterstfors-Munksund,,Karlsvik
13,Oskar Sundström,Överluleå,Holmfors
14,A .- B. Bodens elektricitetsverk 10,R,Ljusån
15,,,Forsbacken
16,,,Holsvattnet
17,H. Brattberg ...,Edefors,Svartlå
18,Harads elektriska belysningsförening,,Harads
19,Porjus kraftverk,Jokkmokk,Porjus
20,Luossavaara-Kiirunavaara A .- B.,Gällivare,JGällivare ångcentral Ab. fr. Porjus kraftverk
21,A ....,Jukkasjärvi,/ Kiruna Ab. fr. Porjus kraftverk
22,Jokkmokks kraft A .- B.,Jokkmokk,Jokkmokk
23 24 25,Selets kraftstationsförening Hednorets elektriska belysnings A .- B. Rosviks elektriska kraft A .- B.,Nederluleå Överluleå Norrfjärden,J Selet Ab. fr. Porjus kraftverk Vändträsk Ab. fr. Porjus kraftverk /Rosvik Ab. fr. Porjus kraftverk
26,Rosfors bruk,,Rosfors
27 28,Norrfjärdens elektriska kraft A .- B Sikfors kraft A .- B.3,Piteå,"(Norrfjärden. (Tillsvidare nedlagd)
Ab. fr. Sikfors kraft A .- B. Sikfors"
29 30,Älvsby elektriska belysningsförening Lillpite elektriska kraft A .- B.9,Älvsby Piteå,Älvsbyn Lillpite
