Drivkraft,Häst- krafter,Strömart,Pe- riod- tal,Spänningssystem,Anmärkningar,Före- tagets nr å kartan
5,6,7,8,9,10,1
Diesel -,165,Likström Trefas,50,2 × 220 20000/380,,1
Vatten,720,,50,20000/380 och 220,,2
,110,,50,10000/380 (i Kalix 220),,3
,15,,50,220,,4
,25,,50,10000/380 och 220,,5
,-,,50,20000/10000,,
Vatten,105,,50,10000/380,,6
,45,Likström,-,2 × 220,,7
,-,Trefas,50,20000/220,,
Vatten,80,,50,10000/380,,8
-,500,,50,20000/380 och 220,Samarbetar med 10,9
Vatten,150,2,50,20000/380,9,10
Ånga g,220,Likström Trefas,- 50,2 × 220 40000/5000/220,,11
Ånga,128,Likström,-,110 och 220,,
,215,Trefas,50,550,,12
Vatten,10,Likström,-,110,,13
,600,Trefas,50,20000/380,15 och 16,14
,150,,50,20000/380,"14 "" 16",15
,250,,50,20000/380,>> 14 > 15,16
,150,,50,10000/380,,17
,120,,50,10000/380,,18
,75 000,Enfas,25 15,70000/6000 och 2000 80000/15000,Levererar kraft till ett fler- tal företag,
,525,Likström,-,220,,19
1 Diesel,170,,-,220,,
Ånga -,3 000,Trefas Likström,25,70000/6000/500/110 och 190 500 och 2×250,,20
Ånga -,"6 120
-","-
Trefas",25 60,70000/2000 och 4000 2000/190,,21
,,Likström,-,600,,
Vatten,40,Trefas,50,10000/190,,22
-,"90
-",2,50,20000/10000/380,,23
Vatten -,100 -,,50,20000/10000/380 och 220,,24
Vatten,25,,50,20000/3000/220,,25
Vatten,25,Likström,-,220,,26
-,100,Trefas,50,40000/10000/220,"Levererar till 27 m. fl., ut-",27
Vatten,4 500,,50,40000/5000/.,vidgning till c:a 6000,28
,45,,50,6000/220,kVA pågår,29
,300,,50,10000/220,,30
