1,2,3,4,,5,6,7,8,9,10,1
31 32,,,,,,,,,,,
,Roknäs elektriska kraft A .- B.,Piteå,Roknäs övre,,\Vatten,150,Trefas,50,10000/220,Samarbetar med 32,31
,,,nedre,,,350,,50,10000/220,,32
33,Blåsmarks,Hortlax,Blåsmark,,,80,,50,10000/380 och 220,,33
34,"Svärdsälvens kraftbolag, Schuman & Co. .",Arvidsjaur,Arvidsjaur,,,70,,50,3000/220,,34
35,Glommersträsk kraftverksförening .,,Glommersträsk,,,70,,50,10000/380,,35
36,Arjeplougs allmänningsdelägare ..,Arjeploug,Arjeploug,,,70,»,50,10000/220,,36
37,Jukkasjärvi sockens belysningsför- ening,Jukkasjärvi,Ab. fr. Porjus kraftverk,,-,-,,25,20000/220,,37
38 39,"Kungl. Järnvägsstyrelsen, Luleå- Ofotens järnväg samt div. distr. fr. kompensationsledningen 6 Porjus kraftverk, Omformarestatio- nen i Notviken 8",Luleå,Kraftlev. fr. Porjus kraftverk,,- -,- -,Enfas Enfas Trefas,15 60 15 50,80000/15000 10000/220 80000/20000 och 5000,,38 39
40,"Porjus kraftverk, Bygdestationen Boden",Boden,2,,-,-,,50,20000/10000 och 6000,,40
41,Piteå stads elektricitetsverk,Piteå,"(Ab. fr. Porjus kraftverk, Lillpite El. Kraft A .- B. och Roknäs Kraft A .- B.",,-,-,-- Likström,50 -,20000 och 10000/380 220,,41
42,Norrbottens läns landstings tuber- kulossjukhus,Edefors,Ab. fr. K. Järnvägsstyrelsen,,-,-,Enfas,60,10000/3000/2×110,,42
43,A .- B. Ytterstfors-Munksund,Överkalix,Gyljens bruk,,TVatten,4,Likström,,220,,43
44,Borgfors elektriska belysningsför- ening ...,Piteå,Borgfors,,,7,,-,2 × 220,,44
45,Tväråns elektriska belysningsförening,Älvsby,Tvärån,,,19,,,2×220,,45
46,Mandjärvs såg,,Mandjärv,,,10,,-,-,,46
47,Carl Gran m. fl.,Arvidsjaur,Fjällbonäs,,,.,.,.,,,47
48,Hedbergs byamän,,Hedberg,,,4,Likström,-,220,,48
49,R. Edholm,,Avaviken,,=,,,.,.,,49
50,Kvikkjokks kraftstation ..,Jokkmokk,Kvikkjokk,,,4,Likström,,220,,50
51,Jarhois byamän,Pajala,Jarhois,,,.,.,,.,,51
52,Lillkorsträsk,Älvsby,Lillkorsträsk,,,.,,,.,,52
53,Se nr 3 i Västerbottens län ..,,,,.,-,,-,-,,53
54,A. Sundqvist,Överluleå,Mockträsk,,\Vatten,,,,,,54
55,A .- B. Granviks sågverk,Nedertorneå,Granvik (Seskarön),,Ånga,150,,,,,55
56,A .- B. Ytterstfors-Munksund,Nederkalix,Båtskärsnäs,,,200,,,,,56
57,,,Karlsborg,,,400,,,,,57
58,,,Törefors,,,100,,,,,58
59,"Viklund & Sjödin, Robertsviks ångsåg",Luleå,Robertsvik,,,75,,,,,59
60,A .- B. Ytterstfors-Munksund,Hortlax,Bergsviken,,,30,,,,,60
61 62,,2,Storfors Munksund,,,120 1 000,,,400,,61 62
