1,2,,4,5,6,,8,9,10,11,12,13,14,15,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,83,34,35,36,37,1
21 22 23 24,Ödeby El. För. Lindesbergs stads EL .- verk Brevens Bruk Palsboda El. A .- B.,"Ödeby Asker Asker, Norr- byas, Ekeby, Svennevad, Sköllersta",Ab. fr. Lindes- bergs El .- verk Ringaby Brevensfallet. Ab. fr. Orebro El. A .- B.,- v.,- 3'5-5-9 .,- 540 24,3-fas R L 3-fas,50 » 50,20000/1500/380 20000/ . 220 40000/10000/220,1914 1905-1911 .,363 - 9 000,36 - . 6 000,2 om 500 50 - -,5 58,29 535,31,100,- . 50,1'5 38,200,38 873,. 14,- 320,-,-,- 5,- 325,38 1 198,380 30 337,. 25 000 688 000,. 156 000,217 000,. 512 000 . .,7) Utbyggnad om 270 kVA planeras 33) År 1916,21 22 23 24
25 26 27 28,"Mindre distr .- företag Greve H.D. Hamilton Motala Kraftverk . Transf .- stat. vid Hallsberg, Frys-",Svennevad Bo Hallsberg,Haddebo . .. Skogaholm . Hjortkvarn . Reservstation . -,V. 4.,. 6,ca 45 ca 15 50 90,L 3-fas,50,220 110 2000/220 40000/.,. . .,. 1.000 -,. . 1 000 -,,,. 80,12,35 .,.. -,-,1.5,116'5,,2.7,,,. 0,. 3,119*,. . .,. . .,. . .,.. 660,. . .,,25 26 27 28
29 30,"huset
A .- B. Hallsbergs El .- verk Örebro El. A .- B. . Transf .- stat, iHalls- berg",Kumla,Ab. fr. Örebro El. A .- B. Ab. fr. Örebro El. A .- B.,- -,- -,- -,,,40000/3000/190 40000/380,,- -,- -,7 om 1 495 -,- -,-,,-,-,-,-,-,400,600,200,60,275,935,935 .,175,1 310 000,-,1 100 000,,32) Abon. effekt,29 30
31 32 33 34,Yxhults Stenhuggeri A .- B. Kumla El. A .- B. . Lerbacksortens El. Distr. För. Mariedams El. Distr. För.,". Lerbäck, Hammar Lerbäck",Ab. fr. Örebro El. A .- B. Ab. fr. Hallsbergs El .- verk Ab. fr. Motala Stroms Kraft A. B. Ab. fr. Motala Ströms Kraft A,- -,- - - -,- -,,,10000/. 10000/380 20000/6000/380 20000/6000/220,,- .,.,,-,-,-,-,,-,-,-,36,225,,-,4,229,229,,,,,,,31 32 33 34
35,Skyllbergs Bruks A .- B.,,".- B.
Mariedam",V.,-,ca 6,L,-,220,,-,-,-,-,,,,,,,,,,,,,,,,,,,,,35
36,Åsbro Ålderdoms-,,Åsbro,.,-,,15,-,110,,-,-,-,-,,,-,-,-,,8,-,-,-,-,-,,8,8,,,,,,36
37,"hem
Vretstorps El. Bel.",Viby,Ab. fr. Motala,-,-,-,3-fas,50,3000/380,,,,.,,,,,,,,,,,,,,,,,,,,,,37
38,För. Laxa Bruks A .- B. .,Ramundeboda,"Kraftverk
Nyhammar",V.,3.7,,..,,380,1913,-,-,,,,,,,,,,,,,,,,,29,40 000,,,,33) År 1916,38
39 40,,,Lassana kvarn .,,"2'3
11","7
7",". .
.",. .,. .,"1916
1908",,,II,,,,,,,,,,,,,,,,. .,. .,,,,,39 40
41 42 43 44 45 46,A .- B. Backa Kraft- station Fjugesta El. Kraft A .- B Gust. Andersson .,"Edsberg, Kräk. linge o. Kumla Knista Hidinge och Knista",Laxa valsverk Röfors Backa . Ab. fr. Hasselfors Bruks A. - B. Skärmartorp . Nyhyttan .,å. v. - V,5.5 5 - 4'5,"8 10 280
33 25","3-fas
» L 1",- 50,110 10000/380 o. 220 5000/380 2000/380,. . 1902 1902,. . 2 000,1 650,". I .
.",. 4 . 5,25,5,9,10,7,35,76,-,-,-,-,-,,. 182 76,8 22 56 70,10 000 . . 18 000,,,,33) År 1916 32) Abon. effekt,41 42 43 44 45 46
47,Yxhults Stenhuggeri,Hidinge,Tovetorp,,.,37,,,3000/ .,.,,.,,1,,,,,,,,,,,,,,,,.,,,,,47
48| 49 50,"A .- B.
Lelhyttans El. För. Klunkhytte El. Bol. Hidingebro El. An- läggn.",,Lekhyttan Klunkhyttan . Hidingebro kvarn,,.,10 5 15,,-,220 2×220 110,. . 1905,. : .,.. .,-,,,,,,,,,,,,,,,.,...,.. .,,,.,,48 49 50
51 52 53 54 55,Villingsbergs A .- B. Per Nilssons A .- B. Mullhyttans El. A .- B. Svartå Bruks A. B. Mindre distr .- företag,"Kvistbro, Knista Kvistbro",Villingsberg Gropen Ab. fr. Hasselfors Bruks A .- B. Svarta Mullhyttemo,v.,7-8 - 12 .,"7 240
- 12","3-fas
. L",50 -,120 5000/880 5000/1500/380 . 220,. 1896-1917 1920 1871-73 1914 .,,ca 100,,8 4,,,,,,,,,,,,,,91,58,36 000,,,ca 200 000,33) År 1916,51 52 53 54 55
56,Gust. Karlsson,,Slestorp,,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7) Mindre kraft. station for eget,56
,Lars Larsson . . Hasselfors Bruks A .- B. 1,"R Skagershult, Ramundeboda, Knista, Kvist- bro",Verkhyttan Hasselfors . .,,10,4301 150Ì,3-fas,. 50,20000/5000/220,. 1909-10,,ca 500,,,,,,,,,,,,,,,,,29,809 000,,,,behov 7) D:o 33) År 1916,57 58
