1,2,,4,5,6,7,8,9,10,11,12,13,14,15,18,,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,1
59 60 61,"Rudskoga och Ny-
sunds El. Distr. För. Mindre distr .- föret. i Dildenäs Motala Ströms Kraft","Nysund
Askersunds",Ab. fr. Kraft A .- B. Gullspång- Munkfors Ab. fr. Kraft A .- B. Gullspång- Munkfors Starketorp,- v.,- - -,"--
150",3-fas,50,10000/1500/380 10000/380 2000/ .,,,,,1 2,,,,,,,,,,,,,,,,80,76 000,,,,2) Se nr 209 i Värm- lands län 33) År 1916,59 60 61
62,"A .- B.
Linds El. För. . .",landskommun,Ab. fr. Motala Ströms Kraft A. B.,-,-,,,,20000/380,,500,216,,3,15,,3,5,,,6,,,,,,-,,26%,,,9 500,,,,62
63,Diverse distr. 8,,Ab. fr. Motala Ströms Kraft A .- B.,-,,,,,20000/ .,,,,,3,,,,,,,,,,,,,,,,,,,,,,63
64 65 66,Dohnafors såg och kvarn Askersunds El .- verk Lunna El. And. För.,Askersund Hammar,Dobnafors . . Ab. fr. Motala Ströms Kraft A .- B. Ab. fr. Motala Ströms Kraft A. B.,V. - -,,8,L 3-fas,.50,220 20000/380 20000/380,,450,123,- 250 -,- - 1,17,,- -,. - -,-,,3,20,55 -,171 -,-,40 -,159 -,370,370 20,,,4 900,,65 000,,64 65 €6
67,Harge El. And. För.,,Ab. fr. Motala Ströms Kraft A.,-,-,-,,,20000/,,,,,1,,,,,,,,,,,,,,,,,,,,,,67
68 69 70,Motala Ströms Kraft A .- B. Transf .- stat. vid Zinkgruvan Diverse distr. Bol. Vieille Mon- tagne,,"B.
- Ab. fr. Motala Ströms Kraft A .- B. Ammeberg . . Ab. fr. Motala Ströms Kraft A .- B.",- v.,- 4-4'6,- - 100,,,20000/6000 20000/ . 20000/380,,,,,7,,,,,,,,,,,,,,,,,,,,,,68 69 70
71 72 73,Joh. Olsson . . Mindre anläggn.,...,Mårsäter Aspa Bruk Olshammar,,...,10 30 30,I,,220 220 220,,,,-,- -,,,,,,,,,,,,,,,,,,,,,,71 72 73
74 75 76 77,Tycke El. Distr. För.4 Nora Stads Belysn. och Vattenverk Nora Bergslags El. A .- B. Nora Bergslags El.,"Snavlunda Nora stad och
Nora lands- kommun Nora landskom- mun, Viker, Järnboas","Hagby
Torpa Nora diesel- central Västgöthyttefors Stribergs gruvfält",v. a. v.,. 9 5-6 -,"55
220
145|| 1 040
440","3-fas
|
-",50,6000/380 9000/1500/380 resp. 110 9000/.,1897-981 1905 -- 14] (1897-99] 1 1905-08,,,-,"8
11",--,,-,-,,,,,28,156,-,20,160,336,336 16 000,250 68,840 000 1 3 080 000 18 000,,795 000 .,313 000 588 000,"(33) Ar 1916 var prod 1 200 000 kWh. - 30) Inber. 90 kW, som leverer. till 1 Pershytte gruvb. 33) År 1916",74 75 76 77
78,"A .- B. 6
Fogdhytte Ljusför.",Nora landskom- mun,Ab. fr. Nora Bergslags El. A .- B.,-,-,,,,9000/500/220,,,,-,,,,,,,,,,,,,,,,,,,,,,,78
79 80 81 82,Guldsmedshytte A .- B. Borns Kraft A .- B. . Nitroglycerin A .- B. Gyttorp Nitroglycerin A .- B.,R ..,Rockesholm Born Övre krutbruks- fallet Nedre krutbruks-,V. v.,"5"" 3",1 800 45 33 38 20,,,30000/7000 3000/380 15000/380,1913 (1900-01) 1906 1913,,,,,,,,,,,ca 7-5,,,,,,,,,1 600 70 20,5 785 000 V. 125 000 d. 55 000 15 000,J,,,33) År 1916 33) År 1916 33) År 1916,79 80 81 82
83,"Gyttorp
Hammarby Yxe A .- B.",,"fallet
Hyttfallet",,4-6-5,17,,,.,.,,,-,,,,,,,,,,,,,,,,,.,,,,,,83
84,Nora Bergslags El. A,Viker,Dalkarlsberg,,50,270,,,,1921,,,.,,,,,,,,,,,,,,,,,.,,,,.,,84
85 86 87 88 89,".- B
P. E. Larsson m. fl. Nora Bergslags El. A .- B. Nora Bergslags El. A .- B. Tolvsbörds El. För. A. B. Stjärnfors- Ställdalen",Järnboas,Skrekarhyttan Rastälvskvarn Kopparhyttan Ab fr. Nora Bergslags El. A. - B Hultatorp,V.,9-5-10-5 5 .- 5'8 - 25-35,45 525 250 - 65,3-fas R,50 A,3000 o. 10000/380 9000/ . 9000/. 9000/380 5000/.,1912-14 1912-14,,,- -,- - -,,,,,,,,,,,,,,,35,. 350 180 . 35,1 320 000 660 000 200 000,,,132 000 71 000 .,"2) Se för övr. nris 76,77. 33) År 191 33) År 1916",85 86 87 88 83
