1,2,,4,5,6,7,8,9,10,11,1
76,Västerlösa El. Distr .- Fören.,Västerlösa,Ab. fr.Linköpings El. Krafto. Bel. A .- B.,"-
:unselected:",-,,3-fas,50,10000/1500/220,76,
77,Östra Tollstad El. Distr .- Fören.,Östra Tollstad,2,:unselected:,"-
:unselected:",:unselected:,,,10000/1500/220,,77
78,Gammalkils El. Andelsdistr .- Fören.,Gammalkil,,-,-,,,,10000/3000/380,78,
79,Högby El. Distr .- Fören.,Högby,,:unselected:,:unselected:,:unselected:,,,10000/1500/220,79,
80,Sjögestads El. Distr .- Fören.,Sjögestad,,,:unselected:,,,,10000/1500/380,80,
81,Övrig distr.inom Linköpingsnätet,"Delar av Åkerbo, Bo-
bergs, Valkebo och Hanekinds härader","-
2",-,"-
:unselected:","-
:unselected:",,,10000/380,81,
82,Svenska Chokladfabriks A .- B. ...,Vreta kloster,Södra Malfors nedre,V,3,200,,,220,82,
83,A .- B. Ljungs Tegelbruk,Ljung,Ljung,,3,73,,-,220,83,
84,Svartådalens El. Kraft- och Distr .- Fören.,"Vifolka, Bobergs och 1 Gastrings harader ...",Vågforsen,,4.9,1 290,3-fas,50,20000/3000/220,,84
85 a,A .- B. Knutsbro Kraftstation,Härbärga,Knutsbro,,4'8,1 260,,,6000,,85 a
85 b,3,,Öjebro,,15.8,2 600,»,,40000/6000,85 b,
86 a,Torpa El. Distr .- Foren.,Normlösa,Ab. från A .- B. Knutsbro Kraftstation,,:unselected:,,,»,6000/500/220,,86 a
86 b,Härbärga El. Distr .- Fören.,Härbärga,,,,"-
:unselected:",,,6000/500/220,,86 b
87,Distr. i Skänninge,Skänninge,Motala Kraftverk 1) ..,,,,,,6000/220,87,
88 a,Veta El. Distr .- Fören.,Veta,A .- B. Knutsbro Kraftstation,,,-,,,6000/500/220,88 a,
"88 b""",Sya El. Distr .- Fören.,Sya ..,,,,-,,2,6000/220,,88 b
89,Distr. i Mjölby,Mjölby,» Motala Kraftverk1) ..,,,-,,,6000/500/220,89,
90,» » Hulterstad,,A .- B. Knutsbro Kraftstation,,,-,»,,10000/1500/220,90,
91,Väderstads Kvarn A .- B. Distr. i Hogstad m. fl.,Väderstad och Hogstad,Motala Kraftverk 1),-,,,»,,10000/500/220,91,
92,Älvkulla Kraft A .- B.,Mjölby,Älvkulla,,,180,,,3000/380,92,
93 a,Boxholms A .- B.,Ekeby och Åsbo,Boxholm,,29,836 150,,,5000/380 o. 800,93 a,
93 b,Boxholms A .- B.,Ekeby och Åsbo,Flemminge,V,5.4,1 200,,,800,,93 b
94,Strålsnäs El. Distr .- Fören.,Asbo,Ab. från Boxholms A .- B.,,-,-,,,5000/380,94,
95,Ekeby El. Distr .- Fören.,Ekeby,Linnefors kvarn,v,1,20,,,10000/380,95,
96,Ödeshögs El. A .- B.,,JÖdeshög,,30,125,,,,96,
,,Ödeshög,Ab. från Motala Ströms Kraft A .- B.,-,,,,,3000/380,,
97 a,A .- B. Hallsta-Rimforsa El-verk,"Tjärstad, Vårdnås",Sjösäter,v,34,500,,,,,97 a
97 b,,"Ulrika, Kettilstad ....",Hallsta,»,14,80,,,,97 b,
97 c,,"Hägerstad, Oppeby och",,d,-,85,,2,"5000/380, 220 o. 190",,
,,Kisa,Eriksholm,V,4,60,,,,,97 c
98,Tyrisfors Kraft A .- B.,Horn och Västra Eneby,Tyrisfors,,9.5,90,,,10000/380,98,
99,Blomsfors,Horn och Hycklinge ...,Blomsfors,,,75,,,3000/380 o. 10000/380,99,
100,Mjölsefalls A .- B.,Kisa,Örneström,,,25,,,6000/220,100,
101,Forsnäs A .- B. med abonnenter: Norra Vi El. Distr .- Fören. m. fl.,Sund och Norra Vi,Ånestad,,5,,,,10000/380,10,
102,Tranås Stads El .- verk,Sund,Forsnäs,,12.5,500,,,40000/10000,102,
103,Sunds El. Distr .- Fören.,,Ab. från Forsnäs kraftstation,,,-,,,10000/380,103,
104,Carl Stjernsvärd,Västra Ryd,Olstorp.,V,9,300,,=,15000/3000/380,104,
