1,2,3,,5,6,7 8,9,10,11,12,13,14,15,16,1',18,19,1
19b 20 19a,Kraft A .- B. Nykvarn-Tidan Cl. H. Beckman,"Götlunda, Vä- ring, Hova, Odensåker, Tidavad, La-' stad, Böja, Timmersdala, Lerdala, Berg, Locketorp, Hjälstad, Trä- stena, Ekby, Utby, Uller- vad Locketorp, Säter",Lunne Nykvarn Sörbylund,v,3.2 3.3 4.2,225-fas 300 » 50 »,50 50 50,¥10000/380 3000/380 och 190,- -,42,675 .,,,,,,,f 19a 1 19b 20
21 22 23,J. G. Svensson L. G. Frödelius,Lerdala,Skräddareslätt Kvarngården,,. .,.,- 50,110,- --,,- -,. .,.,. .,.,,. .,21 22 23
,Kraft A .- B. Gullspång -- Munkfors,Berga,Sekundärstationen vid Säby,-,-,-fas,,40000/10000,150,,-,-,,,-,,.,
24,Torso el. distr .- fören.,Torsö,Ab. från Kraft A .- B. Gullspång- Munkfors,-,-,,50,10000/380,-,8,180,140,40,-,180,,.,24
25,Hassle el. distr .- fören.,"Hassle, Freds- berg, Berga",Ab. från Kraft A .- B. Gullspång- Munkfors,-,,-,50,10000/380,-,7,120,.,,.,,,.,25
26,Katrinefors A .- B. och A .- B. Tidan,Mariestad,(Ab. från Kraft A .- B. Gullspång Munkfors Katrinefors,"- 1à, d",- 4.7,"- 150"" 370",50,40000/500,3 000,-,-,3 700,75,-,3 775,,-,26
27,Mariestads el .- verk,"Mariestad, Leksberg",Ab. från Kraft A .- B. Gullspång- Munkfors,-,-,,50,40000/5000/380 och 220,400,10,260,320,400,-,720,,-,27
28 29,S. Gullberg,Ullervad,Nykvarn,v,.,70 >>,50,3000/380,-,12,,,,,,,,28
,Arnäs bruk,Bredsäter,Ab. från Kraft A .- B. Gullspång- Munkfors,-,,,50,40000/3000/220,75,4,50,125,20,-,145,,:,29
30,Björsäters m. fl. socknars el. distr .- fören.,"Bredsäter, Björsäter, Lugnås",Ab. från Kraft A .- B. Gullspång- Munkfors,-,,2,50,10000/380,,10,165,225,60,-,285,,,30
31,Halffara-Äskekärr el. distr .- fören.,Bredsäter,Ab. från Kraft A .- B. Gullspång- Munkfors,-,,-,50,10000/380,-,12,150,175,40,-,215,,.,31
32,Ortsdistr. i Forshem,Forshem,Ab. från Kraft A .- B. Gullspång- Munkfors,-,,,50,10000/380,,,,,,,,,,32
33,Kraft A .- B. Gullspång- Munkfors,Österplana,Sekundärstationen vid Hellekis,-,,,50,40000/10000,1 500,-,-,-,-,-,,-,,33
34,Skånska Cement A .- B.,,Ab. från Kraft A .- B. Gullspång- Munkfors,-,,,50,40000/500/220,1 800,2,50,1 250,100,,1 350,,-,34
35,Ortsdistr. å Östra Kinnekulle3,Kinne härad,Ab. från Kraft A .- B. Gullspång Munkfors,-,,,50,10000/380,-,53,605,1 050,275,-,1 325,,,35
36 37,Ortsdistr. å Västra Kinnekulle 3 Kraft A .- B. Gullspång- Munkfors,"Medelplana, Västerplana, Husaby, Källby,Skeby, Hangelösa Lidköping","Ab. från Kraft A .- B. Gullspång- Munkfors Omformarestationen och se- 1 kundärstationen i Lidköping, Samarbete med Trollhätte kraftverk",- -,- -,- -,50 25/50,10000/380 50000/3000/40000,- 1 500,15 -,200 -,375 -,100 -,- -,475 -,-,-,36 37
38,Lidköpings stads el .- verk,Lidköping,Ab. från Kraft A .- B. Gullspång- Munkfors,-,-,,50,40000/3000/380,.,-,-,.,,,.,,-,38
