1,2,3,4,5,6,7,8 1,9,10,11,1º,18,14,15,16,17,18,19,1
73,Halvås kvarn,Ryda,Ab. från Trollhätte kraftverk,,-,,3-fas,25,10000/190,50,,-,81,1,5,99,138 100,246,73
74,Arentorps el. distr .- fören.,S. Kedum,,,,,,25,10000/380,-,1,,27,7,-,34,17 700,303,74
75,Heresgårdens el. distr .- fören.,,,,,,,25,10000/380,,1,8,25,6,1,32,15 900,551,75
76,Tumlebergs El. A .- B. och Skattåsens el. distr .- fören.,Essunga,»,,-,-,,25,10000/1500/380,50,3,15,117,26,8,151,148 100,1 300,76
77,Essunga-Bärebergs el. distr .- fören.,"Essunga, Bäreberg",,,-,,,25,10000/3000/380,120,16,153,311,46,15,372,87 100,2 511,77
78,Nossebro El. A .- B.,Bäreberg,,,,,,25,10000/lågsp.,-,2,75,85,27,8,120,102 200,183,78
79,Fåglums el. distr .- fören.,Barne-Asaka,»,,,,,25,10000/380,,8,160,311,30,7,348,111 300,1 372,79
80,Bitterna m. fl. socknars el. distr .- fören.,"Lekåsa, V. Bit- terna m. fl.",,,,-,,25,10000/380,,10,140,284,37,9,330,49 400,1 564,80
81,Sparlösa kvarn,Sparlösa,,-,,,,25,10000/lågsp.,50,,-,74,2,,76,127 100,-,81
82,Slädene egendom,,,,,,,25,10000/190,10,,"-
:unselected:",30,1,,31,4 200,200,82
83,"Hale, Tang och N. Sparlösa el. distr .- fören.","Hale, Tang o. Sparlösa",»,-,,,»,,10000/380,-,8,110,216,24,9,249,69 300,1 404,83
84,Ulvstorpstraktens el. distr .- fören.,Sparlösa,=,-,,,,25,10000/380,,4,45,78,10,-,88,26 800,398,84
85,Hyringa el. distr .- fören.,Hyringa,,-,-,-,,25,10000/380,-,2,35,41,5,-,46,17 100,386,85
86,Ekedals egendom,,,,,,,25,10000/220,25,-,-,32,2,-,34,11 200,200,86
87,Malma el. distr .- fören.,Malma,»,,,,,25,10000/380,,2,20,15,20,1,36,15 600,637,87
88,Flakebergs el. distr .- fören.,Flakeberg,,,,,,25,10000/380,,5,55,112,16,5,133,28 500,780,88
89,Grästorps samhälle,Tengene,,,,,,25,10000/190,,2,100,129,56,35,220,93 800,,89
90,Tengene el. distr .- fören.,,»,,,,,25,10000/380,,9,85,127,18,11,156,43 700,1 006,90
91,Flo el. distr .- fören.,Flo,,,-,,"""",25,10000/1500/380,60,6,85,112,22,4,138,53 600,1 112,91
92,As m. fl. socknars el. distr .- fören.,"Ås, Särestad",,,,-,,25,10000/3000/380,120,16,153,247,40,5,292,84 400,2 867,92
93,Tuns el. kraftfören.,"Tun, Friel",2,-,,,,25,10000/380,,8,147,224,46,37,307,295 300,2 010,93
94,Frugårdens egendom,Vänersnäs,,,,-,,25,10000/lågsp.,30,-,--,38,6,16,60,32 300,226,94
95,Vänersnäs egendom,,,,,,,25,10000/lågsp.,25,:unselected:,:unselected:,23,2,-,25,9 400,160,95
96a 96b,Främmestads egendom,Främmestad,Främmestad Baljefors,= 4,12 . 7,40 50,,50,10000/380,-,.,.,,,.,,,,196a 196b
97,Edsvära el. kraftfören. med abonnenter: Östra Larvs och Ostra Langjums el. distr .- fören.,"Edsvära, Längjum, Larv",Lidafors,,,48,,50,6000/800 och 380,-,,,,,,,,,97
98,Trollhätte kraftverk,Skara,Sekundärstationen i Skara,-,-,-,,25,50000/10000 och 3000/190,-,-,-,-,-,-,-,-,-,98
99,Skara stads el .- verk,,Ab. från Trollhätte kraftverk,-,-,,,25,3000/380 2 × 110,-,,850,1 107,565,156,1 828,1 196 000,876,99
100,Händene el. distr .- fören.,,,-,,,3-fas,25,10000/380,-,,60,95,17,2,114,31 800,811,100
101,Synnerby-Hasslösa el. distr .- fören.,"Synnerby, Hasslösa",,-,,,,25,10000/3000/380,100,7,135,264,38,8,310,56 700,1 651,101
102,Skallmeja el. distr .- fören.,Skallmeja,,-,-,,,25,10000/3000/380,60,5,90,108,12,6,126,50 500,"""777",102
103,Mellomtorp m. fl.,Skara,2,,,,,25,10000/380,,1,5,8,1,1,10,1 000,34,103
104,Västorps el. distr .- fören.,,,,,-,,25,10000/380,,1,15,14,4,1,19,3 500,200,104
105,Skånings-Åsaka el. distr .- fören.,Skånings- Åsaka,=,,,,,25,10000/380,,6,95,154,22,2,178,60 600,1 573,105
106,Lundsbrunnsortens el. distr .- fören.,"Skånings- Åsaka, Ledsjö, Ofwa och Hangelösa",,-,-,-,,25,10000/380,-,,210,243,46,18,307,113 200,1 612,106
107,S. Sparre,Ofwa,Mariedal,,,27,L,-,2 × 220,-,,,,.,.,,.,.,107
108,Götala egendom,Skara,Ab. från Trollhätte kraftverk,-,,,3-fas,25,10000/190,10,,,13,2,1,16,2 000,100,108
