1,2,3,4,,5,6,,8,9,10,11,19,13,14,15,16,17,18,19,1
109,Brunnobo egendom,Skånings- Åsaka,Ab. från Trollhätte kraftverk,,1,,,3-fas,25,10000/190,10,-,-,10,1,1,12,1 300,80,109
110,Tubbetorps egendom,Stenum,,,-,,-,,25,10000/190,15,-,,15,2,1,18,2 800,130,110
111,"Västergötland-Göteborgs järnvägar, Rödemosse",,2,,-,-,-,,25,10000/lågsp.,110,-,-,182,2,1,135,37 600,,111
112,Östtomten torvfabrik,,,,,,,,25,10000/lågsp.,75,,,39,,-,39,6 400,,112
113,Härlingstorps egendom och,Stenum och,,,,,,,25,10000/800/190,30,18,12,87,13,7,107,53 500,1 044,113
,Stenums el. distr .- fören.,N. Ving,,,,,,,,,,,,,,,,,,
114,Ekebergs sanatorium,Skäry,,,,,,,25,10000/lågsp.,56,,,45,21,16,82,54 800,,114
115a,Skärvs el. distr .- fören.,,,,,,,,25,10000/380,40,,,57,7,3,67,.,214,115a
o. l,,,,,,,,,,,,,,,,,,,,o. b
116,Skärvs torvströfabrik,,2 »,,,,,,,10000/lågsp.,70,,,,1,-,61,13 400,,116
117,"Skaraborgs regemente,",»,,,,,,,,10000/220,-,3,33,,19,7,66,66 000,,117
118,"Skaraborgs läns folkhögskola, Axvalls ångbryggeri och Axvalls mejeri Ökulls egendom",Varnhems kloster,,,-,-,-,,25,10000/lågsp.,20,-,1,56,6,2,64,52 300,230,118
119,Hushagens egendom,,,,,-,,,,10000/lågsp.,15,,,12,4,3,19,8 200,85,119
120,Ulunda kalkbruk,Varnhems,Ab. från Trollhätte kraftverk,,,,,,25,10000/380,15,,11,35,14,1,50,24 400,221,120
,,kloster,,,,,,,,,,,,,,,,,,
121,Varnhems kyrka,,,,,-,-,,25,10000/190,175,,,-,1,175,176,30 900,-,121
122,Sjötuna egendom,Skäry,,,-,,,,25,10000 220,5,,-,1,2,5,8,1 100,.,122
123,Eggby el. distr .- fören. och,"Eggby,",,,-,,-,,25,10000/380,-,9,100,199,41,7,247,63 400,1 206,123
,Ljungstorps el. distr .- fören.,Öglunda,,,,,,,,,,,,,,,,,,
124,Istrums el. distr .- fören.,Istrum,,,,,-,,,10000/380,-,3,50,56,8,-,64,25 000,484,124
125,Remingstorps egendom,,,,,,,,,10000/380,10,-,-,37,5,1,43,9 700,50,125
126,Dagsnäs och Trestena egen- domar,Björklunda,2,,,,1,,25,10000/190,40,,-,34,3,15,55,115 400,300,126
127,St. Bjurums egendom,Bjurum,,,,,,,25,10000/380,,5,130,102,12,6,120,125 900,1 200,127
128,Ugglums m. fl. socknars el.,"Ugglum, Östra",»,,,,,,25,10000/380,-,8,118,140,24,-,164,29 400,672,128
,distr .- fören.,"Tunhem, Gudhem",,,,,,,,,,,,,,,,,,
129,St. Ståltorps egendom,Ugglum,,,,,,,25,10000/380,15,,,17,3,1,21,2 200,69,129
130,Backors kvarn,Vilske-Kleva,,,,,,,25,10000/lågsp.,30,,,25,1,1,27,55 600,,130
131,Trollhätte kraftverk,Skövde,Sekundärstationen i Skövde,,,,,,25,50000/20000 och 3000/190,-,-,,-,-,-,-,-,,131
132,Skövde el .- verk,,JAb. från Trollhätte kraftverk Skövde dieselcentral,,= d,-,- 110,,25,3000/190 2×220,-,.,785,1 210,801,247,2 258,1 519 200,338,132
133,Gullhögens bruk,Våmb,Ab. från Trollhätte kraftverk,,,,,-fas,25,20000/lågsp.,100,,-,100,5,,105,50 000,158,133
134,Skövde Mek. Stenhuggeri & Kalkbruks A .- B.,,A,,,-,,=,25,20000/·,40,,,41,4,1,46,26 700,40,134
135,Sjogerstads el. distr .- fören.,Sjogerstad,2 2,,-,-,-,,25,20000/3000/380,60,11,140,122,35,5,162,80 400,1 310,135
136,"Stenstorps samhälle (Svens- son, C. A.)",Stenstorp,,,,-,-,,25,20000/3000/380,100,3,45,146,47,18,211,250 700,700,136
137,Broddetorps el. distr .- fören.,Broddetorp m. fl.,2,,-,,-,)),25,20000/3000/380,120,9,195,396,53,4,453,94 500,1 797,137
138,"Torbjörnstorps el. distr .- fören., Gudhems remontdepot, Rössberga kalkbruk, Tomtens kalkbruk, A .- B. Kalk, Vrangelsholms egendom och Segerstads el. distr .- fören.",Torbjörnstorp,,,,-,,,25,20000/3000/380,180,20,331,516,53,39,608,217 900,1 551,138
