1,2,8,4,5,6,7
139 140,Dala el. distr .- fören. och A .- B. Dala el. kvarn Vretens egendom,"Dala, Borgunda Edhem",Ab. från Trollhätte kraftverk »,-,-,-
141,Falköpings El. A .- B.,Falköping,,,,
142 143,"Trollhätte kraftverk, Åslenätet
Hvalstads el. distr .- fören.","Mularp, Åsle,
Karleby, Tiarp, Högstena Valstad, Ö. Gerum, Dimbo",,,- -,
144,"Vartofta el. distr .- fören. och Vartofta kvarn, Lidberg","Vårkumla, Slöta m. fl.",2,-,-,
145,Kättilstorps el. distr .- fören. och A .- B. Ryttern,Yllestad m. fl.,,-,-,-
146,A .- B. Rogestorps bränntorvs- fabrik,Luttra,»,-,-,
147,A .- B. Torvindustri,,» »,,-,
148 149,Slutarps el. distr .- fören. och A .- B. Slutarps ångkvarn N. Åsarps m. fl. socknars el. distr .- fören.,Kinneved Brismene m. fl. (även delvis i Älvsborgslän),2 » .,,-,
150,Grolanda m. fl. socknars el. distr .- fören. och A .- B. Jäla kvarn,"Grolanda, Jäla m.fl. (även del- vis i Älvs- borgs län)",,-,-,-
151 152,Redberga egendom Sjötorps och Näsets egen- domar,Marka,»,,,
153,Gökhems el. distr .- fören.,Gökhem,,-,-,
154,A .- B. Kvissle kraftstation,"Trävattna, Floby, Hälle- stad, Mjäl-",Kvissle,-,-,62
,,drunga (även delvis i Älvs- borgs län),Ab. från Trollhätte kraftverk,,,
155,"Falköpings KalkbruksA .- B. och
Uddagårdens kalkbruk",Karleby,JUddagården Ab. från Trollhätte kraftverk,å -,,95 -
156 157,Alex. Johansson Mindre kraftstation,S. Kyrketorp Forsby,S. Kyrketorp Törnestorp,v,. .,
158,Knut Åkerberg,Sventorp,Gudmundstorp,,,15
159,J. H. Salström,,Fjälla kvarn Sammankopplad med nr 161,,,
160,Igelstorp (S. Jansson),»,Ab. från Trollhätte kraftverk,-,-,
161,Sventorps el. distr .- fören.,,,-,,
162,Mölltorps el. distr .- fören.,Mölltorp,,,,
163,Telegrafverkets radiostation i Kråk,,,-,-,
164,Karlsborgs el. distr .- fören.,Karlsborg,,-,-,
165,Karlsborgs fästning,,2,-,-,
166,Bölets gruvor (Vargöns A .- B.)|,Undenäs,»,-,-,-
