8,9,10,11,12,13,4,15,1 0,1',18,19,1
3-fas,25,20000/3000/380,80,6,115,207,23,9,239,144 500,1 038,139
,25,20000/3000/380,60,7,72,60,22,10,92,73 700,630,140
,25,20000 och 10000/380 och 110,935,,595,974,685,510,2 169,2 032 200,1 623,141
,25,20000/3000/380,100,14,190,439,42,12,493,.,1 792,142
,25,20000/3000/380,70,5,115,153,13,7,173,30 800,951,143
,25,20000/3000/380,150,16,195,411 1 40,40 2,10 2,461 44,79 500 62 440,1 491| -,}144
,25,20000/3000/380,100,6 3,79 95,159 129,21 3,15 -,195 132,30 200 74.000,"579
-",1145
,25,20000/1500/190,150,2,30,132,2,2,136,35 300,290,146
,25,20000/lågsp.,,-,-,,,-,,,,147
,25,20000/3000/380,100%,5 1,73 15,255 57,26 1,6 2,287 60,33 600 96 400,"915
-",1148
,25,20000/3000/380,100,15,230,533,76,10,619,121 700,1 732,149
=,25,20000/6000/380 och 20000/3000/·,120 60,14 1,225 50,1 100 61,152 1,22 2,"1 274
64","1
/ 114 200",2 598,150
,25,10000/lågsp.,65,,,67,5,5,77,73 900,310,151
,25,10000/1agsp.,17,,,20,2,-,22,1 500,154,152
,25,20000/3000/380,60,5,55,115,46,8,169,30 400,1 033,153
,50 25,10000/380 20000/10000,.,15,144 -,,-,-,,. .,"571
-",154
»,25 25,3000/380 20000/3000,- -,,,,,,,,-,155
.,,lågsp.,,-,-,,,,,,.,156
.,,,,,,.,,,,.,,157
3-fas,50,380,,,,.,,,,.,.,158
,25,3000/380,-,,,.,,,,,,159
,25,20000/380,15,-,-,34,12,2,48,,571,160
,25,20000/3000/380,70,12,164,313,37,10,360,52 800,1 279,161
,25,20000/3000/380,120,13,161,123,41,4,329,71 600,1 373,162
,25,20000/,115,-,-,204,2,19,225,65 500,,163
,25,20000/3000/380,60,7,88,89,56,25,170,93 700,290,164
,25,20000/3000/·,440,16,448,338,136,181,655,865 000,-,165
,25,20000/·,200,-,-,,,,,,-,166
