Nr,"Företagets namn, ägare eller innehavare",Kommun,Kraftstationens namn eller läge,Driv- kraft,"Ut- byggd
fall- höjd i m","stallerad
In- genera- toreffekt i kVA",Ström- art,Peri- odtal,Spänningssystem volt,Hu- vud- trans- forma- torns effekt kVA,Orts- transforma- torernas,,Anslutning år 1922,,,,Elek- tri- fierad åker- areal hektar,Energi- för- brukning år 1922 kWh,Anmärk- ningar,Nr
,,,,,,,,,,,antal st.,sam- man- lagda effekt kVA,mo- torer kW,belys- ning kw,övriga appa- rater kW,sum- ma kW,,,,
1,2,,4,5,6,7,8,9,10,11,19,13,14,15,16,17,18,19,20,1
1,"Älvkarleby kraftverk, sekun-
därstationen i Strängnäs",Strängnäs,,-,-,-,3-fas,50,70000/20000/3000,-,-,-,-,-,-,-,-,,,1
,,,(Ab. från Älvkarleby kraft-,-,-,-,,50,3000/110,,,,,,,,,,,
2,Strängnäs stads el. verk,,verk Strängnäs kraftstation,å,,.,L,,2 ×220,-,6,355,360,460,319,1 139,,721 027,,2
3,Ulvhälls och Gorsingeholms egendomar m. fl.,,Ab. från Älvkarleby kraft- verk,,,,3-fas,50,20000/3000/220,,3,65,55,9,7,71,388,33 854,,3
4,Vansö el. distr .- fören. och A .- B. Sanda tegelbruk,"Vansö, Fogdö",,-,-,-,,50,20000/3000/220,150,29,169,120,35,15,170,1 471,59 160,,4
5,Aspö el. distr .- fören. och H. Wrangel,Aspö,,,,,,50,20000/3000/220,60,19,176,135,15,,150,1 033,37 135,,5
1 6,Toresunds norra el. distr .- fören. Toresunds södra el. distr .- fören. - J,Toresund,»,-,-,-,,50,20000/3000/220,90,-~ 17 23,80 223,35,23,,"62
181",2 077,30 494 46 596,,
7,Stallarholmens el. distr .- 1 fören. Husby tegelbruk,Ytterselő,,,,-,,50,20000/1500/220,300,9,24,67,12,3,82,594,24 387,,17
,"A .- B. Remmar, Sundby Te- gelbruks A .- B. m. fl.",,»,,,,»,50,20000/-,,,.,,.,,,-,,,7
,Överselö el. distr .- fören.,Överselő,,-,-,-,,50,20000/1500/220,120,23,101,240,40,14,294,2 003,89 715,,8
,Ytterselő el. distr .- fören. och \ Näsby tegelbruk,Ytterselő,,-,-,-,,50,20000/3000/220,200,16,150,,21,9,.,799,49 350,,9
10,Malmby-Ahus el. distr .- fören.,"Strängnäs, Åker",,,,-,,50,20000/1500/220,60,20,98,175,31,6,212,1 350,66 510,,10
11,Åkers krutbruk,Åker,A (Åker,- V,- 24,-,,50,20000/-,300,--,-,390,24,29,443,-,246 630,,11
12,Åkers styckebruk,,Ab. från Älvkarleby kraft- verk,-,-,"-
111881",»,50,20000/3000/380,400,,,350,44,13,407,,452 313,,12
13,Mariefreds stads el .- verk,Mariefred,,,,-,,50,20000/1500/220,14 175,5,75,75,,41,217,,82 627,,13
14,Kärnbo östra el. distr .- fören m. fl.,Kärnbo,,,,,,50,20000/1500/220,,"-
11",71,36,9,1,46,316,21 275,,14
15,"Taxinge-Näsby egendom och
Mariefreds stad",Taxinge,,-,-,-,,50,20000/·,100,5,125,125,5,1,131,525,72 774,,15
16,Enhörna el. distr .- fören.,"Över En- hörna,",,-,-,-,,50,20000/3000/220,60,37,208,92,29,-,121,1 700,62 550,,16
,,Ytter En- hörna,,,,,,,,,,,,,,,,,,
17,K. Karlsson,Härad,Eksåg,,,1,L,,220,,,,.,.,.,.,.,,,17
18,"Alvkarleby kraftverk, sekun- därstationen i Eskilstuna",Eskilstuna,---,,,,3-fas,50,70000/20000/6000,,,,.,,,,,,,18
