1,,3,1,- 5,6,|,8,9,10,11,12,13,14,15,16,17,18,19,20,1
19,Eskilstuna stads el .- verk med Norra Klosters och Södra Klosters el. distr .- fören.,Eskilstuna,(Eskilstuna { Ab. från Alvkarleby kraft- verk,å -,-,665 -,3-fas,50 1,220 och 110 6000 och 1500/ 190 och 380,-,85,6 986,5 680,1 955,978,8 613,2 417,4 581 150,,19
20,Karl Gustavs stads gevärs- faktori,2,Eskilstuna,"v
d","1.6-2-3
-","115
233 /",,,,-,,-,,,,.,-,,,20
,,,| Tunafors,V,5.2,1 000,,,,,,,,,,,,,,
21,Eskilstuna Järnmanuf. A .- B.,,Samarbete med Eskils- tuna el .- verk,a,:unselected:,"1
500 - 1",3-fas,50,6000/.,,-,-,,,,.,-,,,21
,,,Skogstorp,,,,,,,,,,,,,,,,,
22,Eskilstuna Stålpressnings A .- B.,,Samarbete med Eskils- tuna el-verk och Älvkarleby kraftverk,V,5.2 -,1 100 1,,50,6000/·,-,,,,,.,,.,,,22
23,Nyby Bruks A .- B.,Torshälla,Kvarnfallet,v,3.5,15,,,,,=,,,,,,-,,,23
24,Torshälla stads el .- verk,,Ab. från Älvkarleby kraft- verk,,-,-,3-fas,50,20000/3000/220,,13,207,150,85,47,282,181,252 591,,24
25,Torshälla sockens el. distr. fören.,2,,-,-,,2,50,20000/3000/220,200,35,190,230,68,26,324,895,163 531,,25
26 27 28,Mälarbadens el. fören.,,,-,-,,,,20000/3000/220,,12,64,24,15,1,,211,19 862,,
,Tumbo el. distr .- fören. Vallby-Jäders el. distr .- fören.,"Tumbo, Råby-Re- karne Vallby, Ham- marby,",,"-
-",- -,- -,,50,20000/3000/220 20000/3000/220,150 300,33 151,315 1 237,220 780,42 164,7 20,269 964,1 817 7 143,99 041 413 357,,28
,,"Sundby, Jäder, Kjula",,,,,,,,,,,,,,,,,,
29,Eskilstuna Stålpressnings A .- B. m. Al.,Eskilstuna,,-,-,-,,50,20000/6000,600,2,365,990,62,-,1 052,-,4 722,,29
30,Rekarnebygdens el. distr .- fören.,"Husby-Re- karne, Arla",R,-,,1,,50,20000/1500/220,150,45,341,395,113,19,527,3 343,227 643,,30
31,Stenkvista el. distr .- fören.,Stenkvista,,-,-,-,,50,20000/3000/220,100,,287,210,47,12,269,1 628,76 993,,31
32,Eklångens el. distr .- fören.,"Arla, Kjula",,,-,,,50,20000/3000/220,90,,326,200,40,-,240,1 230,64 513,,32
33,Gillberga-Lista el. distr .- fören.,"Gillberga, Lista",,-,,,,50,20000/3000/220,150,87,634,365,91,8,464,3 284,130 087,,33
34,Öja och Västermo el. distr .- fören. samt,"Öja, Väster- mo",,-,,,,50,20000/3000/220,150,27 1,308 5,210 59,65 1,11 1,286 61,1 948 -,81 775 81 325,,34
,Öja Kvarn A .- B.,,,,,,,,,,,,,,,,,,,
35,"N. Arwedsson, Hedensö",Näshulta,Näshulta kvarn,,9,50,,50,4000/190,-,,,.,,.,,.,.,,35
36,"Motala kraftverk, sekundär- stationen i Kantorp",Sköldinge,,,-,,»,50,70000/20000/3000,-,,,-,-,-,-,-,-,,36
37,Kantorps el. distr .- fören.,2,Ab. från Motala kraftverk,,-,-,,50,3000/220,150,11,164,,.,,,1 028,82 500,,37
38,Stavs gruva,Floda,,,,,,50,20000/-,,-,-,,,|,,,,,38
39,Floda el. distr .- fören.,,,,,-,»,50,20000/3000/220,120,27,222,,,.,.,1 950,140 100,,39
40,Gropptorpsortens el. distr .- fören.,"V. Vingåker, Floda",,-,,,„,50,20000/3000/220,100,22,186,,,.,,1 391,63 500,,40
41,Julita el. distr .- fören.,Julita,,-,,-,,50,20000/3000/220,150,51,410,,,,,2 406,95 500,,41
42,El. Tamm,A,Fågelstad,V,,,,50,1500/190,-,.,,,,,,,.,,42
43a,Vingåkers Tomt A .- B.,V. Vingåker,Spånga,,6.5,,,,,,,,,,,,,,,/43a
b,,,Bilsbro,,,,,50,3000/380 och 220,-,.,,,,,,,,,1 b
,,,"( Vingåker
=",S,,50,,,,,,,,,,,,,,
44,Vingåkers El. A .- B.,=,- Ab. från Spånga kraft- station,-,,,,50,3000/500 och 380,-,.,,,,,,,,,44
45,"Högsjö bruk, Schullström & Sjöströms Fabr. A .- B.",,Högsjö,V,7.5,20,,50,380,-,-,-,,,,,,,,45
