1,2,3,4,,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,1
46,Valla El. Kraft och Belys- nings A .- B.,Lerbo,Ab. från Motala kraftverk,,,-,3-fas,50,20000/3000/500 och 190,-,.,,,,,,,,,46
47,Lerbo sockens el. distr .- fören.,,,-,-,-,,50,20000/3000/220,300,32,231,,,,.,1572,64 500,,47
,,,Katrineholms kraftstat. I,,,,L,-,2×220,"1
-",,,,,,,,,,
48,A .- B. Katrineholms el .- verk,Katrineholm,II Ab. från Motala kraftverk,,,,3-fas,50 50,"3000/220
20000/3000",,,.,,,,,.,,,48
49,Värmbols Fabr. A .- B.,Ö. Vingåker,Gene kvarn Ab. från Motala kraftverk,v,3.7,,,50,20000/4000/380 och 190,,.,,,,,,,-,,49
50,Baggetorpsortens el. distr .- fören.,2,,,-,-,,50,20000/3000/220,70,23,145,,,,,1 132,55 300,,50
51,Ö. Vingåkers el. distr .- fören.,Vingåker,,,-,,»,,20000 3000/220,90,30,203,,,,,1 199,84 100,,51
52,C. Lewenhaupt,Ö. Vingåker,Boda kvarn,v,.,30,»,,2000/380,-,,.,,,,,,,,52
53,Strångsjö el. kraft- och be-» lysningsförening,och St. Malm,Ab. från Motala kraftverk,,,,,,20000/3000/220,90,2,18,,,,,10,9 900,,5:
54,R. Grönkvist,St. Malm,St. Djulö,v,.,35,,50,3000/,,,,,,,,,,,54
55a,Forssjö bruk,,(Forssjö damm Ab. från Motala kraftverk,,1.8 -,"100
--",,50,3000/220,,,,,,,,,,,55a
55b,,,Eriksberg,v,.,75,,50,3000/220,,,,,,,,,,,55b
56,Forssjö-Östra Djulö el. distr .- fören.,,Ab. från Forssjö bruk,-,-,-,,50,3000/220,-,,,,,,,,,,56
57,Forssjö och Stensjö el. distr. fören.,,,,-,,,50,3000/220,--,,,,,,,,,,57
58,,,,,,,,,,,,,,,,,,,,
,Kantorps malmfält,Bettna,"(Akfors
Ab. från Motala kraftverk",V d,,"270 1
300 /",,50,10000/380,.,,,,,,,,,,58
59,Ransta Kraft och Trafik A .- B.,Björkvik,Ab. från Åkfors kraft- station,,,-,»,50,10000/·,-,,,,,,,,,,59
60,Björkviks el. distr .- fören.,,,-,-,-,,50,10000/3000/220,120,42,422,,,,,2 840,119 700,,60
61 62,Danbyholms delägare Vadsbro el. distr .- fören.,"Vadsbro, Blacksta",Vedeby kvarn Ab. från Motala kraftverk,v -,-,40,,50 50,2000/380 20000/3000/220,100,38,309,,,,,2 110,120 400,,61 62
63,Bettna-Halla-Vrena el. distr .- foren.,"Vrena, Halla, Bettna",,-,-,-,,50,20000/1500/220,120,31,160,,,,,2 631,147 000,,63
64 65,Backa-Hosjö A .- B. Stigtomta Nya el. distr .- fören.,Vrena Stigtomta,2 »,,-,,2,50 50,20000/3000 20000/1500/220,130,21,- 126,,,,,- 1 957,98 600,,65
66,Tuna-Lunda el. distr .- fören.,"Tuna, Lunda",,-,-,,,50,20000/3000/220,130,40,610,,,,,3 177,163 500,,66
67,Nyköpingsortens el. distr .- fören.,St. Nikolai,,-,-,,,50,20000/3000/220,60,10,223,,,,,1194,71 700,,67
68,Nyköpings stads el .- verk,Nyköping,- | Storhusfallet,- V s,5 -,- 212 1 200 J,L,50,20000/6000 2×110,,,,,,,.,-,,,68
69,A .- B. Perioden,,Perioden,V å,1.9,400 85 /,.,.,,,,,,,,,,,,69
70,A .- B. Fors ullspinneri,,Forsfallet,v,1.,145,,.,,,,,,,,,-,,,70
71,"Stjärholmstraktens el. distr .-
fören.",Stjärnholm,Ab. från Motala kraftverk,-,-,-,3-fas,50,20000/1500/220,90,16,52,,,,,998,96 700,,71
1 72,"Gamla Oxelösunds el. distr .- ) fören., Trafik A .- B. Grängesberg- Oxelösund och Oxelösunds Järnverks A .- B.",,{Oxelösund,-- å,,135,,50,20000/3000/220,,,,,,,,,,,72
