1,2,,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,1
73a,Nävekvarns Bruks A .- B.,Tunaberg Tuna,"Nävekvarn, 2 stationer Fada",V PA,150.20 33,210 200,3-fas,,5000/6000/380 6000/380,-,.,,,,,,,,,73a b
74,Ålberga gård och Ålberga el. distr .- fören.,Kila,Alberga,,16,230,,50,"3000,220",-,.,,,,,,,,,74
75,Stavsjö A .- B.,,Stavsjö,,14,130,L,50 -,3000/380 220,-,.,,,,,,,,,75
76,Hargs fabriker,Helgona,Harg,,,330,/ 3-fas L,50 -,3000/380 och 220 2×110,-,,,,,,,,,,76
77,Förola A .- B.,Svärta,Ab. från Motala kraftverk,,-,-,3-fas,50,20000/·,,-,,,,,,,,,77
78,Bogstaortens el. distr .- fören.,Bogsta,,,4,-,,50,20000/3000/220,70,13,,,,,,1 446,109 700,,78
79,S. Palme,Svärta,Anga,v,.,8,L,-,220,-,,,,,,,,,,79
80,Husby-Oppunda el distr .- fören.,Husby- Oppunda,Ab. från Motala kraftverk,-,-,-,3-fas,50,20000/3000/220,90,15,37,,,,,2 406,83 400,,80
81,Runtuna-Lids el. distr .- fören.,"Runtuna, Lid",,-,,,,50,20000/3000/220,90,35,357,,,,,1 691,83 500,,81
82,Ludgo och Spelviks el. distr .- fören.,"Ludgo, Spelvik",,-,-,,,50,20000/3000/220,90,22,364,,,,,1 772,75 100,,82
83,L. Mellösa el. distr .- fören.,L. Mellosa,2,-,,-,,50,20000/3000/220,60,48,255,,,,,1 098,72 500,,83
84,Hällefors bruk,2,Hallefors,V,"5
||||",75 46,,50,20000/220,.,.,,,,,,-,.,,84
85,Granheds Kvarn & Kraft A .- B.,Floda,Granhed,v,.,40,,50,3000/380,-,.,,,,,,.,,,85
86,Flens el .- verk och Stenhammars egendom,Flen,JAb. från Motala kraftverk Flens kraftstation,0,-,- 40,,50,20000/3000/220 2 ×220,120,,,,,,,.,,,86
87,Dunkers el .¿ distr .- fören.,Dunker,Ab. från Motala kraftverk,,-,-,3-fas,50,20000/3000/220,60,19,129,,,,,1 408,79 300,,87
88,L. Malma el. distr .- fören. Malmköpings el .- verk,L. Malma Malmköping,1,-,-,-,,50,20000/3000/220,120,5,255,,,,,1 098,72 500,,88
89,"Skebokvarns el. distr .- fören.
samt",Helgesta,2,,,-,,50,20000/3000/220,60,12,128,,,,,650,45 700,,89
,A .- B. Skebo kvarn och trä- förädlingsfabrik,,,,,-,,,,,,,,,,,,,,
90,"Sparreholms municipalsam- hälle, Sparreholms snickerifabrik",Hyltinge,1081,:unselected:,,,,50,20000/3000/220,150,,,,,,,,,,90
91,E. Dickson,,(Sparreholm Ab. från Motala kraftverk,v,,35,,50,20000/3000/220 och 500/110,150,.,,,,.,.,250,24 900,,91
92,Frustuna el. distr .- fören. Gnesta El. A .- B. och Gnesta el. valskvarn,Frustuna,JAb. från Älvkarleby kraft- 1 verk,-,-,-,,50,20000/3000/220,200,28 11,265 .6,190 150,25 96,4 44,219 290,1 446 -,43 394 226 894,,92
93,Gåsinge-Dillnäs el. distr .- fören.,"Gåsinge, Dillnäs",,-,,- 008 0000,,50,20000/3000/220,90,61,406,235,34,2,271,2 155,90 153,,93
94,Björnlunda el. distr .- fören.,Björnlunda,,--,-,,,50,20000/3000/220,100,36,225,205,19,-,224,1 457,89 628,,94
95,Gryts el. distr .- fören.,Gryt,,:unselected:,-,,,50,20000/3000/220,100,46,283,170,45,9,224,1 597,93 919,,95
96,Hölő el. distr .- fören.,Hölő,,-,-,-,,50,20000/3000/220,100,47,269,160,28,6,194,1 988,80 405,,96
97,"Mörkö el. distr .- fören., A .- B. Karta & Oaxens kalk- bruk",Mörkö,,-,,-,R,50,20000/3000/220,150,28 1,190 50,105 110,42 13,5,152 123,1 125 --,42 019 47 765,,197
98 99 100,"Vagnhärads el. distr .- fören. Trosa stads el .- verk och Trosa el. distr .- fören. Åkers styckebruk, Skatt- vångsgruvan","Vagnhärad, Trosa landsförs., Hölo, Västerljung Trosa, Västerljung Gåsinge",2,- - -,- -,-,,50 50 50,20000/3000/220 20000/3000/220 20000/-,100 100,61 2 33 -,498 50 232,330 48 140 .,42 62 35 .,4 4 2 -,376 114 177 .,2 194 - 1 427 -,112 980 49 328 60 020,,"98 ,99 10 100"
